response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Genetic gain,DV - R,CV,2X,Chr,200,2,2,-0.327290138938041,0.13486224791455,Inf,-2.42684772053789,0.0152306472098646
Genetic gain,DV - R,GW,2X,Chr,200,2,2,-0.318162906081793,0.134862247914549,Inf,-2.35916953040398,0.0183158862141238
Genetic gain,DV - R,CV,20X,Peri,200,2,2,-0.328639577211105,0.134862247914551,Inf,-2.43685376962819,0.0148156693282676
Genetic gain,DV - R,GW,20X,Peri,200,2,2,-0.607503499788918,0.134862247914551,Inf,-4.50462237715207,6.64910722310428e-06
Genetic gain,DV - R,CV,2X,Peri,200,2,2,-0.274854426184704,0.134862247914551,Inf,-2.03803829785524,0.0415461029609975
Genetic gain,DV - R,GW,2X,Peri,200,2,2,-0.470316446905757,0.134862247914551,Inf,-3.48738400982128,0.000487770448433179
Genetic gain,DV - R,GW,20X,WT,200,2,2,-0.322988171288389,0.134862247914552,Inf,-2.39494874424037,0.0166226887984817
Genetic gain,DV - R,CV,2X,WT,200,2,2,-0.335082234385753,0.134862247914551,Inf,-2.48462590211356,0.0129687639972081
Genetic gain,DV - R,GW,2X,WT,200,2,2,-0.284312844410354,0.134862247914551,Inf,-2.10817221874053,0.0350160954012654
Genetic gain,DV - R,CV,20X,Chr,2,8,2,-0.569003785890179,0.13486224791455,Inf,-4.21914801724723,2.45227244199411e-05
Genetic gain,DV - R,CV,2X,Chr,2,8,2,-0.458047939568872,0.13486224791455,Inf,-3.39641335252764,0.000682751697981053
Genetic gain,DV - R,GW,2X,Chr,2,8,2,-0.341029899830817,0.134862247914551,Inf,-2.52872768402091,0.0114476808909534
Genetic gain,DV - R,CV,20X,Peri,2,8,2,-0.664962997184036,0.134862247914551,Inf,-4.93068303003047,8.19426002803392e-07
Genetic gain,DV - R,GW,20X,Peri,2,8,2,-0.466902572793345,0.134862247914551,Inf,-3.46207022360458,0.000536037272442138
Genetic gain,DV - R,CV,2X,Peri,2,8,2,-0.58618016762818,0.134862247914552,Inf,-4.34651043336888,1.38320474938768e-05
Genetic gain,DV - R,GW,2X,Peri,2,8,2,-0.519523640478479,0.13486224791455,Inf,-3.85225404820223,0.000117035506903185
Genetic gain,DV - R,CV,2X,WT,2,8,2,-0.3108119336643,0.134862247914551,Inf,-2.30466226442577,0.0211854958575502
Genetic gain,DV - R,CV,20X,Chr,200,8,2,-0.373438857823583,0.13486224791455,Inf,-2.76903925003681,0.00562218617687121
Genetic gain,DV - R,GW,20X,Chr,200,8,2,-0.739303281250064,0.134862247914552,Inf,-5.48191426942908,4.20748124340072e-08
Genetic gain,DV - R,CV,2X,Chr,200,8,2,-0.810054140385015,0.13486224791455,Inf,-6.00653001793556,1.89535898049006e-09
Genetic gain,DV - R,GW,2X,Chr,200,8,2,-0.790770448734282,0.134862247914549,Inf,-5.86354195456778,4.53096295269812e-09
Genetic gain,DV - R,CV,20X,Peri,200,8,2,-0.405334644110372,0.134862247914551,Inf,-3.0055456614307,0.00265104788827722
Genetic gain,DV - R,GW,20X,Peri,200,8,2,-0.87879568018071,0.134862247914551,Inf,-6.51624671670545,7.20883714881053e-11
Genetic gain,DV - R,CV,2X,Peri,200,8,2,-0.497647207495732,0.13486224791455,Inf,-3.69004087645821,0.000224218020491246
Genetic gain,DV - R,GW,2X,Peri,200,8,2,-1.01440120684175,0.134862247914552,Inf,-7.5217581089444,5.40445059852153e-14
Genetic gain,DV - R,CV,20X,WT,200,8,2,-0.485075768723616,0.134862247914551,Inf,-3.5968239905875,0.00032212629142801
Genetic gain,DV - R,GW,20X,WT,200,8,2,-0.904679459276145,0.134862247914552,Inf,-6.70817425384566,1.97074515485436e-11
Genetic gain,DV - R,CV,2X,WT,200,8,2,-0.685364493478895,0.134862247914552,Inf,-5.08195958525872,3.73560904605542e-07
Genetic gain,DV - R,GW,2X,WT,200,8,2,-0.976086127088256,0.134862247914555,Inf,-7.23765280634117,4.5651627338082e-13
Genetic gain,DV - R,CV,20X,Chr,2,2,3,-0.381753438077208,0.134862247914548,Inf,-2.83069164262408,0.00464474763122297
Genetic gain,DV - R,CV,2X,Chr,2,2,3,-0.315319464864048,0.134862247914551,Inf,-2.33808548900827,0.0193828138229929
Genetic gain,DV - R,CV,20X,WT,2,2,3,-0.449077807310297,0.134862247914552,Inf,-3.32990005916874,0.000868771608555298
Genetic gain,DV - R,CV,20X,Chr,200,2,3,0.411695975298502,0.134862247914549,Inf,3.05271476387787,0.00226781387944445
Genetic gain,DV - R,GW,2X,Chr,200,2,3,-0.325521972690949,0.134862247914551,Inf,-2.41373681459915,0.0157898632010576
Genetic gain,DV - R,GW,20X,Peri,200,2,3,-0.64568657305613,0.13486224791455,Inf,-4.78774885515212,1.68662529436421e-06
Genetic gain,DV - R,GW,20X,WT,200,2,3,-0.272440492503912,0.13486224791455,Inf,-2.02013904348185,0.0433689669760046
Genetic gain,DV - R,CV,2X,Chr,2,8,3,-0.470008766533096,0.134862247914551,Inf,-3.48510256799883,0.000491948428248577
Genetic gain,DV - R,CV,20X,Peri,2,8,3,-0.280691576434927,0.13486224791455,Inf,-2.08132061251697,0.0374045696936926
Genetic gain,DV - R,GW,20X,Peri,2,8,3,-0.362970549598098,0.134862247914551,Inf,-2.69141702152316,0.00711491954211869
Genetic gain,DV - R,CV,2X,Peri,2,8,3,-0.357974032371064,0.13486224791455,Inf,-2.65436797848631,0.00794571253158422
Genetic gain,DV - R,CV,2X,WT,2,8,3,-0.416428571741708,0.13486224791455,Inf,-3.08780684128564,0.00201639486648682
Genetic gain,DV - R,GW,2X,WT,2,8,3,-0.271286684211262,0.134862247914552,Inf,-2.01158358552014,0.0442638511431858
Genetic gain,DV - R,CV,20X,Chr,200,8,3,0.274002421518298,0.13486224791455,Inf,2.03172070579683,0.0421819385283563
Genetic gain,DV - R,GW,20X,Chr,200,8,3,-0.415328422002613,0.13486224791455,Inf,-3.07964926007884,0.00207244496345725
Genetic gain,DV - R,GW,2X,Chr,200,8,3,-0.418140462410393,0.134862247914548,Inf,-3.1005004652995,0.0019319391026062
Genetic gain,DV - R,GW,20X,Peri,200,8,3,-0.686984303220332,0.134862247914551,Inf,-5.09397043163339,3.50641476571538e-07
Genetic gain,DV - R,CV,2X,Peri,200,8,3,-0.377484833635068,0.134862247914549,Inf,-2.79904005362752,0.00512547791827758
Genetic gain,DV - R,GW,2X,Peri,200,8,3,-0.760729695115238,0.134862247914557,Inf,-5.64079056132303,1.69271158215787e-08
Genetic gain,DV - R,CV,20X,WT,200,8,3,-0.289193943916198,0.134862247914551,Inf,-2.14436544242857,0.0320036169443676
Genetic gain,DV - R,GW,20X,WT,200,8,3,-0.717749457270408,0.134862247914552,Inf,-5.32209323490715,1.02579970452351e-07
Genetic gain,DV - R,GW,2X,WT,200,8,3,-0.805211016456789,0.134862247914551,Inf,-5.97061838215074,2.36356008676658e-09
Genetic gain,DV - R,CV,20X,WT,2,2,4,0.272934856114305,0.134862247914552,Inf,2.02380473657265,0.0429902466821697
Genetic gain,DV - R,CV,20X,Peri,200,2,4,0.371851445074493,0.13486224791455,Inf,2.75726862650326,0.00582864464753685
Genetic gain,DV - R,GW,20X,Peri,200,2,4,-0.347964777021989,0.13486224791455,Inf,-2.58014961490529,0.00987575182654953
Genetic gain,DV - R,CV,2X,Peri,200,2,4,-0.296732017151554,0.13486224791455,Inf,-2.20026005602077,0.027788449541346
Genetic gain,DV - R,CV,20X,Chr,200,8,4,0.417675219706523,0.134862247914549,Inf,3.09705070296002,0.00195456439636158
Genetic gain,DV - R,GW,20X,Chr,200,8,4,-0.425888082681939,0.13486224791455,Inf,-3.15794886462062,0.00158883425229187
Genetic gain,DV - R,GW,2X,Chr,200,8,4,-0.730055636419007,0.134862247914552,Inf,-5.4133432276879,6.1858754658239e-08
Genetic gain,DV - R,CV,20X,Peri,200,8,4,0.626089925189256,0.134862247914549,Inf,4.64244022972208,3.44318260396114e-06
Genetic gain,DV - R,GW,20X,Peri,200,8,4,-0.40169940734967,0.134862247914551,Inf,-2.97859047703391,0.00289577521653592
Genetic gain,DV - R,GW,2X,Peri,200,8,4,-0.720940588417673,0.134862247914552,Inf,-5.34575538793077,9.0040741099743e-08
Genetic gain,DV - R,GW,20X,WT,200,8,4,-0.648199720361294,0.134862247914552,Inf,-4.80638377592513,1.53684757318449e-06
Genetic gain,DV - R,GW,2X,WT,200,8,4,-0.599922370120658,0.134862247914554,Inf,-4.44840850124905,8.65088861762092e-06
Genetic gain,DV - R,CV,20X,Peri,2,2,5,-0.432696883619693,0.134862247914551,Inf,-3.2084359434217,0.00133459034909209
Genetic gain,DV - R,CV,2X,Peri,2,2,5,-0.335121583705966,0.134862247914551,Inf,-2.4849176762818,0.0129581397023098
Genetic gain,DV - R,GW,20X,Chr,200,2,5,-0.34487182391149,0.13486224791455,Inf,-2.55721544942662,0.0105513843825448
Genetic gain,DV - R,CV,2X,Chr,200,2,5,-0.308585347721042,0.13486224791455,Inf,-2.28815218856922,0.0221286599129165
Genetic gain,DV - R,GW,2X,Chr,200,2,5,-0.376065399906699,0.13486224791455,Inf,-2.78851499008809,0.00529502969243909
Genetic gain,DV - R,CV,20X,Peri,200,2,5,-0.376427894777306,0.134862247914551,Inf,-2.79120287996247,0.00525125455656341
Genetic gain,DV - R,GW,20X,Peri,200,2,5,-0.602935179369071,0.134862247914549,Inf,-4.47074840211102,7.79463526700938e-06
Genetic gain,DV - R,CV,2X,Peri,200,2,5,-0.396847407975182,0.134862247914551,Inf,-2.94261303004994,0.0032545495358944
Genetic gain,DV - R,GW,2X,Peri,200,2,5,-0.645151685872114,0.134862247914549,Inf,-4.78378268083513,1.7202667313456e-06
Genetic gain,DV - R,CV,20X,WT,200,2,5,-0.269055782075076,0.13486224791455,Inf,-1.99504150520724,0.0460383532528212
Genetic gain,DV - R,GW,20X,WT,200,2,5,-0.403648568350546,0.13486224791455,Inf,-2.99304345428308,0.00276210418802514
Genetic gain,DV - R,CV,2X,WT,200,2,5,-0.303489872730629,0.134862247914549,Inf,-2.25036937633521,0.0244255072990471
Genetic gain,DV - R,GW,2X,WT,200,2,5,-0.57037733470344,0.134862247914549,Inf,-4.22933284535522,2.34385353687242e-05
Genetic gain,DV - R,CV,20X,Peri,2,8,5,-0.478604764274686,0.13486224791455,Inf,-3.54884166381339,0.00038692966757484
Genetic gain,DV - R,CV,2X,Peri,2,8,5,-0.554212773456513,0.134862247914551,Inf,-4.10947305140327,3.96562986919287e-05
Genetic gain,DV - R,CV,20X,WT,2,8,5,-0.612273159061606,0.13486224791455,Inf,-4.53998927445988,5.62570898925227e-06
Genetic gain,DV - R,CV,2X,WT,2,8,5,-0.5025663385306,0.134862247914551,Inf,-3.72651610292768,0.000194144674223874
Genetic gain,DV - R,GW,20X,Chr,200,8,5,-0.465901491097505,0.134862247914551,Inf,-3.4546472293173,0.000551013274655276
Genetic gain,DV - R,CV,2X,Chr,200,8,5,-0.559527579239392,0.13486224791455,Inf,-4.14888219566022,3.34102677607768e-05
Genetic gain,DV - R,GW,2X,Chr,200,8,5,-0.640281190808147,0.134862247914553,Inf,-4.74766808880289,2.05775358355489e-06
Genetic gain,DV - R,GW,20X,Peri,200,8,5,-0.451667053233006,0.134862247914548,Inf,-3.34909924917752,0.000810747478180207
Genetic gain,DV - R,CV,2X,Peri,200,8,5,-0.369566749078624,0.134862247914549,Inf,-2.74032766614411,0.00613779603227685
Genetic gain,DV - R,GW,2X,Peri,200,8,5,-0.802368568097978,0.134862247914564,Inf,-5.94954170277721,2.68894326936282e-09
Genetic gain,DV - R,CV,20X,WT,200,8,5,-0.529262457899836,0.13486224791455,Inf,-3.92446712170467,8.69219291003592e-05
Genetic gain,DV - R,GW,20X,WT,200,8,5,-0.913780431012252,0.134862247914547,Inf,-6.77565771846877,1.23841558686817e-11
Genetic gain,DV - R,CV,2X,WT,200,8,5,-0.388299512301497,0.134862247914549,Inf,-2.87923060979623,0.00398646713580293
Genetic gain,DV - R,GW,2X,WT,200,8,5,-0.834278339152611,0.134862247914557,Inf,-6.18615181085499,6.16506392410895e-10
