response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,CV - GW,2X,WT,200,8,1,R,-0.251197210524986,0.0686706200495131,Inf,-3.65800119969598,0.000254189857360403
Bulmer effect,CV - GW,20X,WT,2,2,2,R,0.234785219165939,0.0998241222726908,Inf,2.35198881613577,0.0186733363729788
Bulmer effect,CV - GW,20X,Chr,200,2,2,R,-0.202525972076446,0.0686706200495121,Inf,-2.94923756229991,0.00318559000617106
Bulmer effect,CV - GW,20X,Peri,200,2,2,R,-0.153746401552617,0.0686706200495136,Inf,-2.2388963641476,0.0251626601191038
Bulmer effect,CV - GW,20X,WT,200,2,2,R,-0.160468425185197,0.0686706200495123,Inf,-2.33678427644161,0.0194504038132566
Bulmer effect,CV - GW,20X,Chr,200,8,2,R,-0.198397210726819,0.0686706200495127,Inf,-2.88911343138844,0.00386329687354961
Bulmer effect,CV - GW,2X,Chr,200,8,2,R,-0.179978703366883,0.068670620049511,Inf,-2.62089818378106,0.00876984493019837
Bulmer effect,CV - GW,20X,Peri,200,8,2,R,-0.238501173630381,0.0686706200495108,Inf,-3.47311810288628,0.000514448921963925
Bulmer effect,CV - GW,2X,Peri,200,8,2,R,-0.161617607412121,0.0686706200495109,Inf,-2.3535189764647,0.0185966586332867
Bulmer effect,CV - GW,20X,WT,200,8,2,R,-0.168504405456975,0.0686706200495099,Inf,-2.45380637797485,0.0141353068749111
Bulmer effect,CV - GW,20X,Chr,200,8,3,R,-0.226929730424274,0.0686706200495126,Inf,-3.30461164120338,0.000951080882828617
Bulmer effect,CV - GW,2X,Chr,200,8,3,R,-0.177896931378533,0.0686706200495119,Inf,-2.59058286134985,0.00958135520980793
Bulmer effect,CV - GW,20X,Peri,200,8,3,R,-0.171576855360253,0.0686706200495138,Inf,-2.49854821809589,0.0124703176441113
Bulmer effect,CV - GW,20X,WT,200,8,3,R,-0.161793778509386,0.0686706200495101,Inf,-2.35608442726651,0.018468719598522
Bulmer effect,CV - GW,2X,WT,200,8,3,R,-0.138168651123446,0.0686706200495152,Inf,-2.01204898141037,0.0442147739359536
Bulmer effect,CV - GW,20X,Chr,200,8,4,R,-0.136444241830906,0.0686706200495102,Inf,-1.98693767047003,0.0469293044398272
Bulmer effect,CV - GW,20X,Chr,200,2,5,R,-0.336915521887935,0.0686706200494961,Inf,-4.90625425611555,9.28321706624143e-07
Bulmer effect,CV - GW,2X,Chr,200,2,5,R,-0.237194477212551,0.0686706200495189,Inf,-3.45408963893887,0.000552153815703583
Bulmer effect,CV - GW,20X,Peri,200,2,5,R,-0.339351861726331,0.0686706200495,Inf,-4.94173289074301,7.74312509636464e-07
Bulmer effect,CV - GW,2X,Peri,200,2,5,R,-0.212428164110637,0.0686706200495058,Inf,-3.09343594039917,0.00197853262530902
Bulmer effect,CV - GW,20X,WT,200,2,5,R,-0.225582519977906,0.0686706200495139,Inf,-3.284993201099,0.00101984832583225
Bulmer effect,CV - GW,2X,WT,200,2,5,R,-0.138909369781391,0.0686706200495113,Inf,-2.02283552531254,0.0430901076801808
