response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 200,Peri,2X,2,4,CV,1.28148883510015,0.0450292735313073,Inf,28.4590164264847,3.76915665791917e-178
Bulmer effect,2 - 200,WT,2X,2,4,CV,1.29530610120938,0.0450292735313072,Inf,28.765867171026,5.73589695844651e-182
Bulmer effect,2 - 200,Chr,20X,8,4,CV,0.978703692746556,0.0450292735313073,Inf,21.7348319436266,9.61343616762556e-105
Bulmer effect,2 - 200,Peri,20X,8,4,CV,1.03245332766085,0.0450292735313072,Inf,22.9284917719808,2.41557762228448e-116
Bulmer effect,2 - 200,WT,20X,8,4,CV,1.12545796451357,0.0450292735313072,Inf,24.9939178728052,7.11894280177183e-138
Bulmer effect,2 - 200,Chr,2X,8,4,CV,1.05445014828621,0.0450292735313071,Inf,23.4169922273583,2.86900446997326e-121
Bulmer effect,2 - 200,Peri,2X,8,4,CV,1.10557988685614,0.0450292735313073,Inf,24.5524699857187,4.07011119811902e-133
Bulmer effect,2 - 200,WT,2X,8,4,CV,1.08659023678551,0.0450292735313071,Inf,24.1307520990772,1.1892288036106e-128
Bulmer effect,2 - 200,Chr,20X,2,3,GW,0.148994576533833,0.0450292735313069,Inf,3.30883811461545,0.000936839891092188
Bulmer effect,2 - 200,Peri,20X,2,3,GW,0.268434897110418,0.0450292735313071,Inf,5.96134194622939,2.50174825123324e-09
Bulmer effect,2 - 200,WT,20X,2,3,GW,0.224760531240134,0.0450292735313073,Inf,4.99143143146349,5.99334593796408e-07
Bulmer effect,2 - 200,Chr,2X,2,3,GW,0.26881391728579,0.0450292735313072,Inf,5.96975914121495,2.37604090235757e-09
Bulmer effect,2 - 200,Peri,2X,2,3,GW,0.24704973265166,0.0450292735313072,Inf,5.48642501371681,4.10149409099055e-08
Bulmer effect,2 - 200,WT,2X,2,3,GW,0.275642227740502,0.0450292735313072,Inf,6.12140072721489,9.27563012673647e-10
Bulmer effect,2 - 200,Chr,20X,8,3,GW,0.410980645167007,0.0450292735313073,Inf,9.12696592542774,7.04458820939664e-20
Bulmer effect,2 - 200,Peri,20X,8,3,GW,0.394028124247262,0.0450292735313072,Inf,8.75048814574609,2.12431817230117e-18
Bulmer effect,2 - 200,WT,20X,8,3,GW,0.429815038963136,0.0450292735313072,Inf,9.54523591557169,1.35798168360995e-21
Bulmer effect,2 - 200,Chr,2X,8,3,GW,0.651038245338549,0.0450292735313072,Inf,14.4581112303734,2.22828965338914e-47
Bulmer effect,2 - 200,Peri,2X,8,3,GW,0.591486588317384,0.0450292735313071,Inf,13.1356013973032,2.05849488237542e-39
Bulmer effect,2 - 200,WT,2X,8,3,GW,0.592680334001144,0.0450292735313072,Inf,13.1621118335182,1.44976235316464e-39
Bulmer effect,2 - 200,Chr,20X,2,4,GW,0.959303778819384,0.0450292735313072,Inf,21.3040030093405,1.04222675278376e-100
Bulmer effect,2 - 200,Peri,20X,2,4,GW,0.933502900492152,0.0450292735313072,Inf,20.7310228943206,1.81882861431404e-95
Bulmer effect,2 - 200,WT,20X,2,4,GW,0.835196027876817,0.0450292735313071,Inf,18.547845931739,8.48862332771805e-77
Bulmer effect,2 - 200,Chr,2X,2,4,GW,0.919734833742167,0.0450292735313071,Inf,20.425264758107,9.97165620456769e-93
Bulmer effect,2 - 200,Peri,2X,2,4,GW,0.922157722351529,0.0450292735313075,Inf,20.4790717245389,3.30904331958034e-93
Bulmer effect,2 - 200,WT,2X,2,4,GW,0.862574278950629,0.0450292735313071,Inf,19.155855986682,8.64915517320034e-82
Bulmer effect,2 - 200,Chr,20X,8,4,GW,0.887389912473459,0.0450292735313071,Inf,19.7069560062188,1.87937434172651e-86
Bulmer effect,2 - 200,Peri,20X,8,4,GW,0.827766562793077,0.045029273531307,Inf,18.3828540386637,1.80231745987013e-75
Bulmer effect,2 - 200,WT,20X,8,4,GW,0.674569236671354,0.0450292735313071,Inf,14.9806822044853,9.82038062790965e-51
Bulmer effect,2 - 200,Chr,2X,8,4,GW,0.781584263928305,0.0450292735313072,Inf,17.3572479108484,1.73859976783403e-67
Bulmer effect,2 - 200,Peri,2X,8,4,GW,0.821279854202585,0.0450292735313073,Inf,18.2387986701935,2.53979172180694e-74
Bulmer effect,2 - 200,WT,2X,8,4,GW,0.806100253828249,0.0450292735313073,Inf,17.9016935120616,1.14389968036215e-71
