response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,2X,WT,200,2,CV,R,0.707700067937227,0.0686706200495093,Inf,10.3057183323377,6.63937844999721e-25
Bulmer effect,2 - 8,2X,WT,2,3,CV,R,0.266639194350786,0.123160589572513,Inf,2.16497172737062,0.0303898504897814
Bulmer effect,2 - 8,20X,Chr,200,3,CV,R,0.496402049235788,0.0686706200495106,Inf,7.2287398727125,4.87496167567546e-13
Bulmer effect,2 - 8,2X,Chr,200,3,CV,R,0.501332664241955,0.0686706200495131,Inf,7.30054081178359,2.86613337204668e-13
Bulmer effect,2 - 8,20X,Peri,200,3,CV,R,0.486598783791721,0.0686706200495077,Inf,7.08598209017059,1.38061666617155e-12
Bulmer effect,2 - 8,2X,Peri,200,3,CV,R,0.507618401712933,0.0686706200495152,Inf,7.39207540789516,1.44554501001491e-13
Bulmer effect,2 - 8,20X,WT,200,3,CV,R,0.582966748189039,0.0686706200495101,Inf,8.48931825238701,2.07852799323468e-17
Bulmer effect,2 - 8,2X,WT,200,3,CV,R,0.529355804640806,0.0686706200495249,Inf,7.70862130353618,1.27184197016701e-14
Bulmer effect,2 - 8,20X,Chr,200,4,CV,R,0.386333336256905,0.068670620049507,Inf,5.62588973244138,1.84554215587664e-08
Bulmer effect,2 - 8,2X,Chr,200,4,CV,R,0.482390707278044,0.0686706200495155,Inf,7.02470295055166,2.14522148558827e-12
Bulmer effect,2 - 8,20X,Peri,200,4,CV,R,0.449850526148113,0.0686706200495042,Inf,6.55084409932253,5.72127632451291e-11
Bulmer effect,2 - 8,2X,Peri,200,4,CV,R,0.462568151273323,0.0686706200495103,Inf,6.73604156974,1.62759739842875e-11
Bulmer effect,2 - 8,20X,WT,200,4,CV,R,0.468649997824157,0.0686706200495073,Inf,6.82460705154969,8.81663081539958e-12
Bulmer effect,2 - 8,2X,WT,200,4,CV,R,0.437752895749714,0.068670620049515,Inf,6.37467515851863,1.83351157192647e-10
Bulmer effect,2 - 8,2X,Chr,2,5,CV,R,0.234075303351755,0.100465491237367,Inf,2.32990751818166,0.0198110395838545
Bulmer effect,2 - 8,2X,WT,2,5,CV,R,0.236486597362831,0.099594060669076,Inf,2.37450502343319,0.0175724970960321
Bulmer effect,2 - 8,20X,Chr,200,5,CV,R,0.562895780315647,0.0686706200495107,Inf,8.19703943127069,2.46379645681628e-16
Bulmer effect,2 - 8,2X,Chr,200,5,CV,R,0.776832108274693,0.068670620049517,Inf,11.3124376584125,1.13880957181946e-29
Bulmer effect,2 - 8,20X,Peri,200,5,CV,R,0.687880654348868,0.0686706200495023,Inf,10.017102712237,1.28206173775772e-23
Bulmer effect,2 - 8,2X,Peri,200,5,CV,R,0.839810885219358,0.0686706200495142,Inf,12.2295515114589,2.16128617264028e-34
Bulmer effect,2 - 8,20X,WT,200,5,CV,R,0.939800718937274,0.06867062004952,Inf,13.6856303068119,1.23729560525678e-42
Bulmer effect,2 - 8,2X,WT,200,5,CV,R,0.908836129500202,0.0686706200495269,Inf,13.2347156446924,5.53056542747995e-40
Bulmer effect,2 - 8,20X,Chr,200,1,GW,R,1.55291823577421,0.0686706200495011,Inf,22.6140121445648,3.15514932689721e-113
Bulmer effect,2 - 8,2X,Chr,200,1,GW,R,1.95746529266044,0.0686706200495172,Inf,28.5051349652726,1.01175284840732e-178
Bulmer effect,2 - 8,20X,Peri,200,1,GW,R,1.80641378253566,0.0686706200495078,Inf,26.3054823333957,1.65984639891436e-152
Bulmer effect,2 - 8,2X,Peri,200,1,GW,R,1.79140587614784,0.0686706200495177,Inf,26.0869331725281,5.12962619799281e-150
Bulmer effect,2 - 8,20X,WT,200,1,GW,R,2.12345803468314,0.0686706200495146,Inf,30.922365826201,5.97868833664083e-210
Bulmer effect,2 - 8,2X,WT,200,1,GW,R,2.09272641561784,0.0686706200495137,Inf,30.474843741165,5.61556200953823e-204
Bulmer effect,2 - 8,20X,Chr,200,2,GW,R,0.549947243237334,0.0686706200495101,Inf,8.00847935901603,1.16135448626759e-15
Bulmer effect,2 - 8,2X,Chr,200,2,GW,R,0.572001036538305,0.0686706200494976,Inf,8.32963261619027,8.10936109100863e-17
Bulmer effect,2 - 8,20X,Peri,200,2,GW,R,0.615594993942398,0.0686706200495015,Inf,8.96445952430084,3.11806247003567e-19
Bulmer effect,2 - 8,2X,Peri,200,2,GW,R,0.561059264207281,0.0686706200494957,Inf,8.17029559079104,3.0763476866601e-16
Bulmer effect,2 - 8,20X,WT,200,2,GW,R,0.690580568137423,0.0686706200495238,Inf,10.0564195814657,8.60718623722792e-24
Bulmer effect,2 - 8,2X,WT,200,2,GW,R,0.671059472025674,0.0686706200495091,Inf,9.77214814052739,1.48274325927778e-22
Bulmer effect,2 - 8,20X,Chr,200,3,GW,R,0.380977329209578,0.0686706200495122,Inf,5.54789412029322,2.89130870591949e-08
Bulmer effect,2 - 8,2X,Chr,200,3,GW,R,0.380956732485262,0.0686706200495149,Inf,5.54759418526546,2.8962714930712e-08
Bulmer effect,2 - 8,20X,Peri,200,3,GW,R,0.375070149680584,0.0686706200495044,Inf,5.46187218653622,4.71139250542853e-08
Bulmer effect,2 - 8,2X,Peri,200,3,GW,R,0.390946327369857,0.0686706200495031,Inf,5.69306534713147,1.24778602185274e-08
Bulmer effect,2 - 8,20X,WT,200,3,GW,R,0.502636961090206,0.06867062004951,Inf,7.31953433255467,2.48832913495648e-13
