response,contrast,Matrix,Recombination,Map_type,QTL,H2,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 4,GW,2X,Peri,200,2,DV,1.02526103371961,0.068670620049512,Inf,14.9301263477801,0
Bulmer effect,2 - 5,GW,2X,Peri,200,2,DV,-0.692527546772383,0.0686706200495154,Inf,-10.0847720069082,5.38458166943201e-14
Bulmer effect,3 - 4,GW,2X,Peri,200,2,DV,0.611294335604187,0.0686706200495112,Inf,8.9018321833041,3.50830475781549e-14
Bulmer effect,3 - 5,GW,2X,Peri,200,2,DV,-1.10649424488781,0.0686706200495146,Inf,-16.1130661713842,0
Bulmer effect,4 - 5,GW,2X,Peri,200,2,DV,-1.71778858049199,0.0686706200495111,Inf,-25.0148983546891,0
Bulmer effect,1 - 2,CV,20X,WT,200,2,DV,2.68798907891746,0.068670620049513,Inf,39.1432184095522,0
Bulmer effect,1 - 3,CV,20X,WT,200,2,DV,2.95918078969641,0.0686706200495128,Inf,43.0923848883669,0
Bulmer effect,1 - 4,CV,20X,WT,200,2,DV,3.54372120004856,0.0686706200495118,Inf,51.6046192315364,0
Bulmer effect,1 - 5,CV,20X,WT,200,2,DV,2.39638905946272,0.0686706200495141,Inf,34.8968606623158,0
Bulmer effect,2 - 3,CV,20X,WT,200,2,DV,0.271191710778951,0.0686706200495134,Inf,3.94916647881458,0.000747423014874293
Bulmer effect,2 - 4,CV,20X,WT,200,2,DV,0.855732121131101,0.0686706200495121,Inf,12.4614008219834,0
Bulmer effect,2 - 5,CV,20X,WT,200,2,DV,-0.291600019454738,0.0686706200495141,Inf,-4.24635774723577,0.000210758606658534
Bulmer effect,3 - 4,CV,20X,WT,200,2,DV,0.58454041035215,0.0686706200495111,Inf,8.51223434316889,4.74065231514942e-14
Bulmer effect,3 - 5,CV,20X,WT,200,2,DV,-0.562791730233689,0.0686706200495127,Inf,-8.19552422605048,6.06181771445336e-14
Bulmer effect,4 - 5,CV,20X,WT,200,2,DV,-1.14733214058584,0.0686706200495129,Inf,-16.7077585692191,0
Bulmer effect,1 - 2,GW,20X,WT,200,2,DV,3.11171864150651,0.0686706200495131,Inf,45.3136820267954,0
Bulmer effect,1 - 3,GW,20X,WT,200,2,DV,3.60862894220354,0.0686706200495127,Inf,52.5498231936985,0
Bulmer effect,1 - 4,GW,20X,WT,200,2,DV,4.21913288598465,0.0686706200495122,Inf,61.4401454791382,0
Bulmer effect,1 - 5,GW,20X,WT,200,2,DV,2.63926766400435,0.0686706200495145,Inf,38.4337240890111,0
Bulmer effect,2 - 3,GW,20X,WT,200,2,DV,0.496910300697025,0.0686706200495128,Inf,7.23614116690287,4.65105731706217e-12
Bulmer effect,2 - 4,GW,20X,WT,200,2,DV,1.10741424447814,0.0686706200495129,Inf,16.1264634523421,0
Bulmer effect,2 - 5,GW,20X,WT,200,2,DV,-0.472450977502162,0.0686706200495139,Inf,-6.87995793778341,5.98975313792494e-11
Bulmer effect,3 - 4,GW,20X,WT,200,2,DV,0.610503943781112,0.0686706200495105,Inf,8.89032228543951,3.64153152077051e-14
Bulmer effect,3 - 5,GW,20X,WT,200,2,DV,-0.969361278199187,0.0686706200495141,Inf,-14.1160991046861,0
Bulmer effect,4 - 5,GW,20X,WT,200,2,DV,-1.5798652219803,0.0686706200495128,Inf,-23.0064213901256,0
Bulmer effect,1 - 2,CV,2X,WT,200,2,DV,2.33270885090899,0.0686706200495148,Inf,33.9695323739176,0
Bulmer effect,1 - 3,CV,2X,WT,200,2,DV,2.62307403578881,0.0686706200495134,Inf,38.1979081286509,0
Bulmer effect,1 - 4,CV,2X,WT,200,2,DV,3.24904253381544,0.0686706200495121,Inf,47.3134294036205,0
Bulmer effect,1 - 5,CV,2X,WT,200,2,DV,2.05164747269823,0.0686706200495128,Inf,29.8766411489944,0
Bulmer effect,2 - 3,CV,2X,WT,200,2,DV,0.29036518487982,0.0686706200495155,Inf,4.22837575473252,0.000228126223972835
Bulmer effect,2 - 4,CV,2X,WT,200,2,DV,0.916333682906448,0.0686706200495129,Inf,13.3438970297014,0
Bulmer effect,2 - 5,CV,2X,WT,200,2,DV,-0.281061378210756,0.0686706200495128,Inf,-4.09289122492422,0.000409866245493107
Bulmer effect,3 - 4,CV,2X,WT,200,2,DV,0.625968498026628,0.0686706200495112,Inf,9.11552127496895,6.23945339839338e-14
Bulmer effect,3 - 5,CV,2X,WT,200,2,DV,-0.571426563090576,0.0686706200495116,Inf,-8.32126697965705,5.47339951140202e-14
Bulmer effect,4 - 5,CV,2X,WT,200,2,DV,-1.1973950611172,0.0686706200495098,Inf,-17.4367882546264,0
Bulmer effect,1 - 2,GW,2X,WT,200,2,DV,3.39776508988775,0.0686706200495144,Inf,49.4791671815082,0
Bulmer effect,1 - 3,GW,2X,WT,200,2,DV,3.76020963846353,0.0686706200495128,Inf,54.7571819761108,0
Bulmer effect,1 - 4,GW,2X,WT,200,2,DV,4.44801322204198,0.0686706200495127,Inf,64.7731623631022,0
Bulmer effect,1 - 5,GW,2X,WT,200,2,DV,2.87037269079416,0.0686706200495135,Inf,41.7991375165179,0
Bulmer effect,2 - 3,GW,2X,WT,200,2,DV,0.362444548575784,0.0686706200495153,Inf,5.27801479460127,1.29933138592886e-06
Bulmer effect,2 - 4,GW,2X,WT,200,2,DV,1.05024813215424,0.0686706200495149,Inf,15.2939951815923,0
Bulmer effect,2 - 5,GW,2X,WT,200,2,DV,-0.527392399093585,0.0686706200495139,Inf,-7.68002966499089,1.88737914186277e-13
Bulmer effect,3 - 4,GW,2X,WT,200,2,DV,0.687803583578453,0.0686706200495134,Inf,10.0159803869912,3.85247389544929e-14
Bulmer effect,3 - 5,GW,2X,WT,200,2,DV,-0.889836947669369,0.0686706200495136,Inf,-12.9580444595923,0
Bulmer effect,4 - 5,GW,2X,WT,200,2,DV,-1.57764053124782,0.0686706200495104,Inf,-22.9740248465846,0
Bulmer effect,1 - 2,CV,20X,Chr,200,8,DV,0.89888535248719,0.0686706200495126,Inf,13.0898097590946,0
Bulmer effect,1 - 3,CV,20X,Chr,200,8,DV,1.02492826486977,0.0686706200495119,Inf,14.9252804784752,0
Bulmer effect,1 - 4,CV,20X,Chr,200,8,DV,1.48525586494177,0.0686706200494994,Inf,21.6286945402731,0
Bulmer effect,1 - 5,CV,20X,Chr,200,8,DV,0.761495327786657,0.0686706200495101,Inf,11.0890993446344,2.22044604925031e-14
Bulmer effect,2 - 4,CV,20X,Chr,200,8,DV,0.586370512454582,0.0686706200495023,Inf,8.53888478117553,4.66293670342566e-14
Bulmer effect,3 - 4,CV,20X,Chr,200,8,DV,0.460327600072007,0.0686706200495029,Inf,6.70341406179482,2.03592476211156e-10
Bulmer effect,3 - 5,CV,20X,Chr,200,8,DV,-0.263432937083109,0.0686706200495104,Inf,-3.8361811338412,0.00118060201707559
Bulmer effect,4 - 5,CV,20X,Chr,200,8,DV,-0.723760537155115,0.0686706200495003,Inf,-10.5395951956368,4.67403893367191e-14
Bulmer effect,1 - 2,GW,20X,Chr,200,8,DV,1.2532229663815,0.0686706200495102,Inf,18.2497691950058,0
Bulmer effect,1 - 3,GW,20X,Chr,200,8,DV,1.44847544743793,0.0686706200495093,Inf,21.0930882289053,0
Bulmer effect,1 - 4,GW,20X,Chr,200,8,DV,2.01267967649985,0.0686706200495024,Inf,29.3091816420031,0
Bulmer effect,1 - 5,GW,20X,Chr,200,8,DV,0.997974915002889,0.0686706200495064,Inf,14.5327785635753,0
Bulmer effect,2 - 3,GW,20X,Chr,200,8,DV,0.195252481056432,0.0686706200495129,Inf,2.84331903389908,0.0361162960548829
Bulmer effect,2 - 4,GW,20X,Chr,200,8,DV,0.759456710118347,0.0686706200495051,Inf,11.0594124469948,2.66453525910038e-14
Bulmer effect,2 - 5,GW,20X,Chr,200,8,DV,-0.255248051378612,0.0686706200495122,Inf,-3.71699063143126,0.00188452179814158
Bulmer effect,3 - 4,GW,20X,Chr,200,8,DV,0.564204229061915,0.0686706200495056,Inf,8.21609341309532,5.97299987248334e-14
Bulmer effect,3 - 5,GW,20X,Chr,200,8,DV,-0.450500532435044,0.068670620049513,Inf,-6.56030966533029,5.36815258911361e-10
Bulmer effect,4 - 5,GW,20X,Chr,200,8,DV,-1.01470476149696,0.0686706200495057,Inf,-14.7764030784263,0
Bulmer effect,1 - 2,CV,2X,Chr,200,8,DV,0.807570707779062,0.0686706200495103,Inf,11.7600613944773,0
Bulmer effect,1 - 3,CV,2X,Chr,200,8,DV,0.927022074720266,0.0686706200495136,Inf,13.4995442600031,0
Bulmer effect,1 - 4,CV,2X,Chr,200,8,DV,1.35865960056542,0.0686706200495019,Inf,19.7851657606414,0
Bulmer effect,1 - 5,CV,2X,Chr,200,8,DV,0.660822376215142,0.0686706200495104,Inf,9.62307280375071,3.68594044175552e-14
Bulmer effect,2 - 4,CV,2X,Chr,200,8,DV,0.551088892786359,0.0686706200495024,Inf,8.02510436616267,7.62723217917483e-14
Bulmer effect,3 - 4,CV,2X,Chr,200,8,DV,0.431637525845156,0.0686706200495056,Inf,6.28562150063568,3.26341698109189e-09
Bulmer effect,3 - 5,CV,2X,Chr,200,8,DV,-0.266199698505124,0.068670620049515,Inf,-3.87647145625277,0.00100455568624747
Bulmer effect,4 - 5,CV,2X,Chr,200,8,DV,-0.69783722435028,0.0686706200495001,Inf,-10.1620929568898,4.76285677564192e-14
Bulmer effect,1 - 2,GW,2X,Chr,200,8,DV,1.16020369377597,0.0686706200495092,Inf,16.895197581433,0
Bulmer effect,1 - 3,GW,2X,Chr,200,8,DV,1.28988779459246,0.0686706200495103,Inf,18.7836922640639,0
Bulmer effect,1 - 4,GW,2X,Chr,200,8,DV,1.89079546591958,0.068670620049497,Inf,27.5342710544439,0
Bulmer effect,1 - 5,GW,2X,Chr,200,8,DV,0.978409499738308,0.0686706200495118,Inf,14.2478617352351,0
Bulmer effect,2 - 4,GW,2X,Chr,200,8,DV,0.730591772143607,0.0686706200494906,Inf,10.6390734730089,4.82947015711943e-14
Bulmer effect,3 - 4,GW,2X,Chr,200,8,DV,0.600907671327119,0.0686706200495054,Inf,8.75057879037524,3.98570065840431e-14
Bulmer effect,3 - 5,GW,2X,Chr,200,8,DV,-0.311478294854152,0.0686706200495145,Inf,-4.53583052882824,5.62965360023648e-05
Bulmer effect,4 - 5,GW,2X,Chr,200,8,DV,-0.912385966181271,0.0686706200494983,Inf,-13.2864093192054,0
Bulmer effect,1 - 2,CV,20X,Peri,200,8,DV,0.868938285093154,0.0686706200495119,Inf,12.6537125260649,0
Bulmer effect,1 - 3,CV,20X,Peri,200,8,DV,0.979264242888101,0.0686706200495129,Inf,14.2603087343908,0
