response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,3 - 4,GW,20X,WT,2,8,positive_QTL,0.0897619047619044,0.00666463808439272,Inf,13.4683839730336,2.40062772461494e-41
QTL fixation,3 - 4,CV,2X,WT,2,8,positive_QTL,0.0316666666666646,0.00666463808439271,Inf,4.75144580480999,2.01967294322738e-06
QTL fixation,3 - 4,GW,2X,WT,2,8,positive_QTL,0.124761904761906,0.00666463808439269,Inf,18.7199819678243,3.40266333072078e-78
QTL fixation,3 - 4,CV,20X,Chr,200,8,positive_QTL,0.0245769324555085,0.00666463808439269,Inf,3.68766197718418,0.000226324024601527
QTL fixation,3 - 4,GW,20X,Chr,200,8,positive_QTL,0.0238271604938259,0.00666463808439268,Inf,3.57516195059782,0.000350011165915923
QTL fixation,3 - 4,CV,2X,Chr,200,8,positive_QTL,0.0259302609119726,0.0066646380843927,Inf,3.89072303456301,9.99459622001653e-05
QTL fixation,3 - 4,GW,2X,Chr,200,8,positive_QTL,0.0265061728395062,0.00666463808439276,Inf,3.97713611810045,6.97502420615929e-05
QTL fixation,3 - 4,CV,20X,Peri,200,8,positive_QTL,0.0262179956108268,0.00666463808439269,Inf,3.93389637649257,8.35798273566612e-05
QTL fixation,3 - 4,GW,20X,Peri,200,8,positive_QTL,0.0194839506172838,0.00666463808439256,Inf,2.92348217120924,0.00346140047315108
QTL fixation,3 - 4,CV,2X,Peri,200,8,positive_QTL,0.0161716654474517,0.00666463808439266,Inf,2.42648816675023,0.015245747497665
QTL fixation,3 - 4,GW,2X,Peri,200,8,positive_QTL,0.0288962962962962,0.00666463808439219,Inf,4.33576376247166,1.45254880006016e-05
QTL fixation,3 - 4,CV,20X,WT,200,8,positive_QTL,0.0259083150451118,0.00666463808439268,Inf,3.8874301525516,0.000101311126933668
QTL fixation,3 - 4,GW,20X,WT,200,8,positive_QTL,0.023395061728395,0.00666463808439262,Inf,3.51032740745248,0.000447555247501541
QTL fixation,3 - 4,CV,2X,WT,200,8,positive_QTL,0.0237210436478907,0.00666463808439257,Inf,3.5592395787314,0.000371930131819096
QTL fixation,3 - 4,GW,2X,WT,200,8,positive_QTL,0.0262987654320988,0.00666463808439241,Inf,3.94601553739079,7.94624595516893e-05
