response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,Peri,2,2,CV,positive_QTL,DV,0.047380952380864,0.00576834677914859,Inf,8.21395699581319,2.14016255784977e-16
QTL fixation,2 - 8,20X,WT,2,2,CV,positive_QTL,DV,0.035952380953253,0.00576834677914855,Inf,6.23270103718692,4.58460609120277e-10
QTL fixation,2 - 8,2X,WT,2,2,CV,positive_QTL,DV,0.0457142857141505,0.00576834677914851,Inf,7.9250238351479,2.28102575229082e-15
QTL fixation,2 - 8,20X,Chr,200,2,CV,positive_QTL,DV,-0.0189327374206695,0.00576834677914858,Inf,-3.28217739770908,0.00103008778257401
QTL fixation,2 - 8,2X,Chr,200,2,CV,positive_QTL,DV,-0.0163842929720502,0.00576834677914858,Inf,-2.84037933212963,0.00450599167727282
QTL fixation,2 - 8,20X,Peri,200,2,CV,positive_QTL,DV,-0.0153469062038006,0.00576834677914868,Inf,-2.66053806946496,0.00780159072255322
QTL fixation,2 - 8,2X,Peri,200,2,CV,positive_QTL,DV,-0.0194769200884731,0.00576834677914877,Inf,-3.37651684861903,0.000734098757924148
QTL fixation,2 - 8,20X,WT,200,2,CV,positive_QTL,DV,-0.0141197269464049,0.00576834677914852,Inf,-2.44779440054558,0.0143733647720943
QTL fixation,2 - 8,2X,WT,200,2,CV,positive_QTL,DV,-0.0149611716156328,0.00576834677914857,Inf,-2.5936671612245,0.00949583652885553
QTL fixation,2 - 8,2X,Chr,2,3,CV,positive_QTL,DV,0.0173809523816472,0.00576834677914854,Inf,3.01316010411787,0.00258542478621682
QTL fixation,2 - 8,20X,Peri,2,3,CV,positive_QTL,DV,0.0173809523812101,0.00576834677914851,Inf,3.01316010404211,0.00258542478686222
QTL fixation,2 - 8,2X,WT,2,3,CV,positive_QTL,DV,0.0119047619046817,0.00576834677914847,Inf,2.06380829039531,0.0390358967187817
QTL fixation,2 - 8,20X,WT,200,3,CV,positive_QTL,DV,0.0132365671897788,0.00576834677914846,Inf,2.29468991663723,0.0217509010772922
QTL fixation,2 - 8,2X,WT,200,3,CV,positive_QTL,DV,0.0137055912986186,0.00576834677914845,Inf,2.37599988755216,0.0175014681448355
QTL fixation,2 - 8,20X,Chr,2,4,CV,positive_QTL,DV,-0.0869047619031947,0.00576834677914857,Inf,-15.0658005197153,2.71852710329439e-51
QTL fixation,2 - 8,2X,Chr,2,4,CV,positive_QTL,DV,-0.0866666666670236,0.00576834677914849,Inf,-15.0245243542409,5.072412821006e-51
QTL fixation,2 - 8,20X,Peri,2,4,CV,positive_QTL,DV,-0.0700000000002379,0.00576834677914858,Inf,-12.1351927476472,6.87479340821973e-34
QTL fixation,2 - 8,2X,Peri,2,4,CV,positive_QTL,DV,-0.0795238095238365,0.00576834677914855,Inf,-13.786239379938,3.0842378238232e-43
QTL fixation,2 - 8,20X,WT,2,4,CV,positive_QTL,DV,-0.0742857142859737,0.00576834677914848,Inf,-12.8781637321984,5.97400244903422e-38
QTL fixation,2 - 8,2X,WT,2,4,CV,positive_QTL,DV,-0.0840476190476422,0.00576834677914852,Inf,-14.570486530293,4.32797653083262e-48
QTL fixation,2 - 8,20X,Chr,2,5,CV,positive_QTL,DV,-0.0450000000008398,0.00576834677914867,Inf,-7.80119533789215,6.13235026097009e-15
QTL fixation,2 - 8,2X,Chr,2,5,CV,positive_QTL,DV,-0.0330952380948133,0.00576834677914854,Inf,-5.7373870472639,9.61483605851784e-09
QTL fixation,2 - 8,20X,Peri,2,5,CV,positive_QTL,DV,-0.0380952380951321,0.00576834677914857,Inf,-6.60418652929099,3.99706003898633e-11
QTL fixation,2 - 8,2X,Peri,2,5,CV,positive_QTL,DV,-0.0590476190476729,0.00576834677914858,Inf,-10.2364891204388,1.3608530899027e-24
QTL fixation,2 - 8,20X,WT,2,5,CV,positive_QTL,DV,-0.0399999999998671,0.00576834677914858,Inf,-6.93439585575179,4.07960813534379e-12
QTL fixation,2 - 8,2X,WT,2,5,CV,positive_QTL,DV,-0.0419047619048339,0.00576834677914856,Inf,-7.2646051822528,3.74129408896605e-13
QTL fixation,2 - 8,20X,Chr,200,5,CV,positive_QTL,DV,-0.0220107966299738,0.00576834677914858,Inf,-3.81578942332981,0.000135748236824412
QTL fixation,2 - 8,2X,Chr,200,5,CV,positive_QTL,DV,-0.0211719223986279,0.00576834677914854,Inf,-3.67036227349581,0.000242206947432981
QTL fixation,2 - 8,20X,Peri,200,5,CV,positive_QTL,DV,-0.0199397734932025,0.00576834677914864,Inf,-3.45675706690876,0.00054671747267913
QTL fixation,2 - 8,2X,Peri,200,5,CV,positive_QTL,DV,-0.0195140157764645,0.00576834677914871,Inf,-3.38294775324593,0.000717122735714406
QTL fixation,2 - 8,20X,WT,200,5,CV,positive_QTL,DV,-0.0210144468446538,0.00576834677914855,Inf,-3.64306232777421,0.000269413568150798
QTL fixation,2 - 8,2X,WT,200,5,CV,positive_QTL,DV,-0.0237199508839599,0.00576834677914859,Inf,-4.11208822772285,3.92096392077317e-05
QTL fixation,2 - 8,20X,Chr,2,1,GW,positive_QTL,DV,-0.0430952380930951,0.00576834677914849,Inf,-7.47098601090983,7.95961174008868e-14
QTL fixation,2 - 8,2X,Chr,2,1,GW,positive_QTL,DV,-0.0359523809528422,0.00576834677914859,Inf,-6.23270103711568,4.58460609328846e-10
QTL fixation,2 - 8,20X,Peri,2,1,GW,positive_QTL,DV,-0.046666666666889,0.00576834677914849,Inf,-8.09012849844264,5.96018192581288e-16
QTL fixation,2 - 8,2X,Peri,2,1,GW,positive_QTL,DV,-0.0438095238094338,0.00576834677914864,Inf,-7.59481450869008,3.08233642662522e-14
QTL fixation,2 - 8,20X,WT,2,1,GW,positive_QTL,DV,-0.0392857142855864,0.00576834677914855,Inf,-6.81056735832814,9.72145816917702e-12
QTL fixation,2 - 8,2X,WT,2,1,GW,positive_QTL,DV,-0.0371428571427718,0.00576834677914854,Inf,-6.43908186606188,1.20198359862041e-10
QTL fixation,2 - 8,20X,Chr,200,1,GW,positive_QTL,DV,-0.0634039546133802,0.00576834677914853,Inf,-10.9917030027691,4.18945562021065e-28
QTL fixation,2 - 8,2X,Chr,200,1,GW,positive_QTL,DV,-0.0612453553367184,0.00576834677914856,Inf,-10.61748845581,2.47120519206668e-26
QTL fixation,2 - 8,20X,Peri,200,1,GW,positive_QTL,DV,-0.0682336088012082,0.00576834677914852,Inf,-11.8289713523916,2.76509493332091e-32
QTL fixation,2 - 8,2X,Peri,200,1,GW,positive_QTL,DV,-0.0687429354833653,0.00576834677914866,Inf,-11.917268173241,9.62117646302636e-33
QTL fixation,2 - 8,20X,WT,200,1,GW,positive_QTL,DV,-0.061737927705159,0.00576834677914852,Inf,-10.7028807505696,9.86623326431605e-27
QTL fixation,2 - 8,2X,WT,200,1,GW,positive_QTL,DV,-0.0576327712072829,0.00576834677914851,Inf,-9.99121124541516,1.66534211368168e-23
QTL fixation,2 - 8,20X,Chr,2,2,GW,positive_QTL,DV,-0.0449999999995137,0.00576834677914854,Inf,-7.80119533766243,6.13235027213517e-15
QTL fixation,2 - 8,2X,Chr,2,2,GW,positive_QTL,DV,-0.046904761904469,0.00576834677914852,Inf,-8.13140466416145,4.24344190618896e-16
QTL fixation,2 - 8,20X,Peri,2,2,GW,positive_QTL,DV,-0.0490476190477924,0.00576834677914862,Inf,-8.50289015651579,1.84927871895995e-17
QTL fixation,2 - 8,2X,Peri,2,2,GW,positive_QTL,DV,-0.038809523809536,0.00576834677914873,Inf,-6.72801502673585,1.71993164063897e-11
QTL fixation,2 - 8,20X,WT,2,2,GW,positive_QTL,DV,-0.0404761904763786,0.00576834677914853,Inf,-7.01694818742388,2.26766651392103e-12
QTL fixation,2 - 8,2X,WT,2,2,GW,positive_QTL,DV,-0.0447619047619097,0.00576834677914846,Inf,-7.75991917193952,8.49835298222135e-15
QTL fixation,2 - 8,20X,Chr,200,2,GW,positive_QTL,DV,-0.0264575006765934,0.00576834677914861,Inf,-4.58666957614821,4.50372614130758e-06
QTL fixation,2 - 8,2X,Chr,200,2,GW,positive_QTL,DV,-0.0242996371141877,0.00576834677914866,Inf,-4.21258257253633,2.52467375182776e-05
QTL fixation,2 - 8,20X,Peri,200,2,GW,positive_QTL,DV,-0.0319338042217946,0.00576834677914883,Inf,-5.53604099136819,3.09385186785618e-08
QTL fixation,2 - 8,2X,Peri,200,2,GW,positive_QTL,DV,-0.0268082960893284,0.00576834677914923,Inf,-4.64748343255506,3.36009070873048e-06
QTL fixation,2 - 8,20X,WT,200,2,GW,positive_QTL,DV,-0.0272321067359211,0.0057683467791486,Inf,-4.72095520233971,2.34739639868937e-06
