response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 200,Chr,20X,2,2,GW,DV,0.522112597722191,0.119201821214888,Inf,4.38007232105093,1.18639927029536e-05
Genetic gain,2 - 200,Peri,20X,2,2,GW,DV,0.471594752065347,0.119201821214887,Inf,3.95627136614964,7.6128679280894e-05
Genetic gain,2 - 200,WT,20X,2,2,GW,DV,0.359526533997384,0.119201821214886,Inf,3.01611611578704,0.00256035191697668
Genetic gain,2 - 200,Chr,2X,2,2,GW,DV,0.632778019553322,0.119201821214887,Inf,5.30845932641084,1.10555748924369e-07
Genetic gain,2 - 200,Peri,2X,2,2,GW,DV,0.522047537575418,0.119201821214887,Inf,4.37952652278958,1.1893744575914e-05
Genetic gain,2 - 200,WT,2X,2,2,GW,DV,0.455399409103278,0.119201821214887,Inf,3.82040647082332,0.000133231922025687
Genetic gain,2 - 200,Chr,2X,8,2,GW,DV,-0.382937580994554,0.119201821214887,Inf,-3.21251451606789,0.00131578499046774
Genetic gain,2 - 200,WT,2X,8,2,GW,DV,-0.319044733351308,0.119201821214888,Inf,-2.67650888299901,0.00743935936817302
Genetic gain,2 - 200,Chr,2X,2,3,GW,DV,-0.280549442321372,0.119201821214887,Inf,-2.35356674471961,0.018594269363131
Genetic gain,2 - 200,Peri,2X,2,3,GW,DV,-0.316172010493066,0.119201821214885,Inf,-2.65240922723071,0.00799196137742253
Genetic gain,2 - 200,WT,2X,2,3,GW,DV,-0.332125844059328,0.119201821214886,Inf,-2.78624806797709,0.00533220484123182
Genetic gain,2 - 200,Chr,20X,8,3,GW,DV,-0.417358258409172,0.119201821214887,Inf,-3.50127417648088,0.000463039206656608
Genetic gain,2 - 200,Peri,20X,8,3,GW,DV,-0.927799115090829,0.119201821214887,Inf,-7.78343070294431,7.0583822305317e-15
Genetic gain,2 - 200,WT,20X,8,3,GW,DV,-0.940694668070171,0.119201821214885,Inf,-7.89161321935156,2.98305027662127e-15
Genetic gain,2 - 200,Chr,2X,8,3,GW,DV,-1.1095532036792,0.119201821214886,Inf,-9.30819002906844,1.30029196399601e-20
Genetic gain,2 - 200,Peri,2X,8,3,GW,DV,-0.973126143981082,0.119201821214884,Inf,-8.16368520265174,3.24955098767129e-16
Genetic gain,2 - 200,WT,2X,8,3,GW,DV,-1.02624628376151,0.119201821214885,Inf,-8.609317150545,7.34970530115896e-18
Genetic gain,2 - 200,Chr,20X,2,4,GW,DV,-0.590578228371576,0.119201821214886,Inf,-4.95443964154655,7.25390286744831e-07
Genetic gain,2 - 200,Peri,20X,2,4,GW,DV,-0.572203925954553,0.119201821214887,Inf,-4.8002951643082,1.58431949154915e-06
Genetic gain,2 - 200,WT,20X,2,4,GW,DV,-0.968052312506326,0.119201821214887,Inf,-8.12112015269635,4.61900459209075e-16
Genetic gain,2 - 200,Chr,2X,2,4,GW,DV,-0.791256736438844,0.119201821214886,Inf,-6.63795845042029,3.18057483552775e-11
Genetic gain,2 - 200,Peri,2X,2,4,GW,DV,-0.823745293138752,0.119201821214887,Inf,-6.91050929208349,4.82916804199367e-12
Genetic gain,2 - 200,WT,2X,2,4,GW,DV,-0.798014144918915,0.119201821214887,Inf,-6.69464725274894,2.16192491540181e-11
Genetic gain,2 - 200,Chr,20X,8,4,GW,DV,-3.17606628324488,0.119201821214887,Inf,-26.6444442784085,2.07568946821038e-156
Genetic gain,2 - 200,Peri,20X,8,4,GW,DV,-3.58328903401224,0.119201821214887,Inf,-30.0606903274789,1.58278134548038e-198
Genetic gain,2 - 200,WT,20X,8,4,GW,DV,-3.48765000942699,0.119201821214887,Inf,-29.2583617756959,3.51489293116412e-188
Genetic gain,2 - 200,Chr,2X,8,4,GW,DV,-3.26963989880556,0.119201821214888,Inf,-27.4294458380071,1.22208407770355e-165
Genetic gain,2 - 200,Peri,2X,8,4,GW,DV,-3.29689255079819,0.119201821214889,Inf,-27.6580719757192,2.23180560510759e-168
Genetic gain,2 - 200,WT,2X,8,4,GW,DV,-3.37615202969393,0.119201821214889,Inf,-28.3229903308913,1.80106434863623e-176
Genetic gain,2 - 200,Chr,20X,2,5,GW,DV,0.24386773954623,0.119201821214887,Inf,2.04583904055128,0.0407722095557766
Genetic gain,2 - 200,Chr,20X,8,5,GW,DV,-0.663842933865487,0.119201821214887,Inf,-5.56906704192687,2.56106937027254e-08
Genetic gain,2 - 200,Peri,20X,8,5,GW,DV,-0.668242856218729,0.119201821214887,Inf,-5.60597857824738,2.07081575627219e-08
Genetic gain,2 - 200,WT,20X,8,5,GW,DV,-0.809620266975483,0.119201821214887,Inf,-6.79201256091523,1.1057991811187e-11
Genetic gain,2 - 200,Chr,2X,8,5,GW,DV,-0.876717220271495,0.119201821214887,Inf,-7.35489786427863,1.91073159543391e-13
Genetic gain,2 - 200,Peri,2X,8,5,GW,DV,-0.858421614871308,0.119201821214886,Inf,-7.20141358682623,5.95914886619579e-13
Genetic gain,2 - 200,WT,2X,8,5,GW,DV,-0.921181853904896,0.119201821214886,Inf,-7.72791761498571,1.09320052188239e-14
Genetic gain,2 - 200,Chr,20X,2,1,CV,R,-1.104660781185,0.119201821214913,Inf,-9.26714684327988,1.91191710751549e-20
Genetic gain,2 - 200,Peri,20X,2,1,CV,R,-1.38839953493117,0.119201821214889,Inf,-11.6474691475415,2.36374873453713e-31
Genetic gain,2 - 200,WT,20X,2,1,CV,R,-1.4335119217954,0.119201821214887,Inf,-12.0259229866227,2.59670000235508e-33
Genetic gain,2 - 200,Chr,2X,2,1,CV,R,-1.33592576794254,0.119201821214891,Inf,-11.2072597073344,3.75643539447498e-29
Genetic gain,2 - 200,Peri,2X,2,1,CV,R,-1.3812767825225,0.119201821214887,Inf,-11.5877154261967,4.75650442268159e-31
Genetic gain,2 - 200,WT,2X,2,1,CV,R,-1.44112677693524,0.119201821214887,Inf,-12.0898050235097,1.19570147294913e-33
Genetic gain,2 - 200,Chr,20X,8,1,CV,R,-3.96844286938108,0.119201821214894,Inf,-33.2917972975167,5.07482141514938e-243
