response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic variance,20X - 2X,Chr,2,2,2,GW,DV,0.0366022739574129,0.00628011413484597,Inf,5.82828164767274,5.60010079216706e-09
Genetic variance,20X - 2X,Peri,2,2,2,GW,DV,0.0135405961945277,0.00628011413484604,Inf,2.15610670503517,0.0310753340685784
Genetic variance,20X - 2X,Peri,200,2,2,GW,DV,0.0223065854267614,0.0062801141348461,Inf,3.55193949469647,0.000382402782481626
Genetic variance,20X - 2X,Chr,2,8,2,GW,DV,0.0145085299005203,0.00628011413484606,Inf,2.310233474901,0.0208752317067381
Genetic variance,20X - 2X,Chr,200,8,2,GW,DV,0.0229745848318792,0.00628011413484617,Inf,3.65830689356444,0.000253886927095122
Genetic variance,20X - 2X,Peri,200,8,2,GW,DV,0.0162908810731649,0.00628011413484612,Inf,2.59404219785952,0.00948548440868415
Genetic variance,20X - 2X,Chr,2,2,3,GW,DV,0.0229512451224089,0.00628011413484602,Inf,3.65459044686162,0.000257592843720688
Genetic variance,20X - 2X,Peri,2,2,3,GW,DV,0.0435277623227864,0.00628011413484605,Inf,6.93104637720942,4.1773906132308e-12
Genetic variance,20X - 2X,Peri,200,2,3,GW,DV,0.0237164463157892,0.00628011413484607,Inf,3.77643555619399,0.000159088696386177
Genetic variance,20X - 2X,Chr,2,8,3,GW,DV,0.0258856055441017,0.00628011413484606,Inf,4.12183679918681,3.75863447982932e-05
Genetic variance,20X - 2X,Peri,2,8,3,GW,DV,0.0220781453319099,0.00628011413484612,Inf,3.51556434450867,0.000438820410193466
Genetic variance,20X - 2X,Chr,200,8,3,GW,DV,0.0280773667768119,0.00628011413484603,Inf,4.47083702205682,7.79140576758119e-06
Genetic variance,20X - 2X,Peri,200,8,3,GW,DV,0.0260044270706107,0.00628011413484611,Inf,4.14075708056346,3.46161403061178e-05
Genetic variance,20X - 2X,Chr,200,2,4,GW,DV,0.0308972367725667,0.00628011413484607,Inf,4.91985274616734,8.6609346863398e-07
Genetic variance,20X - 2X,Peri,200,2,4,GW,DV,0.0520029956108383,0.00628011413484606,Inf,8.2805812910776,1.22575460301988e-16
Genetic variance,20X - 2X,Chr,200,8,4,GW,DV,0.0718571912006069,0.00628011413484605,Inf,11.4420199470417,2.57812152634606e-30
Genetic variance,20X - 2X,Peri,200,8,4,GW,DV,0.064643416572334,0.00628011413484613,Inf,10.2933505959152,7.55024070634267e-25
Genetic variance,20X - 2X,Chr,2,2,5,GW,DV,0.0248200175040042,0.006280114134846,Inf,3.95216025872639,7.74488424285813e-05
Genetic variance,20X - 2X,Peri,2,2,5,GW,DV,0.0153173903654668,0.00628011413484604,Inf,2.43903057119237,0.0147267223434273
Genetic variance,20X - 2X,Peri,200,2,5,GW,DV,0.0306233827086126,0.00628011413484604,Inf,4.87624620366289,1.08123644442406e-06
Genetic variance,20X - 2X,Chr,200,8,5,GW,DV,0.0241009005310988,0.00628011413484605,Inf,3.83765326769648,0.000124215705394596
Genetic variance,20X - 2X,Peri,200,8,5,GW,DV,0.0227725549215182,0.00628011413484601,Inf,3.62613711033718,0.000287692639598345
Genetic variance,20X - 2X,Chr,200,8,2,CV,R,0.020407298081738,0.00628011413484609,Inf,3.24951070053095,0.00115603728860662
Genetic variance,20X - 2X,Chr,200,2,3,CV,R,0.0233367930880659,0.00628011413484607,Inf,3.71598231926685,0.000202415737432378
Genetic variance,20X - 2X,Peri,200,2,3,CV,R,0.0294259772174195,0.00628011413484605,Inf,4.6855800046922,2.79168219214031e-06
Genetic variance,20X - 2X,WT,200,2,3,CV,R,0.0146385376290894,0.00628011413484607,Inf,2.33093496627163,0.0197567891666107
Genetic variance,20X - 2X,Chr,200,8,3,CV,R,0.0156578812857671,0.00628011413484606,Inf,2.49324788523941,0.0126580441461692
Genetic variance,20X - 2X,Peri,200,8,3,CV,R,0.0145909259704831,0.00628011413484606,Inf,2.32335362975705,0.0201601629823296
Genetic variance,20X - 2X,Chr,200,2,4,CV,R,0.025321301334798,0.00628011413484606,Inf,4.03198107408579,5.53086421338483e-05
Genetic variance,20X - 2X,Peri,200,2,4,CV,R,0.0364707870162184,0.00628011413484607,Inf,5.8073446171711,6.34714092656528e-09
Genetic variance,20X - 2X,Chr,200,8,4,CV,R,0.0339461364712401,0.00628011413484606,Inf,5.40533750539427,6.46864715852555e-08
Genetic variance,20X - 2X,Peri,200,8,4,CV,R,0.0236662439185943,0.00628011413484611,Inf,3.76844168918504,0.000164269847208959
Genetic variance,20X - 2X,Chr,200,8,5,CV,R,0.0194339747519118,0.00628011413484604,Inf,3.09452572590677,0.00197127838224814
Genetic variance,20X - 2X,Chr,200,8,1,GW,R,0.0127224723901123,0.00628011413484606,Inf,2.0258345814959,0.0427817388655407
Genetic variance,20X - 2X,Chr,2,2,2,GW,R,0.0145835246048449,0.00628011413484603,Inf,2.32217508976888,0.0202235097206914
Genetic variance,20X - 2X,Peri,2,2,2,GW,R,0.0186039748194042,0.00628011413484602,Inf,2.96236253353703,0.0030528809595212
Genetic variance,20X - 2X,Peri,200,2,2,GW,R,0.0157433500029678,0.00628011413484606,Inf,2.50685730624125,0.012180987505866
Genetic variance,20X - 2X,Chr,2,8,2,GW,R,0.0233957056962302,0.00628011413484608,Inf,3.72536313733788,0.000195034249640761
Genetic variance,20X - 2X,Chr,200,8,2,GW,R,0.0152855222862929,0.00628011413484629,Inf,2.43395612851661,0.0149348051277645
