response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 200,Peri,2X,2,5,CV,large_neg,DV,-0.143850124760878,0.00754599282974105,Inf,-19.0631144246415,5.11382173470917e-81
QTL AF,2 - 200,WT,2X,2,5,CV,large_neg,DV,-0.156392229173248,0.00754599282974153,Inf,-20.7252024620072,2.05262355738051e-95
QTL AF,2 - 200,Chr,20X,8,5,CV,large_neg,DV,0.0296598997521332,0.00754599282974114,Inf,3.93054968661435,8.47518763013814e-05
QTL AF,2 - 200,Peri,20X,8,5,CV,large_neg,DV,0.0262272428229555,0.00754599282974134,Inf,3.47565170213055,0.000509613673191053
QTL AF,2 - 200,WT,20X,8,5,CV,large_neg,DV,0.0287781269371128,0.00754599282974165,Inf,3.81369656537271,0.000136903542448588
QTL AF,2 - 200,Chr,2X,8,5,CV,large_neg,DV,0.0297132910900339,0.00754599282974113,Inf,3.93762514230393,8.22920171774714e-05
QTL AF,2 - 200,Peri,2X,8,5,CV,large_neg,DV,0.0268904863097277,0.0075459928297414,Inf,3.56354517111954,0.000365879698696934
QTL AF,2 - 200,WT,2X,8,5,CV,large_neg,DV,0.0317412505513067,0.00754599282974157,Inf,4.20637168196114,2.59503315510033e-05
QTL AF,2 - 200,Chr,20X,2,1,GW,large_neg,DV,0.025417033255517,0.00754599282971391,Inf,3.36828219017545,0.00075638135250241
QTL AF,2 - 200,Peri,20X,2,1,GW,large_neg,DV,0.0260677131688916,0.00754599282974039,Inf,3.45451072603105,0.000551292286620704
QTL AF,2 - 200,WT,20X,2,1,GW,large_neg,DV,0.0315321509987723,0.00754599282973962,Inf,4.17866166987338,2.93229518139813e-05
QTL AF,2 - 200,Chr,2X,2,1,GW,large_neg,DV,0.0328717639988776,0.00754599282973957,Inf,4.35618807764121,1.32347068582183e-05
QTL AF,2 - 200,Peri,2X,2,1,GW,large_neg,DV,0.030782172494989,0.00754599282974105,Inf,4.07927401861119,4.51765612131475e-05
QTL AF,2 - 200,WT,2X,2,1,GW,large_neg,DV,0.0341426619973983,0.0075459928297412,Inf,4.52460832759223,6.05074552813782e-06
QTL AF,2 - 200,Chr,20X,8,1,GW,large_neg,DV,0.041373799517867,0.00754599282973871,Inf,5.48288349212487,4.18448614888208e-08
QTL AF,2 - 200,Peri,20X,8,1,GW,large_neg,DV,0.0423468370166928,0.00754599282974117,Inf,5.61183107009994,2.00196826915419e-08
QTL AF,2 - 200,WT,20X,8,1,GW,large_neg,DV,0.0432939468230753,0.00754599282974086,Inf,5.73734269299089,9.61735351845848e-09
QTL AF,2 - 200,Chr,2X,8,1,GW,large_neg,DV,0.0424881925049187,0.00754599282974151,Inf,5.63056359362776,1.79621695300692e-08
QTL AF,2 - 200,Peri,2X,8,1,GW,large_neg,DV,0.0426645235587311,0.00754599282974159,Inf,5.65393110242222,1.56819092121874e-08
QTL AF,2 - 200,WT,2X,8,1,GW,large_neg,DV,0.0432747338088399,0.00754599282974141,Inf,5.73479657153648,9.76294532952562e-09
