response,contrast,Map_type,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,20X - 2X,Chr,2,2,2,CV,R,-0.333236963614292,0.134862247914551,Inf,-2.47094326816673,0.0134757194952161
Genetic gain,20X - 2X,WT,2,2,2,CV,R,0.49544618221318,0.13486224791455,Inf,3.67372033222447,0.000239044364192875
Genetic gain,20X - 2X,Chr,200,2,3,CV,R,-0.339339965546609,0.134862247914551,Inf,-2.51619686601706,0.0118628899284742
Genetic gain,20X - 2X,Chr,200,8,4,CV,R,0.829649088002734,0.13486224791455,Inf,6.15182603606319,7.65958698857647e-10
Genetic gain,20X - 2X,Peri,200,8,4,CV,R,0.616502276851994,0.134862247914551,Inf,4.57134807097839,4.84596571664862e-06
Genetic gain,20X - 2X,Chr,200,2,5,CV,R,-0.457499161241956,0.13486224791455,Inf,-3.39234417575355,0.000692973350849827
Genetic gain,20X - 2X,Chr,200,2,1,GW,R,-0.513591542127051,0.13486224791455,Inf,-3.8082676958823,0.000139943729516073
Genetic gain,20X - 2X,Chr,200,8,1,GW,R,-0.644761785467668,0.134862247914552,Inf,-4.78089157965234,1.74519469147412e-06
Genetic gain,20X - 2X,Chr,2,2,2,GW,R,-0.360808604886563,0.134862247914549,Inf,-2.67538625868951,0.00746431964481435
Genetic gain,20X - 2X,Peri,2,8,2,GW,R,-0.288100318970187,0.134862247914551,Inf,-2.13625624238985,0.0326585334212017
Genetic gain,20X - 2X,Chr,200,8,2,GW,R,-0.50622748069891,0.134862247914549,Inf,-3.75366337523651,0.000174268859357451
Genetic gain,20X - 2X,Chr,200,2,3,GW,R,-0.58614769614118,0.134862247914551,Inf,-4.34626965815196,1.3847231984345e-05
Genetic gain,20X - 2X,WT,2,8,3,GW,R,-0.315533989269007,0.134862247914549,Inf,-2.33967618179503,0.0193004659808481
Genetic gain,20X - 2X,Chr,200,8,3,GW,R,-0.651661518335386,0.13486224791455,Inf,-4.83205291630823,1.35132323933332e-06
Genetic gain,20X - 2X,Chr,200,2,4,GW,R,-0.299175531658357,0.13486224791455,Inf,-2.21837865143638,0.0265290254932418
Genetic gain,20X - 2X,Chr,200,2,5,GW,R,-0.767411077631255,0.134862247914551,Inf,-5.69033283589853,1.26791984081128e-08
Genetic gain,20X - 2X,Peri,200,2,5,GW,R,-0.380137899427339,0.134862247914549,Inf,-2.8187124662804,0.00482166886800652
Genetic gain,20X - 2X,Chr,2,8,5,GW,R,-0.307683091352344,0.134862247914552,Inf,-2.28146198146786,0.0225211239546814
Genetic gain,20X - 2X,Peri,2,8,5,GW,R,-0.27970412289476,0.134862247914554,Inf,-2.07399867064336,0.038079434320563
Genetic gain,20X - 2X,Chr,200,8,5,GW,R,-0.743842014138894,0.134862247914552,Inf,-5.51556885371057,3.47653598371e-08
Genetic gain,20X - 2X,Peri,200,8,5,GW,R,-0.44630646985659,0.13486224791455,Inf,-3.30935066527568,0.00093512636126244
