response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
prediction accuracy,2 - 8,2X,Peri,2,3,GW,-0.201150704399358,0.0234565506358834,Inf,-8.57545968807713,9.8691816172825e-18
prediction accuracy,2 - 8,20X,WT,2,3,GW,-0.159436550598618,0.0234565506358833,Inf,-6.79710129053314,1.0674505163833e-11
prediction accuracy,2 - 8,2X,WT,2,3,GW,-0.179414165592823,0.0234565506358833,Inf,-7.64878725682537,2.02883569965639e-14
prediction accuracy,2 - 8,20X,Chr,200,3,GW,-0.332979210455425,0.0234565506358832,Inf,-14.1955744313933,9.75835296149621e-46
prediction accuracy,2 - 8,2X,Chr,200,3,GW,-0.378772923745223,0.0234565506358833,Inf,-16.1478526670407,1.17584275716473e-58
prediction accuracy,2 - 8,20X,Peri,200,3,GW,-0.370582777805164,0.0234565506358833,Inf,-15.7986902489514,3.17647772076825e-56
prediction accuracy,2 - 8,2X,Peri,200,3,GW,-0.359325534723733,0.0234565506358835,Inf,-15.318771301951,5.72902632491894e-53
prediction accuracy,2 - 8,20X,WT,200,3,GW,-0.359427122720168,0.0234565506358834,Inf,-15.3231022028586,5.35972041178557e-53
prediction accuracy,2 - 8,2X,WT,200,3,GW,-0.365475732097456,0.0234565506358834,Inf,-15.580966603775,9.80606356768796e-55
prediction accuracy,2 - 8,20X,Chr,2,4,GW,-0.222189315366486,0.0234565506358832,Inf,-9.47237804976265,2.73543998966302e-21
prediction accuracy,2 - 8,2X,Chr,2,4,GW,-0.21212503544228,0.0234565506358833,Inf,-9.04331752503184,1.51987595574425e-19
prediction accuracy,2 - 8,20X,Peri,2,4,GW,-0.208045719939758,0.0234565506358833,Inf,-8.86940808856589,7.3535724110591e-19
prediction accuracy,2 - 8,2X,Peri,2,4,GW,-0.219846680836471,0.0234565506358832,Inf,-9.37250682119287,7.08299075951896e-21
prediction accuracy,2 - 8,20X,WT,2,4,GW,-0.234457333910524,0.0234565506358833,Inf,-9.99538839064668,1.59660116373869e-23
prediction accuracy,2 - 8,2X,WT,2,4,GW,-0.215859584378791,0.0234565506358833,Inf,-9.20252886835691,3.49622905797969e-20
prediction accuracy,2 - 8,20X,Chr,200,4,GW,-0.359471551964158,0.0234565506358833,Inf,-15.3249963110197,5.20575025212285e-53
prediction accuracy,2 - 8,2X,Chr,200,4,GW,-0.374729926397426,0.0234565506358833,Inf,-15.975491546663,1.89355784080246e-57
prediction accuracy,2 - 8,20X,Peri,200,4,GW,-0.390041840040766,0.0234565506358834,Inf,-16.6282692666707,4.3497844058747e-62
prediction accuracy,2 - 8,2X,Peri,200,4,GW,-0.386489612240239,0.0234565506358838,Inf,-16.4768306406053,5.38339941704232e-61
prediction accuracy,2 - 8,20X,WT,200,4,GW,-0.378740378382293,0.0234565506358834,Inf,-16.1464651926657,1.20258592999308e-58
prediction accuracy,2 - 8,2X,WT,200,4,GW,-0.34643130721453,0.0234565506358835,Inf,-14.7690644115663,2.31909849122725e-49
