response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,200,3,CV,DV,-0.0303759368511324,0.00576834677914853,Inf,-5.2659692653943,1.39451615232402e-07
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,200,3,CV,DV,-0.0409949554366251,0.00576834677914851,Inf,-7.10688122718526,1.1869449400548e-12
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,200,3,CV,DV,-0.0272407640071939,0.00576834677914855,Inf,-4.72245602599066,2.33013481720678e-06
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,200,3,CV,DV,-0.0392384321453382,0.00576834677914843,Inf,-6.80237053139356,1.0291149122635e-11
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,200,3,CV,DV,-0.0318068281553336,0.00576834677914852,Inf,-5.51402843364224,3.50711901769042e-08
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,200,3,CV,DV,-0.041622542330525,0.00576834677914854,Inf,-7.21567962609018,5.36652688392059e-13
QTL fixation,negative_QTL - positive_QTL,2,20X,WT,200,3,CV,DV,-0.0326737319333156,0.00576834677914852,Inf,-5.66431478277709,1.47613208397956e-08
QTL fixation,negative_QTL - positive_QTL,8,20X,WT,200,3,CV,DV,-0.0398334938015295,0.00576834677914848,Inf,-6.90553035845909,5.00162105383604e-12
QTL fixation,negative_QTL - positive_QTL,2,2X,WT,200,3,CV,DV,-0.0325429343648077,0.00576834677914856,Inf,-5.64163972985189,1.68438262257463e-08
QTL fixation,negative_QTL - positive_QTL,8,2X,WT,200,3,CV,DV,-0.042268967717619,0.00576834677914831,Inf,-7.32774386422378,2.34059508194118e-13
QTL fixation,negative_QTL - positive_QTL,2,20X,Chr,2,4,CV,DV,-0.649523809524238,0.00576834677914889,Inf,-112.601380324793,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Chr,2,4,CV,DV,-0.809047619046735,0.00576834677914841,Inf,-140.256411416058,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Chr,2,4,CV,DV,-0.654285714285553,0.00576834677914856,Inf,-113.426903640861,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Chr,2,4,CV,DV,-0.818571428570914,0.00576834677914843,Inf,-141.90745804845,0
QTL fixation,negative_QTL - positive_QTL,2,20X,Peri,2,4,CV,DV,-0.662619047619266,0.00576834677914857,Inf,-114.871569444213,0
QTL fixation,negative_QTL - positive_QTL,8,20X,Peri,2,4,CV,DV,-0.794761904762017,0.00576834677914858,Inf,-137.779841467736,0
QTL fixation,negative_QTL - positive_QTL,2,2X,Peri,2,4,CV,DV,-0.671190476190179,0.00576834677914853,Inf,-116.357511413219,0
QTL fixation,negative_QTL - positive_QTL,8,2X,Peri,2,4,CV,DV,-0.82357142857147,0.00576834677914849,Inf,-142.774257530516,0
