response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,Peri - WT,20X,2,2,5,GW,med_neg,R,0.0280299999999989,0.00754599282974129,Inf,3.71455428496079,0.000596358935760821
QTL AF,Chr - WT,20X,2,8,5,GW,med_neg,R,0.020162499999999,0.00754599282974133,Inf,2.67194794043956,0.0206058903289867
QTL AF,Peri - WT,20X,2,8,5,GW,med_neg,R,0.0201962499999995,0.00754599282974116,Inf,2.67642051293762,0.0203428997180966
QTL AF,Chr - Peri,20X,2,2,2,CV,small_neg,R,0.0257068181818002,0.00754599282974143,Inf,3.40668468176653,0.00190170414784974
QTL AF,Peri - WT,20X,2,2,2,CV,small_neg,R,-0.0234931818181816,0.00754599282974145,Inf,-3.11333211523692,0.00525710573106764
QTL AF,Chr - Peri,2X,2,2,2,CV,small_neg,R,-0.0213749999999933,0.00754599282974153,Inf,-2.83262924869827,0.0128232452373604
QTL AF,Chr - Peri,20X,2,8,2,CV,small_neg,R,-0.0244795454545371,0.00754599282974156,Inf,-3.24404568184243,0.0033776239535247
QTL AF,Peri - WT,20X,2,8,2,CV,small_neg,R,0.0230909090909101,0.00754599282974152,Inf,3.06002266526154,0.00626553572320276
QTL AF,Peri - WT,2X,2,2,3,CV,small_neg,R,0.0214250000000004,0.00754599282974147,Inf,2.83925528202953,0.0125677476539424
QTL AF,Chr - Peri,20X,2,8,3,CV,small_neg,R,0.0211522727272757,0.00754599282974144,Inf,2.80311328204647,0.0140183416035624
QTL AF,Chr - WT,20X,2,8,3,CV,small_neg,R,0.0177204545454576,0.00754599282974141,Inf,2.34832644892201,0.0494175345662569
QTL AF,Chr - Peri,2X,2,8,3,CV,small_neg,R,0.0443227272727281,0.00754599282974149,Inf,5.87367736396941,1.27803950755734e-08
QTL AF,Chr - WT,2X,2,8,3,CV,small_neg,R,0.0219613636363646,0.00754599282974132,Inf,2.91033454866368,0.0100989041902918
QTL AF,Peri - WT,2X,2,8,3,CV,small_neg,R,-0.0223613636363635,0.00754599282974134,Inf,-2.96334281530585,0.00855041098926612
QTL AF,Chr - Peri,2X,2,8,5,CV,small_neg,R,0.0245954545454524,0.00754599282974156,Inf,3.25940603183621,0.00320289735861135
QTL AF,Peri - WT,2X,2,8,5,CV,small_neg,R,-0.0260249999999999,0.00754599282974165,Inf,-3.4488503484161,0.00163150782463328
QTL AF,Chr - Peri,20X,2,2,4,GW,small_neg,R,0.0365159090909159,0.00754599282974141,Inf,4.83911261444537,3.89755302399042e-06
QTL AF,Peri - WT,20X,2,2,4,GW,small_neg,R,-0.023665909090909,0.00754599282974143,Inf,-3.13622204855977,0.00487125402014554
QTL AF,Chr - Peri,2X,2,8,4,GW,small_neg,R,-0.0181068181818182,0.00754599282974107,Inf,-2.39952761556488,0.0433420798146692
QTL AF,Chr - Peri,20X,2,8,5,GW,small_neg,R,0.0241522727272724,0.00754599282974153,Inf,3.20067528186343,0.00391912714738962
QTL AF,Chr - WT,20X,2,8,5,GW,small_neg,R,0.0350909090909089,0.00754599282974162,Inf,4.65027066453102,9.89173809617938e-06
