response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,Peri - WT,20X,2,2,5,GW,positive_QTL,DV,-0.0154761904761897,0.00576834677914853,Inf,-2.68295077753182,0.0199641958434038
QTL fixation,Chr - Peri,20X,200,2,5,GW,positive_QTL,DV,0.0179063626515208,0.00576834677914849,Inf,3.10424517406772,0.00541783255873873
QTL fixation,Peri - WT,20X,200,2,5,GW,positive_QTL,DV,-0.0215138306702933,0.0057683467791486,Inf,-3.72963545604808,0.000562064038604926
QTL fixation,Peri - WT,2X,2,8,5,GW,positive_QTL,DV,-0.0157142857142863,0.00576834677914864,Inf,-2.72422694334018,0.0177104150147379
QTL fixation,Peri - WT,20X,200,8,5,GW,positive_QTL,DV,-0.021098725676083,0.00576834677914852,Inf,-3.65767289725903,0.000744117008268264
QTL fixation,Chr - Peri,20X,2,8,3,CV,negative_QTL,R,0.0154761904760779,0.00576834677914852,Inf,2.68295077751243,0.0199641958445187
QTL fixation,Chr - WT,20X,2,8,3,CV,negative_QTL,R,0.0147619047618066,0.0057683467791485,Inf,2.55912228009039,0.0282984986635058
QTL fixation,Peri - WT,2X,2,8,3,CV,negative_QTL,R,-0.0221428571428567,0.00576834677914852,Inf,-3.83868342016103,0.000363820034818718
QTL fixation,Peri - WT,20X,200,2,4,CV,negative_QTL,R,-0.0142234440017003,0.00576834677914849,Inf,-2.46577477850593,0.0364287903406039
QTL fixation,Chr - WT,20X,200,2,5,CV,negative_QTL,R,-0.0157941254684569,0.00576834677914854,Inf,-2.7380679548514,0.0170064759267123
QTL fixation,Peri - WT,20X,200,2,5,CV,negative_QTL,R,-0.0142385172142865,0.00576834677914852,Inf,-2.4683878690782,0.0361765887561962
QTL fixation,Chr - WT,2X,2,8,5,GW,negative_QTL,R,0.0154761904761662,0.00576834677914852,Inf,2.68295077752775,0.0199641958436382
QTL fixation,Chr - WT,20X,200,2,1,CV,positive_QTL,R,-0.0189311589040569,0.00576834677914852,Inf,-3.28190374623271,0.00296189795125768
QTL fixation,Peri - WT,20X,200,2,1,CV,positive_QTL,R,-0.0143318726390758,0.00576834677914852,Inf,-2.48457195584753,0.0346475685268817
QTL fixation,Peri - WT,20X,2,2,3,CV,positive_QTL,R,0.016190476190488,0.00576834677914847,Inf,2.80677927495859,0.0138647203043848
QTL fixation,Chr - WT,20X,200,2,3,CV,positive_QTL,R,-0.0168932942961307,0.00576834677914858,Inf,-2.92861974893683,0.00953847169950017
QTL fixation,Chr - Peri,20X,2,8,3,CV,positive_QTL,R,-0.0183333333333872,0.00576834677914845,Inf,-3.17826476723954,0.00422898704481589
QTL fixation,Chr - WT,20X,2,8,3,CV,positive_QTL,R,-0.0154761904762442,0.00576834677914851,Inf,-2.68295077754128,0.0199641958428599
QTL fixation,Peri - WT,2X,2,8,3,CV,positive_QTL,R,0.0259523809523791,0.0057683467791484,Inf,4.49910207309183,2.03306034810558e-05
QTL fixation,Peri - WT,20X,200,2,4,CV,positive_QTL,R,-0.0143214912593694,0.0057683467791485,Inf,-2.48277224093719,0.0348148208991932
QTL fixation,Chr - WT,20X,200,2,5,CV,positive_QTL,R,-0.0192176519167394,0.00576834677914857,Inf,-3.33157014522903,0.00248765416350905
