response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
Bulmer effect,2 - 8,20X,Chr,2,3,GW,0.210224814089349,0.0450292735313071,Inf,4.66862548744403,3.03221547569873e-06
Bulmer effect,2 - 8,2X,Chr,2,3,GW,0.1347277349855,0.0450292735313073,Inf,2.99200329962748,0.00277153267479104
Bulmer effect,2 - 8,20X,Peri,2,3,GW,0.399398778942432,0.0450292735313072,Inf,8.86975843980127,7.33047424845788e-19
Bulmer effect,2 - 8,2X,Peri,2,3,GW,0.223176233664405,0.0450292735313073,Inf,4.95624770648895,7.186758219032e-07
Bulmer effect,2 - 8,20X,WT,2,3,GW,0.378555445534416,0.0450292735313072,Inf,8.40687436965244,4.21081694130294e-17
Bulmer effect,2 - 8,2X,WT,2,3,GW,0.239596970585293,0.0450292735313071,Inf,5.32091574648013,1.0324621364544e-07
Bulmer effect,2 - 8,20X,Chr,200,3,GW,0.472210882722524,0.0450292735313074,Inf,10.4867532982563,9.93849501776081e-26
Bulmer effect,2 - 8,2X,Chr,200,3,GW,0.516952063038259,0.0450292735313072,Inf,11.4803553887859,1.65598439485261e-30
Bulmer effect,2 - 8,20X,Peri,200,3,GW,0.524992006079276,0.0450292735313074,Inf,11.6589046393179,2.06684132428268e-31
Bulmer effect,2 - 8,2X,Peri,200,3,GW,0.567613089330129,0.0450292735313073,Inf,12.6054240900753,1.97109499365196e-36
Bulmer effect,2 - 8,20X,WT,200,3,GW,0.583609953257417,0.0450292735313073,Inf,12.9606788537606,2.04430304007735e-38
Bulmer effect,2 - 8,2X,WT,200,3,GW,0.556635076845935,0.0450292735313071,Inf,12.3616268527834,4.21538230903529e-35
Bulmer effect,2 - 8,20X,Chr,2,4,GW,0.235790099249095,0.0450292735313072,Inf,5.23637360227806,1.63762300281191e-07
Bulmer effect,2 - 8,2X,Chr,2,4,GW,0.319480083965734,0.0450292735313072,Inf,7.09494199908892,1.29405746043108e-12
Bulmer effect,2 - 8,20X,Peri,2,4,GW,0.310861837303615,0.0450292735313073,Inf,6.90354991153663,5.07188246211422e-12
Bulmer effect,2 - 8,2X,Peri,2,4,GW,0.316515569411916,0.0450292735313071,Inf,7.0291067252474,2.07859946832506e-12
Bulmer effect,2 - 8,20X,WT,2,4,GW,0.370182277902565,0.0450292735313073,Inf,8.22092494219768,2.01939626422323e-16
Bulmer effect,2 - 8,2X,WT,2,4,GW,0.27639670648134,0.0450292735313072,Inf,6.13815602175264,8.34848491437299e-10
Bulmer effect,2 - 8,20X,Chr,200,4,GW,0.16387623290317,0.0450292735313071,Inf,3.63932659915629,0.000273351932006263
Bulmer effect,2 - 8,2X,Chr,200,4,GW,0.181329514151872,0.0450292735313072,Inf,4.02692515183041,5.65110116899719e-05
Bulmer effect,2 - 8,20X,Peri,200,4,GW,0.20512549960454,0.0450292735313072,Inf,4.55538105587965,5.22906981537267e-06
Bulmer effect,2 - 8,2X,Peri,200,4,GW,0.215637701262972,0.0450292735313062,Inf,4.78883367090192,1.67753448605211e-06
Bulmer effect,2 - 8,20X,WT,200,4,GW,0.209555486697103,0.0450292735313072,Inf,4.65376121494402,3.25934235353148e-06
Bulmer effect,2 - 8,2X,WT,200,4,GW,0.219922681358961,0.0450292735313068,Inf,4.88399354713237,1.03958478245469e-06
