response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Chr,20X,2,2,GW,negative_QTL,DV,-0.024955576603083,0.00576834677914851,Inf,-4.3262961743723,1.51637503588088e-05
QTL fixation,2 - 200,Peri,20X,2,2,GW,negative_QTL,DV,-0.0325988264458604,0.00576834677914858,Inf,-5.65132917523244,1.59211862104879e-08
QTL fixation,2 - 200,WT,20X,2,2,GW,negative_QTL,DV,-0.0331764228417627,0.00576834677914849,Inf,-5.7514612265839,8.84753741075808e-09
QTL fixation,2 - 200,Chr,2X,2,2,GW,negative_QTL,DV,-0.0307981528403649,0.00576834677914852,Inf,-5.33916458554372,9.3375848218536e-08
QTL fixation,2 - 200,Peri,2X,2,2,GW,negative_QTL,DV,-0.0328904898380143,0.00576834677914856,Inf,-5.70189191067828,1.18484954500104e-08
QTL fixation,2 - 200,WT,2X,2,2,GW,negative_QTL,DV,-0.0376478305394627,0.00576834677914846,Inf,-6.52662400179421,6.72686288284385e-11
QTL fixation,2 - 200,Chr,20X,8,2,GW,negative_QTL,DV,0.0174760151715928,0.00576834677914849,Inf,3.02964017953382,0.00244845250141249
QTL fixation,2 - 200,Peri,20X,8,2,GW,negative_QTL,DV,0.0157524324124187,0.00576834677914862,Inf,2.73084005097621,0.00631731233035181
QTL fixation,2 - 200,WT,20X,8,2,GW,negative_QTL,DV,0.0131807661501292,0.00576834677914849,Inf,2.28501625418486,0.0223118746949892
QTL fixation,2 - 200,Chr,2X,8,2,GW,negative_QTL,DV,0.0138416699610336,0.00576834677914863,Inf,2.39959047036983,0.016413423313183
QTL fixation,2 - 200,Peri,2X,8,2,GW,negative_QTL,DV,0.0204703047855477,0.00576834677914878,Inf,3.54872991678361,0.000387093896492439
QTL fixation,2 - 200,WT,2X,8,2,GW,negative_QTL,DV,0.0128312303503174,0.00576834677914857,Inf,2.22442076414333,0.0261201481089438
QTL fixation,2 - 200,Chr,20X,2,3,GW,negative_QTL,DV,-0.0439166904328274,0.00576834677914853,Inf,-7.61339290341868,2.66992570901935e-14
QTL fixation,2 - 200,Peri,20X,2,3,GW,negative_QTL,DV,-0.0422342339441998,0.00576834677914854,Inf,-7.32172242086214,2.44808140207301e-13
QTL fixation,2 - 200,WT,20X,2,3,GW,negative_QTL,DV,-0.0622608961925542,0.00576834677914854,Inf,-10.7935425133619,3.69274955206477e-27
QTL fixation,2 - 200,Chr,2X,2,3,GW,negative_QTL,DV,-0.0454596374035651,0.00576834677914858,Inf,-7.88087803040772,3.25088520876487e-15
QTL fixation,2 - 200,Peri,2X,2,3,GW,negative_QTL,DV,-0.0495757905068623,0.00576834677914854,Inf,-8.59445390593873,8.36617024644409e-18
QTL fixation,2 - 200,WT,2X,2,3,GW,negative_QTL,DV,-0.0566039257252776,0.00576834677914859,Inf,-9.81285069924877,9.91278378058302e-23
QTL fixation,2 - 200,WT,20X,8,3,GW,negative_QTL,DV,-0.0173881802551447,0.00576834677914853,Inf,-3.01441312751855,0.00257476936365043
QTL fixation,2 - 200,Chr,2X,8,3,GW,negative_QTL,DV,-0.0113427752867725,0.00576834677914853,Inf,-1.96638234853953,0.049254460855307
QTL fixation,2 - 200,Peri,2X,8,3,GW,negative_QTL,DV,-0.0121915262694182,0.00576834677914851,Inf,-2.11352173095562,0.0345561370460627
