response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,CV - GW,20X,Chr,2,2,2,large_neg,R,-0.0177727272726431,0.00754599282974207,Inf,-2.35525366557373,0.0185100650920589
QTL AF,CV - GW,2X,Chr,2,2,2,large_neg,R,-0.0384681818181826,0.00754599282974173,Inf,-5.09782909765888,3.43570779830093e-07
QTL AF,CV - GW,20X,Peri,2,2,2,large_neg,R,-0.0283636363636748,0.00754599282974162,Inf,-3.75876799827889,0.000170752076451979
QTL AF,CV - GW,2X,Peri,2,2,2,large_neg,R,-0.0255454545454464,0.00754599282974138,Inf,-3.38530066511101,0.000711003289170207
QTL AF,CV - GW,20X,WT,2,2,2,large_neg,R,-0.0393909090909293,0.00754599282974154,Inf,-5.22010953093876,1.78817342376205e-07
QTL AF,CV - GW,2X,WT,2,2,2,large_neg,R,-0.0254499999999993,0.00754599282974146,Inf,-3.37265096511777,0.000744482614718044
QTL AF,CV - GW,20X,Chr,2,2,3,large_neg,R,-0.0705204545454049,0.00754599282974085,Inf,-9.34541764570252,9.15275266347011e-21
QTL AF,CV - GW,2X,Chr,2,2,3,large_neg,R,-0.0553363636363704,0.0075459928297411,Inf,-7.33321179663366,2.24701397649208e-13
QTL AF,CV - GW,20X,Peri,2,2,3,large_neg,R,-0.0230590909091168,0.00754599282974138,Inf,-3.05580609860017,0.00224456360820255
QTL AF,CV - GW,2X,Peri,2,2,3,large_neg,R,-0.0427363636363533,0.00754599282974133,Inf,-5.66345139739793,1.48358205689968e-08
QTL AF,CV - GW,20X,WT,2,2,3,large_neg,R,-0.0476227272727402,0.00754599282974139,Inf,-6.31099556377027,2.77246142357469e-10
QTL AF,CV - GW,2X,WT,2,2,3,large_neg,R,-0.0416681818181811,0.00754599282974137,Inf,-5.52189523079751,3.35362448569085e-08
QTL AF,CV - GW,20X,Chr,200,8,3,large_neg,R,-0.0159461820488299,0.00754599282974142,Inf,-2.11319867492854,0.0345837666762768
QTL AF,CV - GW,20X,Chr,200,8,4,large_neg,R,-0.0150369413578335,0.00754599282974126,Inf,-1.99270549245263,0.0462937056046324
QTL AF,CV - GW,20X,Chr,2,2,5,large_neg,R,-0.0460909090908867,0.00754599282974233,Inf,-6.10799799719139,1.00888619380211e-09
QTL AF,CV - GW,2X,Chr,2,2,5,large_neg,R,-0.0590909090909111,0.00754599282974131,Inf,-7.83076666307101,4.84903884860522e-15
QTL AF,CV - GW,20X,Peri,2,2,5,large_neg,R,-0.0502318181818235,0.00754599282974149,Inf,-6.65675403027707,2.79941091512774e-11
QTL AF,CV - GW,2X,Peri,2,2,5,large_neg,R,-0.0314431818181786,0.00754599282974127,Inf,-4.16687141475281,3.08808569046898e-05
QTL AF,CV - GW,20X,WT,2,2,5,large_neg,R,-0.029181818181852,0.0075459928297417,Inf,-3.86719399822844,0.000110094844367286
QTL AF,CV - GW,2X,WT,2,2,5,large_neg,R,-0.0334477272727202,0.00754599282974157,Inf,-4.43251511463014,9.31401709381962e-06
QTL AF,CV - GW,20X,WT,2,8,5,large_neg,R,-0.0172590909090791,0.00754599282974148,Inf,-2.28718623228143,0.0221849552768638
QTL AF,CV - GW,20X,Chr,200,8,5,large_neg,R,-0.0185193673692828,0.0075459928297415,Inf,-2.45419890889522,0.0141198854232565
QTL AF,CV - GW,20X,Chr,2,2,2,med_neg,R,-0.0763887500000386,0.00754599282974172,Inf,-10.1230880711893,4.36424456472953e-24
QTL AF,CV - GW,2X,Chr,2,2,2,med_neg,R,-0.0521287499999919,0.00754599282974153,Inf,-6.90813669932647,4.91060685224619e-12
QTL AF,CV - GW,20X,Peri,2,2,2,med_neg,R,-0.0616237499999888,0.00754599282974151,Inf,-8.16642042874824,3.17674771092664e-16
QTL AF,CV - GW,2X,Peri,2,2,2,med_neg,R,-0.0570862500000022,0.00754599282974162,Inf,-7.56510790402605,3.87542771832705e-14
QTL AF,CV - GW,20X,WT,2,2,2,med_neg,R,-0.0596774999999904,0.00754599282974154,Inf,-7.90850208136687,2.60504290747195e-15
QTL AF,CV - GW,2X,WT,2,2,2,med_neg,R,-0.040685000000002,0.00754599282974145,Inf,-5.39160332085765,6.98317883392883e-08
QTL AF,CV - GW,20X,Chr,2,8,2,med_neg,R,-0.020629999999998,0.00754599282974158,Inf,-2.73390135207755,0.00625887928072908
QTL AF,CV - GW,2X,Chr,2,8,2,med_neg,R,-0.0237799999999984,0.00754599282974123,Inf,-3.15134145188605,0.00162522371815493
QTL AF,CV - GW,20X,Peri,2,8,2,med_neg,R,-0.0293762500000038,0.00754599282974129,Inf,-3.89296023237951,9.90283906016364e-05
QTL AF,CV - GW,20X,WT,2,8,2,med_neg,R,-0.0164600000000027,0.00754599282974167,Inf,-2.18129017233193,0.0291619608602231
QTL AF,CV - GW,2X,WT,2,8,2,med_neg,R,-0.0219637500000002,0.00754599282974152,Inf,-2.91065079116336,0.00360676880618818
QTL AF,CV - GW,20X,Chr,2,2,3,med_neg,R,-0.101357500000032,0.00754599282974143,Inf,-13.4319634655027,3.92855266190212e-41
QTL AF,CV - GW,2X,Chr,2,2,3,med_neg,R,-0.0836637499999914,0.0075459928297413,Inf,-11.0871759207409,1.44786685667605e-28
QTL AF,CV - GW,20X,Peri,2,2,3,med_neg,R,-0.103473749999988,0.00754599282974123,Inf,-13.7124103262018,8.55673345038829e-43
QTL AF,CV - GW,2X,Peri,2,2,3,med_neg,R,-0.0880212500000028,0.00754599282974124,Inf,-11.6646347254774,1.93230614593442e-31
QTL AF,CV - GW,20X,WT,2,2,3,med_neg,R,-0.0877624999999941,0.00754599282974143,Inf,-11.6303450029917,2.88927456864161e-31
QTL AF,CV - GW,2X,WT,2,2,3,med_neg,R,-0.0800200000000007,0.00754599282974143,Inf,-10.604303741797,2.84575669693399e-26
QTL AF,CV - GW,20X,Chr,2,8,3,med_neg,R,-0.0452049999999923,0.00754599282974139,Inf,-5.99059673391467,2.09072473476216e-09
QTL AF,CV - GW,2X,Chr,2,8,3,med_neg,R,-0.0543974999999981,0.00754599282974136,Inf,-7.20879296168939,5.64500133941785e-13
QTL AF,CV - GW,20X,Peri,2,8,3,med_neg,R,-0.0255300000000035,0.00754599282974142,Inf,-3.3832526184468,0.000716327092989034
QTL AF,CV - GW,2X,Peri,2,8,3,med_neg,R,-0.0306912499999998,0.00754599282974181,Inf,-4.06722490896534,4.75763204420765e-05
QTL AF,CV - GW,20X,WT,2,8,3,med_neg,R,-0.024336250000003,0.00754599282974141,Inf,-3.22505607268605,0.00125947997891658
QTL AF,CV - GW,2X,WT,2,8,3,med_neg,R,-0.0161587500000003,0.00754599282974193,Inf,-2.14136832151654,0.0322443474720862
QTL AF,CV - GW,20X,Chr,2,2,4,med_neg,R,-0.0505937500000202,0.00754599282974143,Inf,-6.70471747609041,2.01796410821226e-11
QTL AF,CV - GW,2X,Chr,2,2,4,med_neg,R,-0.0790412499999956,0.00754599282974145,Inf,-10.4745991393559,1.13015384970585e-25
QTL AF,CV - GW,20X,Peri,2,2,4,med_neg,R,-0.0536699999999934,0.00754599282974138,Inf,-7.11238417673301,1.14055243437656e-12
QTL AF,CV - GW,2X,Peri,2,2,4,med_neg,R,-0.058798750000002,0.00754599282974147,Inf,-7.79204954558861,6.59308688797466e-15
QTL AF,CV - GW,20X,WT,2,2,4,med_neg,R,-0.0358062499999928,0.00754599282974141,Inf,-4.74506811865336,2.08436180233777e-06
QTL AF,CV - GW,2X,WT,2,2,4,med_neg,R,-0.0686375000000024,0.00754599282974155,Inf,-9.09588725415648,9.3817288767191e-20
QTL AF,CV - GW,20X,Chr,2,2,5,med_neg,R,-0.119248750000026,0.00754599282974152,Inf,-15.8029238419129,2.97015141143965e-56
QTL AF,CV - GW,2X,Chr,2,2,5,med_neg,R,-0.0797049999999904,0.00754599282974139,Inf,-10.5625597318149,4.44375924391353e-26
QTL AF,CV - GW,20X,Peri,2,2,5,med_neg,R,-0.109449999999994,0.00754599282974131,Inf,-14.5043869600054,1.13648272221133e-47
QTL AF,CV - GW,2X,Peri,2,2,5,med_neg,R,-0.103340000000001,0.00754599282974121,Inf,-13.694685687045,1.09231999883923e-42
QTL AF,CV - GW,20X,WT,2,2,5,med_neg,R,-0.0947862499999938,0.00754599282974136,Inf,-12.5611370350643,3.45334064964859e-36
QTL AF,CV - GW,2X,WT,2,2,5,med_neg,R,-0.0936012500000012,0.00754599282974153,Inf,-12.4041000451371,2.48286688232158e-35
QTL AF,CV - GW,20X,Chr,2,8,5,med_neg,R,-0.0543137499999926,0.00754599282974147,Inf,-7.19769435586032,6.12392246097517e-13
