response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,DV - R,CV,20X,Chr,2,2,5,negative_QTL,0.0173809523798622,0.00576834677914872,Inf,3.01316010380832,0.00258542478885409
QTL fixation,DV - R,GW,20X,Chr,2,2,5,negative_QTL,0.0147619047632875,0.00576834677914863,Inf,2.55912228034707,0.0104936822890219
QTL fixation,DV - R,CV,2X,Chr,2,2,5,negative_QTL,0.0150000000007184,0.00576834677914853,Inf,2.60039844604013,0.00931155749187645
QTL fixation,DV - R,CV,20X,Peri,2,2,5,negative_QTL,0.024761904762001,0.00576834677914859,Inf,4.29272124406776,1.76496536700786e-05
QTL fixation,DV - R,CV,2X,Peri,2,2,5,negative_QTL,0.0311904761905308,0.00576834677914852,Inf,5.40717772088157,6.40256060090882e-08
QTL fixation,DV - R,GW,2X,Peri,2,2,5,negative_QTL,-0.0116666666666235,0.00576834677914848,Inf,-2.02253212459355,0.0431214083083937
QTL fixation,DV - R,CV,20X,WT,2,2,5,negative_QTL,0.0307142857144296,0.0057683467791486,Inf,5.3246253892806,1.0116130047433e-07
QTL fixation,DV - R,GW,20X,WT,2,2,5,negative_QTL,0.0219047619045588,0.00576834677914852,Inf,3.79740725431771,0.00014621745669866
QTL fixation,DV - R,CV,2X,WT,2,2,5,negative_QTL,0.01857142857139,0.00576834677914853,Inf,3.21954093303166,0.00128396028528238
QTL fixation,DV - R,GW,2X,WT,2,2,5,negative_QTL,0.0219047619048048,0.00576834677914852,Inf,3.79740725436036,0.000146217456673508
QTL fixation,DV - R,CV,2X,Chr,200,2,5,negative_QTL,0.0189193934326782,0.00576834677914853,Inf,3.27986408533346,0.00103857106944018
QTL fixation,DV - R,CV,20X,Peri,200,2,5,negative_QTL,0.0135094684681491,0.00576834677914855,Inf,2.34200005398137,0.0191807121498484
QTL fixation,DV - R,CV,2X,Peri,200,2,5,negative_QTL,0.0192080842257393,0.00576834677914849,Inf,3.32991149130856,0.000868735940468495
QTL fixation,DV - R,CV,20X,WT,200,2,5,negative_QTL,0.016079164760079,0.00576834677914852,Inf,2.78748233691534,0.00531193499509963
QTL fixation,DV - R,CV,2X,WT,200,2,5,negative_QTL,0.0167641033807584,0.00576834677914851,Inf,2.90622322523282,0.00365820371415456
QTL fixation,DV - R,CV,20X,Chr,2,8,5,negative_QTL,0.023571428570802,0.00576834677914862,Inf,4.08634041490151,4.38230667027554e-05
QTL fixation,DV - R,GW,20X,Chr,2,8,5,negative_QTL,0.0135714285712753,0.00576834677914853,Inf,2.35274145103991,0.0186355866495736
QTL fixation,DV - R,CV,2X,Chr,2,8,5,negative_QTL,0.0230952380951064,0.00576834677914854,Inf,4.003788083371,6.23362089343297e-05
QTL fixation,DV - R,CV,20X,Peri,2,8,5,negative_QTL,0.0347619047619444,0.00576834677914855,Inf,6.02632020800169,1.67734709538172e-09
QTL fixation,DV - R,CV,2X,Peri,2,8,5,negative_QTL,0.0211904761904752,0.0057683467791485,Inf,3.67357875692821,0.000239176912233858
QTL fixation,DV - R,CV,20X,WT,2,8,5,negative_QTL,0.030238095238211,0.00576834677914855,Inf,5.2420730576594,1.58782473653983e-07
QTL fixation,DV - R,CV,2X,WT,2,8,5,negative_QTL,0.0266666666666563,0.00576834677914854,Inf,4.62293057051479,3.78356387307317e-06
QTL fixation,DV - R,GW,2X,WT,2,8,5,negative_QTL,0.0126190476190393,0.00576834677914843,Inf,2.18763678783234,0.0286960699131606
QTL fixation,DV - R,GW,20X,Chr,200,8,5,negative_QTL,0.0163280239047994,0.00576834677914853,Inf,2.83062453246086,0.00464572219193689
QTL fixation,DV - R,CV,2X,Chr,200,8,5,negative_QTL,0.0213485017203342,0.00576834677914852,Inf,3.70097404641222,0.000214773445062332
QTL fixation,DV - R,GW,2X,Chr,200,8,5,negative_QTL,0.0191952062668233,0.00576834677914867,Inf,3.32767896968501,0.000875727187175231
QTL fixation,DV - R,GW,20X,Peri,200,8,5,negative_QTL,0.0115230380832265,0.00576834677914854,Inf,1.99763268825654,0.0457564966596211
QTL fixation,DV - R,CV,2X,Peri,200,8,5,negative_QTL,0.0220024905338422,0.00576834677914841,Inf,3.81434947936512,0.000136542128574046
QTL fixation,DV - R,GW,2X,Peri,200,8,5,negative_QTL,0.0261850069786812,0.00576834677914832,Inf,4.53943009691026,5.64064760034142e-06
QTL fixation,DV - R,CV,20X,WT,200,8,5,negative_QTL,0.0200821950099857,0.00576834677914859,Inf,3.48144724630267,0.0004987120072616
QTL fixation,DV - R,GW,20X,WT,200,8,5,negative_QTL,0.0244028633584216,0.00576834677914864,Inf,4.23047786354191,2.33195392359667e-05
QTL fixation,DV - R,CV,2X,WT,200,8,5,negative_QTL,0.0166349560607685,0.00576834677914852,Inf,2.88383425921977,0.0039286546290607
QTL fixation,DV - R,GW,2X,WT,200,8,5,negative_QTL,0.0226402445642773,0.00576834677914875,Inf,3.92491045200621,8.67620067957121e-05
QTL fixation,DV - R,GW,2X,Chr,2,2,1,positive_QTL,0.0149999999995428,0.00576834677914852,Inf,2.60039844583632,0.00931155749740738
QTL fixation,DV - R,GW,2X,Peri,2,2,1,positive_QTL,0.0123809523810747,0.00576834677914845,Inf,2.14636062204679,0.0318442184478279
QTL fixation,DV - R,CV,20X,Chr,200,2,1,positive_QTL,0.0493443647881014,0.00576834677914848,Inf,8.55433396731144,1.18551221913876e-17
QTL fixation,DV - R,GW,20X,Chr,200,2,1,positive_QTL,0.0407528250338626,0.00576834677914846,Inf,7.06490552564848,1.60725304411526e-12
