response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,large_neg - small_neg,8,2X,WT,2,2,CV,DV,0.171370454545459,0.00754599282974142,Inf,22.710126872905,0
QTL AF,med_neg - small_neg,8,2X,WT,2,2,CV,DV,0.0570334090909078,0.00754599282974135,Inf,7.55810539152907,1.41553435639707e-13
QTL AF,large_neg - med_neg,2,20X,Chr,200,2,CV,DV,-0.0199471503058435,0.00754599282974163,Inf,-2.64340965541661,0.0223550949079908
QTL AF,large_neg - small_neg,2,20X,Chr,200,2,CV,DV,-0.0301552954765922,0.00754599282974167,Inf,-3.99619985825306,0.000190115352184939
QTL AF,large_neg - med_neg,8,20X,Chr,200,2,CV,DV,-0.0306023550447599,0.0075459928297414,Inf,-4.05544449023929,0.00014799652896258
QTL AF,large_neg - small_neg,8,20X,Chr,200,2,CV,DV,-0.0515011165176624,0.00754599282974139,Inf,-6.82496229186417,2.64066546407094e-11
QTL AF,med_neg - small_neg,8,20X,Chr,200,2,CV,DV,-0.0208987614729025,0.00754599282974144,Inf,-2.76951780162486,0.0154979427209431
QTL AF,large_neg - med_neg,2,2X,Chr,200,2,CV,DV,-0.0194468630282076,0.0075459928297415,Inf,-2.57711125188994,0.0269263867686197
QTL AF,large_neg - small_neg,2,2X,Chr,200,2,CV,DV,-0.030710308201672,0.00754599282974142,Inf,-4.06975051455546,0.000139239512673695
QTL AF,large_neg - med_neg,8,2X,Chr,200,2,CV,DV,-0.0277414200804976,0.00754599282974145,Inf,-3.67631148165935,0.000692299928208628
QTL AF,large_neg - small_neg,8,2X,Chr,200,2,CV,DV,-0.0460048954591727,0.0075459928297414,Inf,-6.0965994133802,3.24943738583272e-09
QTL AF,med_neg - small_neg,8,2X,Chr,200,2,CV,DV,-0.018263475378675,0.00754599282974142,Inf,-2.42028793172082,0.0410651311791632
QTL AF,large_neg - med_neg,2,20X,Peri,200,2,CV,DV,-0.0206800752796718,0.00754599282974146,Inf,-2.74053736152044,0.0168835104239431
QTL AF,large_neg - small_neg,2,20X,Peri,200,2,CV,DV,-0.0323475837070874,0.00754599282974147,Inf,-4.28672335595045,5.38645292030848e-05
QTL AF,large_neg - med_neg,8,20X,Peri,200,2,CV,DV,-0.0291634617409574,0.0075459928297415,Inf,-3.86476139044469,0.000327307503695695
QTL AF,large_neg - small_neg,8,20X,Peri,200,2,CV,DV,-0.0500164869989179,0.00754599282974152,Inf,-6.62821819837738,1.01943342656341e-10
QTL AF,med_neg - small_neg,8,20X,Peri,200,2,CV,DV,-0.0208530252579605,0.00754599282974166,Inf,-2.76345680793265,0.0157791124428723
QTL AF,large_neg - small_neg,2,2X,Peri,200,2,CV,DV,-0.0303189869597231,0.00754599282974144,Inf,-4.01789236271537,0.000173526864495677
QTL AF,large_neg - med_neg,8,2X,Peri,200,2,CV,DV,-0.0266651485186716,0.00754599282974136,Inf,-3.53368325683733,0.00119221664935087
QTL AF,large_neg - small_neg,8,2X,Peri,200,2,CV,DV,-0.0457753154673215,0.00754599282974171,Inf,-6.06617531982049,3.92844046182006e-09
QTL AF,med_neg - small_neg,8,2X,Peri,200,2,CV,DV,-0.0191101669486499,0.00754599282974172,Inf,-2.53249206298332,0.0304404854887264
QTL AF,large_neg - med_neg,2,20X,WT,200,2,CV,DV,-0.0189529898619608,0.00754599282974147,Inf,-2.5116628506802,0.0322118380979974
QTL AF,large_neg - small_neg,2,20X,WT,200,2,CV,DV,-0.0322041848542249,0.0075459928297415,Inf,-4.26772004437859,5.86448580184307e-05
QTL AF,large_neg - med_neg,8,20X,WT,200,2,CV,DV,-0.0276062243365755,0.00754599282974142,Inf,-3.65839525155253,0.000742043120412039
QTL AF,large_neg - small_neg,8,20X,WT,200,2,CV,DV,-0.0459488789905756,0.00754599282974141,Inf,-6.08917607362081,3.40371042462095e-09
QTL AF,med_neg - small_neg,8,20X,WT,200,2,CV,DV,-0.0183426546540001,0.00754599282974138,Inf,-2.43078082206828,0.0399534121096037
QTL AF,large_neg - med_neg,2,2X,WT,200,2,CV,DV,-0.0183881561181822,0.00754599282974134,Inf,-2.43681070643325,0.0393261878490786
QTL AF,large_neg - small_neg,2,2X,WT,200,2,CV,DV,-0.0311824972543056,0.00754599282974138,Inf,-4.13232532257446,0.000106382732258825
QTL AF,large_neg - med_neg,8,2X,WT,200,2,CV,DV,-0.0280724206517802,0.00754599282974134,Inf,-3.72017589801268,0.000583352609548893
QTL AF,large_neg - small_neg,8,2X,WT,200,2,CV,DV,-0.0475205695089054,0.00754599282974141,Inf,-6.29745754880791,9.07538044714329e-10
QTL AF,med_neg - small_neg,8,2X,WT,200,2,CV,DV,-0.0194481488571251,0.00754599282974124,Inf,-2.57728165079532,0.0269136699731664
QTL AF,large_neg - med_neg,2,20X,Chr,2,3,CV,DV,0.0417868181813261,0.00754599282974067,Inf,5.53761700072569,9.1889902020803e-08
QTL AF,large_neg - small_neg,2,20X,Chr,2,3,CV,DV,-0.106704545454951,0.00754599282974128,Inf,-14.1405574935604,0
QTL AF,med_neg - small_neg,2,20X,Chr,2,3,CV,DV,-0.148491363636277,0.00754599282974108,Inf,-19.6781744942862,0
QTL AF,large_neg - med_neg,8,20X,Chr,2,3,CV,DV,0.157784772727247,0.00754599282974117,Inf,20.9097432620618,0
QTL AF,large_neg - small_neg,8,20X,Chr,2,3,CV,DV,0.197090909090844,0.00754599282974124,Inf,26.1186186546645,0
QTL AF,med_neg - small_neg,8,20X,Chr,2,3,CV,DV,0.039306136363597,0.00754599282974151,Inf,5.2088753926027,5.68854711113787e-07
QTL AF,large_neg - med_neg,2,2X,Chr,2,3,CV,DV,0.0458445454546441,0.00754599282974072,Inf,6.07534972389039,3.71030972612374e-09
QTL AF,large_neg - small_neg,2,2X,Chr,2,3,CV,DV,-0.0975068181817271,0.0075459928297409,Inf,-12.9216685440549,0
QTL AF,med_neg - small_neg,2,2X,Chr,2,3,CV,DV,-0.143351363636371,0.00754599282974146,Inf,-18.9970182679438,0
QTL AF,large_neg - med_neg,8,2X,Chr,2,3,CV,DV,0.164429772727259,0.00754599282974113,Inf,21.7903430916591,0
QTL AF,large_neg - small_neg,8,2X,Chr,2,3,CV,DV,0.198097727272717,0.00754599282974125,Inf,26.2520428712771,0
QTL AF,med_neg - small_neg,8,2X,Chr,2,3,CV,DV,0.0336679545454584,0.0075459928297415,Inf,4.46169977961823,2.42138750082832e-05
QTL AF,large_neg - med_neg,2,20X,Peri,2,3,CV,DV,0.0350411363636707,0.00754599282974154,Inf,4.64367474953868,1.02123773454421e-05
QTL AF,large_neg - small_neg,2,20X,Peri,2,3,CV,DV,-0.106556818181792,0.0075459928297418,Inf,-14.1209805768446,0
QTL AF,med_neg - small_neg,2,20X,Peri,2,3,CV,DV,-0.141597954545463,0.00754599282974139,Inf,-18.7646553263841,0
QTL AF,large_neg - med_neg,8,20X,Peri,2,3,CV,DV,0.168863181818181,0.0075459928297415,Inf,22.3778614197234,0
QTL AF,large_neg - small_neg,8,20X,Peri,2,3,CV,DV,0.185656818181817,0.00754599282974152,Inf,24.6033653053679,0
QTL AF,large_neg - med_neg,2,2X,Peri,2,3,CV,DV,0.0345936363636099,0.00754599282974134,Inf,4.58437175122465,1.35787192414583e-05
QTL AF,large_neg - small_neg,2,2X,Peri,2,3,CV,DV,-0.0921931818182066,0.00754599282974143,Inf,-12.2175019110594,0
QTL AF,med_neg - small_neg,2,2X,Peri,2,3,CV,DV,-0.126786818181817,0.00754599282974143,Inf,-16.801873662284,0
QTL AF,large_neg - med_neg,8,2X,Peri,2,3,CV,DV,0.160054659090917,0.00754599282974146,Inf,21.210550116094,0
QTL AF,large_neg - small_neg,8,2X,Peri,2,3,CV,DV,0.19997727272728,0.00754599282974142,Inf,26.5011214878312,0
QTL AF,med_neg - small_neg,8,2X,Peri,2,3,CV,DV,0.0399226136363635,0.00754599282974157,Inf,5.29057137173701,3.65194241180866e-07
QTL AF,large_neg - small_neg,2,20X,WT,2,3,CV,DV,-0.125743181818151,0.00754599282974178,Inf,-16.6635702756763,0
QTL AF,med_neg - small_neg,2,20X,WT,2,3,CV,DV,-0.14279170454546,0.00754599282974146,Inf,-18.9228518721442,0
QTL AF,large_neg - med_neg,8,20X,WT,2,3,CV,DV,0.169868295454559,0.0075459928297413,Inf,22.5110597488313,0
QTL AF,large_neg - small_neg,8,20X,WT,2,3,CV,DV,0.187709090909114,0.00754599282974137,Inf,24.8753338552467,0
QTL AF,med_neg - small_neg,8,20X,WT,2,3,CV,DV,0.0178407954545559,0.00754599282974146,Inf,2.36427410641564,0.0474529214358779
QTL AF,large_neg - med_neg,2,2X,WT,2,3,CV,DV,0.0297172727272522,0.00754599282974141,Inf,3.93815279152214,0.000242173912535892
QTL AF,large_neg - small_neg,2,2X,WT,2,3,CV,DV,-0.0960045454545697,0.00754599282974155,Inf,-12.7225863608272,0
QTL AF,med_neg - small_neg,2,2X,WT,2,3,CV,DV,-0.125721818181822,0.00754599282974147,Inf,-16.6607391523494,0
QTL AF,large_neg - med_neg,8,2X,WT,2,3,CV,DV,0.149901363636366,0.0075459928297413,Inf,19.8650286342116,0
QTL AF,large_neg - small_neg,8,2X,WT,2,3,CV,DV,0.189061363636365,0.00754599282974148,Inf,25.0545379384945,0
QTL AF,med_neg - small_neg,8,2X,WT,2,3,CV,DV,0.0391599999999986,0.00754599282974145,Inf,5.18950930428334,6.31267634387811e-07
QTL AF,large_neg - med_neg,2,20X,Chr,200,3,CV,DV,-0.0325880629977618,0.00754599282974087,Inf,-4.31859183185585,4.66692676323044e-05
QTL AF,large_neg - small_neg,2,20X,Chr,200,3,CV,DV,-0.0499488684305039,0.007545992829741,Inf,-6.61925734061668,1.08316466906899e-10
QTL AF,large_neg - med_neg,8,20X,Chr,200,3,CV,DV,-0.0480673224658388,0.00754599282974137,Inf,-6.36991361512945,5.67329183631671e-10
QTL AF,large_neg - small_neg,8,20X,Chr,200,3,CV,DV,-0.0783461462654572,0.0075459928297413,Inf,-10.3824835290949,2.62012633811537e-14
QTL AF,med_neg - small_neg,8,20X,Chr,200,3,CV,DV,-0.0302788237996184,0.00754599282974152,Inf,-4.01256991396526,0.000177465507121943
QTL AF,large_neg - med_neg,2,2X,Chr,200,3,CV,DV,-0.0318616529682536,0.00754599282974108,Inf,-4.22232749051616,7.17486023177338e-05
QTL AF,large_neg - small_neg,2,2X,Chr,200,3,CV,DV,-0.0486913139522235,0.00754599282974119,Inf,-6.45260538286166,3.29806848498038e-10
QTL AF,large_neg - med_neg,8,2X,Chr,200,3,CV,DV,-0.0447589157431221,0.00754599282974149,Inf,-5.9314813508318,9.00231511558047e-09
QTL AF,large_neg - small_neg,8,2X,Chr,200,3,CV,DV,-0.0719361042405183,0.00754599282974133,Inf,-9.53302048697867,2.42028619368284e-14
QTL AF,med_neg - small_neg,8,2X,Chr,200,3,CV,DV,-0.0271771884973961,0.00754599282974158,Inf,-3.60153913614663,0.000922876607317713
QTL AF,large_neg - med_neg,2,20X,Peri,200,3,CV,DV,-0.0310619537518474,0.00754599282974148,Inf,-4.11635081727365,0.000113991093794619
QTL AF,large_neg - small_neg,2,20X,Peri,200,3,CV,DV,-0.0490479568348245,0.00754599282974147,Inf,-6.49986793540392,2.41164532788218e-10
