response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,2 - 8,2X,WT,2,5,GW,DV,-0.106525367357915,0.0306571205858941,Inf,-3.47473491711185,0.000511358399622637
Prediction accuracy,2 - 8,20X,Chr,200,5,GW,DV,-0.298423407701811,0.0304226666147198,Inf,-9.80924556946699,1.02733740745951e-22
Prediction accuracy,2 - 8,2X,Chr,200,5,GW,DV,-0.34537603770409,0.0304226666147096,Inf,-11.352589241375,7.19985090228848e-30
Prediction accuracy,2 - 8,20X,Peri,200,5,GW,DV,-0.330066811218182,0.0304226666147089,Inf,-10.8493714702379,2.0080138956794e-27
Prediction accuracy,2 - 8,2X,Peri,200,5,GW,DV,-0.334396068686513,0.0304226666147037,Inf,-10.9916751520031,4.19074877144849e-28
Prediction accuracy,2 - 8,20X,WT,200,5,GW,DV,-0.346359890498485,0.0304226666147027,Inf,-11.384928707436,4.97088819653419e-30
Prediction accuracy,2 - 8,2X,WT,200,5,GW,DV,-0.330886810535549,0.0304226666147058,Inf,-10.8763250350843,1.49468091761234e-27
Prediction accuracy,2 - 8,20X,Chr,200,1,CV,R,-0.491073683175771,0.0304226666147079,Inf,-16.1417041245938,1.29904574950997e-58
Prediction accuracy,2 - 8,2X,Chr,200,1,CV,R,-0.474616657446679,0.0304226666147076,Inf,-15.6007579301818,7.19350042277028e-55
Prediction accuracy,2 - 8,20X,Peri,200,1,CV,R,-0.469526542879912,0.0304226666147092,Inf,-15.4334447018165,9.75230794297871e-54
Prediction accuracy,2 - 8,2X,Peri,200,1,CV,R,-0.458038422196806,0.0304226666147041,Inf,-15.0558275511399,3.16118740659394e-51
Prediction accuracy,2 - 8,20X,WT,200,1,CV,R,-0.481728989524249,0.0304226666147067,Inf,-15.8345419099907,1.79763524728103e-56
Prediction accuracy,2 - 8,2X,WT,200,1,CV,R,-0.46519201126494,0.0304226666147076,Inf,-15.2909676576492,8.78352845821336e-53
