response,contrast,Map_type,QTL,H2,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,20X - 2X,Peri,2,8,2,GW,negative_QTL,R,0.0109523809523796,0.00541011292048734,Inf,2.02442742200528,0.0429261926350067
QTL fixation,20X - 2X,Chr,2,2,3,GW,negative_QTL,R,0.0135714285716141,0.00541011292048734,Inf,2.50852963164983,0.0121234799472367
QTL fixation,20X - 2X,Chr,2,8,3,GW,negative_QTL,R,0.0164285714284707,0.00541011292048732,Inf,3.03664113298967,0.00239230086076485
QTL fixation,20X - 2X,Peri,2,8,4,GW,negative_QTL,R,-0.0121428571428613,0.00541011292048739,Inf,-2.24447388091991,0.024801927612812
QTL fixation,20X - 2X,WT,2,8,5,GW,negative_QTL,R,0.0147619047618938,0.00541011292048726,Inf,2.72857609052719,0.00636084135369959
QTL fixation,20X - 2X,Chr,200,2,1,CV,positive_QTL,R,-0.013951817233468,0.0054101129204872,Inf,-2.57884030121344,0.00991326042922824
QTL fixation,20X - 2X,Chr,200,8,1,CV,positive_QTL,R,-0.011571166049808,0.00541011292048732,Inf,-2.1388030564001,0.0324516218395672
QTL fixation,20X - 2X,Chr,200,2,3,CV,positive_QTL,R,-0.0149336211461702,0.00541011292048729,Inf,-2.76031597965706,0.00577454799037446
QTL fixation,20X - 2X,Chr,2,8,3,CV,positive_QTL,R,-0.0135714285713423,0.00541011292048724,Inf,-2.50852963159963,0.0121234799489593
QTL fixation,20X - 2X,WT,2,8,3,CV,positive_QTL,R,0.0130952380952369,0.00541011292048718,Inf,2.42051104804994,0.015498708323037
QTL fixation,20X - 2X,Peri,200,8,3,CV,positive_QTL,R,-0.0133892724247023,0.00541011292048734,Inf,-2.4748600669681,0.0133288388153986
QTL fixation,20X - 2X,Chr,200,8,4,CV,positive_QTL,R,-0.0124188099780986,0.00541011292048733,Inf,-2.29548073406571,0.0217055892737074
QTL fixation,20X - 2X,Chr,200,2,5,CV,positive_QTL,R,-0.0204230028591708,0.0054101129204873,Inf,-3.77496794601679,0.000160028239667623
QTL fixation,20X - 2X,Peri,2,8,5,CV,positive_QTL,R,0.0114285714285723,0.00541011292048741,Inf,2.11244600557111,0.0346482125458103
QTL fixation,20X - 2X,Chr,200,8,5,CV,positive_QTL,R,-0.0131145768727118,0.00541011292048729,Inf,-2.42408560883247,0.0153469871827746
QTL fixation,20X - 2X,Chr,2,2,2,GW,positive_QTL,R,-0.0176190476188484,0.00541011292048727,Inf,-3.25668759188514,0.00112720419546671
QTL fixation,20X - 2X,WT,2,2,2,GW,positive_QTL,R,-0.0130952380952365,0.00541011292048733,Inf,-2.42051104804979,0.0154987083230431
QTL fixation,20X - 2X,Chr,2,2,3,GW,positive_QTL,R,-0.0197619047617927,0.00541011292048732,Inf,-3.65277121794579,0.00025942535361748
QTL fixation,20X - 2X,Chr,2,8,3,GW,positive_QTL,R,-0.024285714285795,0.00541011292048723,Inf,-4.48894776185335,7.15758450049598e-06
QTL fixation,20X - 2X,Peri,200,2,5,GW,positive_QTL,R,-0.0148866319001929,0.00541011292048753,Inf,-2.75163053322211,0.00592993815777591
QTL fixation,20X - 2X,WT,2,8,5,GW,positive_QTL,R,-0.0183333333333321,0.00541011292048715,Inf,-3.38871546727,0.000702208347443377
