response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,2 - 8,20X,Chr,2,4,GW,large_neg,DV,-0.0897409090909121,0.00754599282974098,Inf,-11.8925250945398,1.29433273809202e-32
QTL AF,2 - 8,2X,Chr,2,4,GW,large_neg,DV,-0.084097727272733,0.00754599282974122,Inf,-11.1446868782165,7.60111817405922e-29
QTL AF,2 - 8,20X,Peri,2,4,GW,large_neg,DV,-0.0913977272727462,0.00754599282974133,Inf,-12.1120877444405,9.11443144139933e-34
QTL AF,2 - 8,2X,Peri,2,4,GW,large_neg,DV,-0.0813795454545388,0.00754599282974128,Inf,-10.7844716117135,4.07578852520153e-27
QTL AF,2 - 8,20X,WT,2,4,GW,large_neg,DV,-0.0994909090909342,0.00754599282974138,Inf,-13.1846015939488,1.07621034179675e-39
QTL AF,2 - 8,2X,WT,2,4,GW,large_neg,DV,-0.0891977272727244,0.00754599282974145,Inf,-11.8205422779047,3.05704788724393e-32
QTL AF,2 - 8,20X,Chr,200,4,GW,large_neg,DV,0.0217826054797741,0.00754599282974125,Inf,2.88664539859111,0.0038937279222616
QTL AF,2 - 8,2X,Chr,200,4,GW,large_neg,DV,0.0148345899493859,0.00754599282974145,Inf,1.96588974891647,0.0493113474611801
QTL AF,2 - 8,20X,Peri,200,4,GW,large_neg,DV,0.0223771487587571,0.00754599282974145,Inf,2.96543467024786,0.00302255534124241
QTL AF,2 - 8,2X,Peri,200,4,GW,large_neg,DV,0.0187414004635656,0.00754599282974147,Inf,2.48362288255814,0.0130053454790043
QTL AF,2 - 8,20X,WT,200,4,GW,large_neg,DV,0.0157467006090575,0.0075459928297415,Inf,2.0867632615544,0.0369095396015826
QTL AF,2 - 8,2X,WT,200,4,GW,large_neg,DV,0.015493721432023,0.00754599282974163,Inf,2.05323829237637,0.0400494723018169
QTL AF,2 - 8,20X,Chr,2,5,GW,large_neg,DV,-0.124111363636381,0.00754599282974189,Inf,-16.4473206424483,8.76613035026302e-61
QTL AF,2 - 8,2X,Chr,2,5,GW,large_neg,DV,-0.1396431818182,0.00754599282974135,Inf,-18.5056075415044,1.86069044197202e-76
QTL AF,2 - 8,20X,Peri,2,5,GW,large_neg,DV,-0.131745454545475,0.00754599282974141,Inf,-17.4589954586519,2.94063211309994e-68
QTL AF,2 - 8,2X,Peri,2,5,GW,large_neg,DV,-0.133497727272725,0.00754599282974135,Inf,-17.6912078085424,4.90134930887521e-70
QTL AF,2 - 8,20X,WT,2,5,GW,large_neg,DV,-0.132688636363652,0.00754599282974153,Inf,-17.5839865419269,3.26771718317258e-69
QTL AF,2 - 8,2X,WT,2,5,GW,large_neg,DV,-0.15015454545454,0.00754599282974147,Inf,-19.8985804575279,4.18617121435588e-88
QTL AF,2 - 8,20X,Chr,200,5,GW,large_neg,DV,0.0271233337054458,0.00754599282974157,Inf,3.59440226321745,0.000325137167339335
QTL AF,2 - 8,2X,Chr,200,5,GW,large_neg,DV,0.020986141506705,0.00754599282974145,Inf,2.7810974619524,0.0054175470139922
QTL AF,2 - 8,20X,Peri,200,5,GW,large_neg,DV,0.0273587301465711,0.00754599282974144,Inf,3.62559715651209,0.000288294479500143
QTL AF,2 - 8,2X,Peri,200,5,GW,large_neg,DV,0.0225120303170678,0.00754599282974141,Inf,2.98330926426805,0.00285149703666871
QTL AF,2 - 8,20X,WT,200,5,GW,large_neg,DV,0.0191475368514671,0.00754599282974154,Inf,2.53744434741571,0.0111665120858023
QTL AF,2 - 8,2X,WT,200,5,GW,large_neg,DV,0.0205635858888722,0.0075459928297415,Inf,2.72510010979915,0.00642819929569259
QTL AF,2 - 8,20X,Chr,2,1,CV,med_neg,DV,-0.0360525000001952,0.00754599282974749,Inf,-4.77770133282801,1.77310481427916e-06
QTL AF,2 - 8,2X,Chr,2,1,CV,med_neg,DV,-0.0337049999998052,0.00754599282974222,Inf,-4.46660906792256,7.94691556374853e-06
QTL AF,2 - 8,20X,Peri,2,1,CV,med_neg,DV,-0.0325075000000302,0.00754599282973981,Inf,-4.30791556969331,1.64800265075742e-05
QTL AF,2 - 8,2X,Peri,2,1,CV,med_neg,DV,-0.0363925000000216,0.00754599282974135,Inf,-4.82275835945486,1.41586457199341e-06
QTL AF,2 - 8,20X,WT,2,1,CV,med_neg,DV,-0.0336025000001406,0.00754599282974059,Inf,-4.45302569964088,8.46686158357047e-06
QTL AF,2 - 8,2X,WT,2,1,CV,med_neg,DV,-0.0348387499999763,0.00754599282974144,Inf,-4.61685437371003,3.89600460414812e-06
QTL AF,2 - 8,20X,Chr,200,1,CV,med_neg,DV,0.0157265426727335,0.00754599282974187,Inf,2.08409191839524,0.0371518070337014
QTL AF,2 - 8,20X,Peri,200,1,CV,med_neg,DV,0.0159642223725626,0.00754599282974116,Inf,2.11558939065547,0.03437974495228
QTL AF,2 - 8,20X,Chr,2,2,CV,med_neg,DV,-0.0467487499999236,0.00754599282974207,Inf,-6.19517551297773,5.8220117300749e-10
QTL AF,2 - 8,2X,Chr,2,2,CV,med_neg,DV,-0.052216250000027,0.00754599282974171,Inf,-6.91973225765897,4.52498042770174e-12
QTL AF,2 - 8,20X,Peri,2,2,CV,med_neg,DV,-0.0609700000000147,0.00754599282974137,Inf,-8.07978504295828,6.48810366807959e-16
QTL AF,2 - 8,2X,Peri,2,2,CV,med_neg,DV,-0.0446212499999909,0.00754599282974139,Inf,-5.91323779478335,3.35447343379079e-09
QTL AF,2 - 8,20X,WT,2,2,CV,med_neg,DV,-0.0415775000000123,0.00754599282974141,Inf,-5.50987801580472,3.5908245704884e-08
QTL AF,2 - 8,2X,WT,2,2,CV,med_neg,DV,-0.055059999999989,0.00754599282974144,Inf,-7.29658790331446,2.95157040731353e-13
QTL AF,2 - 8,20X,Chr,2,3,CV,med_neg,DV,-0.0421724999998817,0.00754599282974124,Inf,-5.58872781241801,2.28739155192832e-08
QTL AF,2 - 8,2X,Chr,2,3,CV,med_neg,DV,-0.0339375000000324,0.0075459928297414,Inf,-4.497420122939,6.87829891737217e-06
QTL AF,2 - 8,20X,Peri,2,3,CV,med_neg,DV,-0.0323075000000109,0.00754599282974141,Inf,-4.28141143636867,1.85711632852295e-05
QTL AF,2 - 8,2X,Peri,2,3,CV,med_neg,DV,-0.0385412499999908,0.00754599282974139,Inf,-5.10751214182,3.26428127931888e-07
QTL AF,2 - 8,20X,WT,2,3,CV,med_neg,DV,-0.0253325000000155,0.00754599282974137,Inf,-3.35707978679378,0.000787703782392445
QTL AF,2 - 8,2X,WT,2,3,CV,med_neg,DV,-0.0485249999999937,0.00754599282974134,Inf,-6.43056534704619,1.27130210766294e-10
QTL AF,2 - 8,20X,Chr,200,3,CV,med_neg,DV,0.0162013770830403,0.0075459928297415,Inf,2.14701729097659,0.0317919050791519
QTL AF,2 - 8,20X,Peri,200,3,CV,med_neg,DV,0.0165786146089735,0.00754599282974151,Inf,2.19700905938197,0.0280197992053423
QTL AF,2 - 8,20X,Chr,2,4,CV,med_neg,DV,-0.0897012499999743,0.0075459928297421,Inf,-11.88726944537,1.37839587581115e-32
QTL AF,2 - 8,2X,Chr,2,4,CV,med_neg,DV,-0.0824150000000241,0.00754599282974163,Inf,-10.9216907383208,9.07897782684856e-28
QTL AF,2 - 8,20X,Peri,2,4,CV,med_neg,DV,-0.096657500000004,0.00754599282974143,Inf,-12.8091163324516,1.45785285740125e-37
