response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 8,2X,Chr,2,3,GW,large_neg,0.0287704545453782,0.00912757190996581,Inf,3.1520381136593,0.00162135108523488
QTL DV AF,2 - 8,20X,Peri,2,3,GW,large_neg,0.0455477272727112,0.00912757190996594,Inf,4.99012527340156,6.03401476047791e-07
QTL DV AF,2 - 8,2X,Peri,2,3,GW,large_neg,0.0428022727272723,0.00912757190996595,Inf,4.68933832014389,2.74089898725346e-06
QTL DV AF,2 - 8,20X,WT,2,3,GW,large_neg,0.0213590909090806,0.00912757190996582,Inf,2.34006273735953,0.0192805008009281
QTL DV AF,2 - 8,2X,WT,2,3,GW,large_neg,0.0351136363636379,0.00912757190996588,Inf,3.84698545352453,0.000119580066170508
QTL DV AF,2 - 8,20X,Chr,200,3,GW,large_neg,0.044937734452055,0.00912757190996589,Inf,4.92329558126954,8.50987652574146e-07
QTL DV AF,2 - 8,2X,Chr,200,3,GW,large_neg,0.0405403751234126,0.00912757190996589,Inf,4.44152897652319,8.93219157235758e-06
QTL DV AF,2 - 8,20X,Peri,200,3,GW,large_neg,0.0443290967423514,0.009127571909966,Inf,4.8566143526024,1.19409833833871e-06
QTL DV AF,2 - 8,2X,Peri,200,3,GW,large_neg,0.0381967917077988,0.00912757190996601,Inf,4.18477028552285,2.85454618344646e-05
QTL DV AF,2 - 8,20X,WT,200,3,GW,large_neg,0.0322825765054319,0.00912757190996595,Inf,3.5368197395612,0.000404975969813286
QTL DV AF,2 - 8,2X,WT,200,3,GW,large_neg,0.0362786278381051,0.009127571909966,Inf,3.97461977796023,7.0491779687895e-05
QTL DV AF,2 - 8,20X,Chr,2,4,GW,large_neg,0.0567386363635858,0.00912757190996567,Inf,6.21618070208106,5.09401381662885e-10
QTL DV AF,2 - 8,2X,Chr,2,4,GW,large_neg,0.0339090909091043,0.00912757190996593,Inf,3.71501766774148,0.000203189497042785
QTL DV AF,2 - 8,20X,Peri,2,4,GW,large_neg,0.0363363636363614,0.00912757190996594,Inf,3.9809452058863,6.86417724533156e-05
QTL DV AF,2 - 8,2X,Peri,2,4,GW,large_neg,0.034715909090909,0.00912757190996598,Inf,3.80341118463326,0.000142717175502811
QTL DV AF,2 - 8,20X,WT,2,4,GW,large_neg,0.0368272727272796,0.00912757190996589,Inf,4.03472830349,5.46655153384421e-05
QTL DV AF,2 - 8,2X,WT,2,4,GW,large_neg,0.0321704545454521,0.00912757190996595,Inf,3.52453586373028,0.000424225384165103
QTL DV AF,2 - 8,20X,Chr,200,4,GW,large_neg,0.0417215695952809,0.00912757190996591,Inf,4.57093847156957,4.85544840912642e-06
QTL DV AF,2 - 8,2X,Chr,200,4,GW,large_neg,0.0354249999999979,0.00912757190996594,Inf,3.88109788117025,0.000103985976083447
QTL DV AF,2 - 8,20X,Peri,200,4,GW,large_neg,0.0389631786771954,0.00912757190996601,Inf,4.26873423310455,1.96585323761927e-05
QTL DV AF,2 - 8,2X,Peri,200,4,GW,large_neg,0.0344970631786779,0.00912757190996618,Inf,3.77943482877537,0.000157184725722917
QTL DV AF,2 - 8,20X,WT,200,4,GW,large_neg,0.0319555281342531,0.00912757190996597,Inf,3.50098892120065,0.000463535113157556
QTL DV AF,2 - 8,2X,WT,200,4,GW,large_neg,0.0312980503455094,0.00912757190996611,Inf,3.42895686325254,0.000605905820284753
QTL DV AF,2 - 8,20X,Chr,2,3,CV,med_neg,0.119531250000162,0.00912757190996737,Inf,13.0956240256659,3.48795786610611e-39
QTL DV AF,2 - 8,2X,Chr,2,3,CV,med_neg,0.127161249999965,0.00912757190996588,Inf,13.9315528000524,4.07400773232852e-44
QTL DV AF,2 - 8,20X,Peri,2,3,CV,med_neg,0.122196249999987,0.00912757190996597,Inf,13.387596526801,7.14558515052515e-41
QTL DV AF,2 - 8,2X,Peri,2,3,CV,med_neg,0.126040000000002,0.0091275719099659,Inf,13.808710711157,2.2583737132497e-43
QTL DV AF,2 - 8,20X,WT,2,3,CV,med_neg,0.117743749999981,0.00912757190996607,Inf,12.8997888114604,4.51332357269347e-38
QTL DV AF,2 - 8,2X,WT,2,3,CV,med_neg,0.11801500000001,0.00912757190996597,Inf,12.9295064628475,3.06781793434154e-38
QTL DV AF,2 - 8,20X,Chr,200,3,CV,med_neg,0.0194531112737779,0.00912757190996608,Inf,2.13124711211946,0.0330687896168564
QTL DV AF,2 - 8,2X,Chr,200,3,CV,med_neg,0.0189556734992746,0.00912757190996594,Inf,2.07674874394337,0.0378247551694715
QTL DV AF,2 - 8,20X,Peri,200,3,CV,med_neg,0.0197968155197679,0.00912757190996594,Inf,2.16890271750724,0.0300900703975054
QTL DV AF,2 - 8,20X,Chr,2,4,CV,med_neg,0.125621249999984,0.00912757190996592,Inf,13.7628332309082,4.26479960681387e-43
QTL DV AF,2 - 8,2X,Chr,2,4,CV,med_neg,0.132436250000005,0.00912757190996587,Inf,14.5094721034634,1.05529575748803e-47
QTL DV AF,2 - 8,20X,Peri,2,4,CV,med_neg,0.130075000000002,0.00912757190996589,Inf,14.2507778939523,4.43315392548456e-46
QTL DV AF,2 - 8,2X,Peri,2,4,CV,med_neg,0.131191250000001,0.00912757190996593,Inf,14.3730721920426,7.63670355851386e-47
QTL DV AF,2 - 8,20X,WT,2,4,CV,med_neg,0.131610000000007,0.00912757190996595,Inf,14.41894967229,3.93281929860153e-47
QTL DV AF,2 - 8,2X,WT,2,4,CV,med_neg,0.129497499999998,0.0091275719099659,Inf,14.187508055522,1.09480441308913e-45
QTL DV AF,2 - 8,20X,Chr,2,3,GW,med_neg,0.169696249999982,0.00912757190996591,Inf,18.5916092115034,3.75734062064471e-77
QTL DV AF,2 - 8,2X,Chr,2,3,GW,med_neg,0.156678750000008,0.00912757190996596,Inf,17.1654358404931,4.81852402676611e-66
QTL DV AF,2 - 8,20X,Peri,2,3,GW,med_neg,0.162713750000006,0.00912757190996589,Inf,17.8266193468547,4.39187570186865e-71
QTL DV AF,2 - 8,2X,Peri,2,3,GW,med_neg,0.138117499999999,0.00912757190996588,Inf,15.1318994100936,9.97735406244785e-52
QTL DV AF,2 - 8,20X,WT,2,3,GW,med_neg,0.137258750000002,0.00912757190996592,Inf,15.0378163386624,4.15015585589956e-51
QTL DV AF,2 - 8,2X,WT,2,3,GW,med_neg,0.136902499999999,0.009127571909966,Inf,14.9987862435267,7.4774206867517e-51
QTL DV AF,2 - 8,20X,Chr,200,3,GW,med_neg,0.0208142168972384,0.00912757190996597,Inf,2.28036734221862,0.0225859108367138
QTL DV AF,2 - 8,20X,Peri,200,3,GW,med_neg,0.020701642786561,0.00912757190996604,Inf,2.26803392958841,0.0233271387516245
QTL DV AF,2 - 8,20X,Chr,2,4,GW,med_neg,0.180934999999999,0.00912757190996591,Inf,19.8229060022464,1.88880345448291e-87
QTL DV AF,2 - 8,2X,Chr,2,4,GW,med_neg,0.157451249999998,0.00912757190996602,Inf,17.2500695204694,1.1176480774011e-66
QTL DV AF,2 - 8,20X,Peri,2,4,GW,med_neg,0.16171375,0.00912757190996591,Inf,17.7170611850708,3.09673320807401e-70
QTL DV AF,2 - 8,2X,Peri,2,4,GW,med_neg,0.173375,0.00912757190996592,Inf,18.9946462991654,1.88855541971103e-80
QTL DV AF,2 - 8,20X,WT,2,4,GW,med_neg,0.135181249999999,0.0091275719099659,Inf,14.8102092575575,1.25847927432591e-49
QTL DV AF,2 - 8,2X,WT,2,4,GW,med_neg,0.15610375,0.00912757190996581,Inf,17.1024398974672,1.42319336031039e-65
QTL DV AF,2 - 8,20X,Chr,2,3,CV,small_neg,0.190547727272779,0.00912757190996745,Inf,20.876058731972,8.8389140807738e-97
QTL DV AF,2 - 8,2X,Chr,2,3,CV,small_neg,0.199943181818165,0.00912757190996601,Inf,21.9054074610857,2.30708244106651e-106
QTL DV AF,2 - 8,20X,Peri,2,3,CV,small_neg,0.238054545454537,0.00912757190996602,Inf,26.0808184041383,6.01805063939614e-150
QTL DV AF,2 - 8,2X,Peri,2,3,CV,small_neg,0.211556818181819,0.00912757190996595,Inf,23.1777761127064,7.63036107479439e-119
QTL DV AF,2 - 8,20X,WT,2,3,CV,small_neg,0.193402272727271,0.00912757190996604,Inf,21.1887974846961,1.21151995520921e-99
QTL DV AF,2 - 8,2X,WT,2,3,CV,small_neg,0.200829545454548,0.00912757190996599,Inf,22.0025158317593,2.72440552496516e-107
QTL DV AF,2 - 8,20X,Chr,2,4,CV,small_neg,0.229486363636348,0.00912757190996598,Inf,25.1421041543132,1.724119123295e-139
QTL DV AF,2 - 8,2X,Chr,2,4,CV,small_neg,0.205577272727275,0.00912757190996597,Inf,22.5226681044074,2.48921103385462e-112
QTL DV AF,2 - 8,20X,Peri,2,4,CV,small_neg,0.217893181818184,0.00912757190996598,Inf,23.8719764650965,5.98854094969713e-126
QTL DV AF,2 - 8,2X,Peri,2,4,CV,small_neg,0.214000000000001,0.00912757190996597,Inf,23.4454466216085,1.47113460626869e-121
QTL DV AF,2 - 8,20X,WT,2,4,CV,small_neg,0.18270681818182,0.00912757190996597,Inf,20.0170231452607,3.91419891847321e-89
QTL DV AF,2 - 8,2X,WT,2,4,CV,small_neg,0.250363636363637,0.00912757190996599,Inf,27.4293797773618,1.22430344809962e-165
QTL DV AF,2 - 8,20X,Chr,200,4,CV,small_neg,-0.0263621345029202,0.00912757190996597,Inf,-2.88818699682186,0.00387469446776279
QTL DV AF,2 - 8,2X,Chr,200,4,CV,small_neg,-0.0251284844054593,0.00912757190996595,Inf,-2.75303055986036,0.00590463842057424
QTL DV AF,2 - 8,20X,Peri,200,4,CV,small_neg,-0.0257254142300186,0.00912757190996603,Inf,-2.81842909415263,0.00482592686568826
QTL DV AF,2 - 8,2X,Peri,200,4,CV,small_neg,-0.0220465399610139,0.00912757190996597,Inf,-2.41537839180893,0.0157188704515626
QTL DV AF,2 - 8,20X,WT,200,4,CV,small_neg,-0.0250461257309943,0.00912757190996591,Inf,-2.74400749487908,0.00606941521770279
QTL DV AF,2 - 8,2X,WT,200,4,CV,small_neg,-0.0194668859649119,0.00912757190996579,Inf,-2.1327562419593,0.0329447275589935
