response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,2 - 8,2X,WT,2,2,CV,DV,-0.780604443813547,0.119201821214887,Inf,-6.54859494475623,5.80809267644743e-11
Genetic gain,2 - 8,20X,Chr,200,2,CV,DV,-2.66144575334737,0.119201821214886,Inf,-22.3272239150572,2.01033671227401e-110
Genetic gain,2 - 8,2X,Chr,200,2,CV,DV,-2.3152677221787,0.119201821214887,Inf,-19.4230901724641,4.92362272129157e-84
Genetic gain,2 - 8,20X,Peri,200,2,CV,DV,-2.51483905138114,0.119201821214886,Inf,-21.0973207099547,8.4172402437477e-99
Genetic gain,2 - 8,2X,Peri,200,2,CV,DV,-2.40048831250559,0.119201821214887,Inf,-20.13801708766,3.42787538861556e-90
Genetic gain,2 - 8,20X,WT,200,2,CV,DV,-2.16700145707578,0.119201821214887,Inf,-18.1792646705397,7.53371750430077e-74
Genetic gain,2 - 8,2X,WT,200,2,CV,DV,-2.3198615591468,0.119201821214889,Inf,-19.4616284843897,2.32285502809839e-84
Genetic gain,2 - 8,20X,Chr,2,3,CV,DV,-0.627363932507094,0.119201821214886,Inf,-5.26303982701859,1.41692868991571e-07
Genetic gain,2 - 8,2X,Chr,2,3,CV,DV,-0.617073833054541,0.119201821214888,Inf,-5.17671480825892,2.25827013094458e-07
Genetic gain,2 - 8,20X,Peri,2,3,CV,DV,-0.787015021846708,0.119201821214887,Inf,-6.60237414013956,4.0462476045839e-11
Genetic gain,2 - 8,2X,Peri,2,3,CV,DV,-0.344651265890455,0.119201821214887,Inf,-2.89132550474332,0.00383620560765722
Genetic gain,2 - 8,20X,WT,2,3,CV,DV,-0.720426165012649,0.119201821214886,Inf,-6.04375132586215,1.50571528951611e-09
Genetic gain,2 - 8,20X,Chr,200,3,CV,DV,-2.47707152403704,0.119201821214888,Inf,-20.7804838784432,6.50002299306065e-96
Genetic gain,2 - 8,2X,Chr,200,3,CV,DV,-2.14135729054284,0.119201821214887,Inf,-17.9641323321947,3.72049932585769e-72
Genetic gain,2 - 8,20X,Peri,200,3,CV,DV,-2.54114483273357,0.119201821214887,Inf,-21.3180034233925,7.72859944193072e-101
Genetic gain,2 - 8,2X,Peri,200,3,CV,DV,-2.09808830834219,0.119201821214887,Inf,-17.6011430610605,2.41402491953279e-69
Genetic gain,2 - 8,20X,WT,200,3,CV,DV,-2.05913274292269,0.119201821214886,Inf,-17.2743396194483,7.34088597381902e-67
Genetic gain,2 - 8,2X,WT,200,3,CV,DV,-2.16829406539801,0.119201821214886,Inf,-18.1901085344091,6.18176346581406e-74
Genetic gain,2 - 8,20X,Chr,2,4,CV,DV,0.346047754628049,0.11920182121488,Inf,2.90304083529263,0.00369558446605978
Genetic gain,2 - 8,2X,Chr,2,4,CV,DV,0.340490526966871,0.119201821214887,Inf,2.85642051016204,0.00428447271837898
Genetic gain,2 - 8,20X,Peri,2,4,CV,DV,0.558719244406414,0.119201821214887,Inf,4.68717036964732,2.77008358694344e-06
Genetic gain,2 - 8,2X,Peri,2,4,CV,DV,0.376271395680327,0.119201821214887,Inf,3.15659099706217,0.00159625072378968
Genetic gain,2 - 8,20X,WT,2,4,CV,DV,0.580719472637673,0.119201821214887,Inf,4.8717332228574,1.10623476189732e-06
Genetic gain,2 - 8,2X,WT,2,4,CV,DV,0.386815818863144,0.119201821214886,Inf,3.24504957156507,0.00117430179372978
Genetic gain,2 - 8,20X,Chr,200,4,CV,DV,-3.81734323016922,0.119201821214886,Inf,-32.0242022417399,5.02098084838894e-225
Genetic gain,2 - 8,2X,Chr,200,4,CV,DV,-3.22663123055919,0.119201821214887,Inf,-27.0686403754059,2.30487556073735e-161
Genetic gain,2 - 8,20X,Peri,200,4,CV,DV,-3.76726892407277,0.119201821214887,Inf,-31.6041221994541,3.24069484572253e-219
Genetic gain,2 - 8,2X,Peri,200,4,CV,DV,-3.4075130606119,0.119201821214887,Inf,-28.5860822081662,1.00075258407134e-179
Genetic gain,2 - 8,20X,WT,200,4,CV,DV,-3.16164084408956,0.119201821214887,Inf,-26.5234273425237,5.2036182858977e-155
Genetic gain,2 - 8,2X,WT,200,4,CV,DV,-3.36315510105387,0.119201821214887,Inf,-28.2139573605261,3.94258198996087e-175
Genetic gain,2 - 8,20X,Chr,2,5,CV,DV,-0.548449033347318,0.119201821214883,Inf,-4.60101219727708,4.20442804152778e-06
Genetic gain,2 - 8,2X,Chr,2,5,CV,DV,-0.629207997198304,0.119201821214887,Inf,-5.27850993202547,1.30238608211047e-07
Genetic gain,2 - 8,20X,Peri,2,5,CV,DV,-0.543453335301345,0.119201821214889,Inf,-4.55910261909207,5.13726655352528e-06
Genetic gain,2 - 8,2X,Peri,2,5,CV,DV,-0.579332612742893,0.119201821214887,Inf,-4.86009866995673,1.1732726177831e-06
Genetic gain,2 - 8,20X,WT,2,5,CV,DV,-0.293582721727811,0.119201821214887,Inf,-2.46290466651985,0.0137816554654848
Genetic gain,2 - 8,20X,Chr,200,5,CV,DV,-2.35704532717485,0.119201821214885,Inf,-19.7735680810262,5.02902876143848e-87
Genetic gain,2 - 8,2X,Chr,200,5,CV,DV,-1.9783854480826,0.119201821214887,Inf,-16.5969397775906,7.33357526951038e-62
Genetic gain,2 - 8,20X,Peri,200,5,CV,DV,-2.21566833844167,0.119201821214887,Inf,-18.5875376387703,4.05365117867905e-77
Genetic gain,2 - 8,2X,Peri,200,5,CV,DV,-2.03783743183795,0.119201821214888,Inf,-17.0956904103361,1.59792383834558e-65
Genetic gain,2 - 8,20X,WT,200,5,CV,DV,-1.86377824073556,0.119201821214886,Inf,-15.6354846070322,4.17288160682523e-55
Genetic gain,2 - 8,2X,WT,200,5,CV,DV,-1.91512990632328,0.119201821214886,Inf,-16.0662805887073,4.39689274943419e-58
Genetic gain,2 - 8,20X,Chr,2,1,GW,DV,0.379142105293332,0.119201821214912,Inf,3.18067376344668,0.00146932992110735
Genetic gain,2 - 8,2X,Chr,2,1,GW,DV,0.412417076219404,0.119201821214893,Inf,3.45982193909532,0.00054053269574123
Genetic gain,2 - 8,20X,Peri,2,1,GW,DV,0.383178520977002,0.119201821214883,Inf,3.2145357937632,0.00130655624253589
Genetic gain,2 - 8,2X,Peri,2,1,GW,DV,0.397456133982791,0.119201821214886,Inf,3.33431259633436,0.000855104997924668
Genetic gain,2 - 8,20X,WT,2,1,GW,DV,0.420780353610062,0.119201821214888,Inf,3.52998259021151,0.00041558701315249
Genetic gain,2 - 8,2X,WT,2,1,GW,DV,0.411171221205196,0.119201821214887,Inf,3.449370294972,0.000561895596872403
Genetic gain,2 - 8,20X,Chr,200,1,GW,DV,-1.91684429726169,0.11920182121489,Inf,-16.0806628432809,3.48628726929509e-58
Genetic gain,2 - 8,2X,Chr,200,1,GW,DV,-1.86189027443923,0.119201821214888,Inf,-15.6196462055958,5.3501673505427e-55
Genetic gain,2 - 8,20X,Peri,200,1,GW,DV,-1.82212416620484,0.119201821214886,Inf,-15.286043012045,9.4734020460902e-53
Genetic gain,2 - 8,2X,Peri,200,1,GW,DV,-1.84069669880395,0.119201821214887,Inf,-15.4418504687583,8.56084311360632e-54
Genetic gain,2 - 8,20X,WT,200,1,GW,DV,-1.87992564731443,0.119201821214886,Inf,-15.770947357637,4.93046446636897e-56
Genetic gain,2 - 8,2X,WT,200,1,GW,DV,-1.85101831041763,0.119201821214886,Inf,-15.5284398472468,2.2273298597891e-54
Genetic gain,2 - 8,20X,Chr,2,2,GW,DV,-1.47241531175932,0.119201821214887,Inf,-12.3522887213692,4.73450553960745e-35
Genetic gain,2 - 8,2X,Chr,2,2,GW,DV,-1.07850405728257,0.119201821214887,Inf,-9.04771459270186,1.45991773391326e-19
Genetic gain,2 - 8,20X,Peri,2,2,GW,DV,-1.27780210357787,0.119201821214887,Inf,-10.7196525233818,8.23119812966408e-27
Genetic gain,2 - 8,2X,Peri,2,2,GW,DV,-1.37950571394495,0.119201821214887,Inf,-11.5728576953375,5.65666432003081e-31
Genetic gain,2 - 8,20X,WT,2,2,GW,DV,-1.37033308217429,0.119201821214887,Inf,-11.4959072622219,1.38320007848817e-30
Genetic gain,2 - 8,2X,WT,2,2,GW,DV,-1.25070417258941,0.119201821214888,Inf,-10.4923243608396,9.36946372123252e-26
Genetic gain,2 - 8,20X,Chr,200,2,GW,DV,-1.79212338139415,0.119201821214887,Inf,-15.0343624210528,4.37237798763591e-51
Genetic gain,2 - 8,2X,Chr,200,2,GW,DV,-2.09421965783045,0.119201821214888,Inf,-17.5686884351805,4.27952128565006e-69
Genetic gain,2 - 8,20X,Peri,200,2,GW,DV,-1.94074740958698,0.119201821214886,Inf,-16.2811892453252,1.34234697103739e-59
Genetic gain,2 - 8,2X,Peri,200,2,GW,DV,-1.93746554109672,0.119201821214888,Inf,-16.2536572121998,2.10428280039036e-59
Genetic gain,2 - 8,20X,WT,200,2,GW,DV,-1.9379996949596,0.119201821214886,Inf,-16.2581383003028,1.95591277160387e-59
Genetic gain,2 - 8,2X,WT,200,2,GW,DV,-2.025148315044,0.119201821214891,Inf,-16.9892397146615,9.86596919993675e-65
Genetic gain,2 - 8,20X,Chr,2,3,GW,DV,-1.68766862429545,0.119201821214886,Inf,-14.158077511694,1.66486676960088e-45
Genetic gain,2 - 8,2X,Chr,2,3,GW,DV,-1.39486560213714,0.119201821214888,Inf,-11.7017138490072,1.24905027727043e-31
Genetic gain,2 - 8,20X,Peri,2,3,GW,DV,-1.33393663082388,0.119201821214886,Inf,-11.1905725703568,4.53495664140552e-29
