response,contrast,Recombination,Map_type,QTL,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 8,2X,WT,2,4,CV,positive_QTL,-0.131428571428574,0.00591079169084516,Inf,-22.2353583585318,1.56315606411805e-109
QTL fixation,2 - 8,20X,Chr,200,4,CV,positive_QTL,0.088790538892965,0.00591079169084522,Inf,15.0217675629622,5.28786300498147e-51
QTL fixation,2 - 8,2X,Chr,200,4,CV,positive_QTL,0.0666032674957307,0.00591079169084518,Inf,11.2680789612139,1.88640747578098e-29
QTL fixation,2 - 8,20X,Peri,200,4,CV,positive_QTL,0.0702926115581552,0.00591079169084522,Inf,11.8922498431177,1.29860618985256e-32
QTL fixation,2 - 8,2X,Peri,200,4,CV,positive_QTL,0.0583223603999035,0.00591079169084514,Inf,9.86709792027273,5.78130480323625e-23
QTL fixation,2 - 8,20X,WT,200,4,CV,positive_QTL,0.0632870031699617,0.00591079169084521,Inf,10.7070264830991,9.43435185462493e-27
QTL fixation,2 - 8,2X,WT,200,4,CV,positive_QTL,0.0600463301633745,0.00591079169084528,Inf,10.1587627011751,3.02895830139808e-24
QTL fixation,2 - 8,20X,Chr,2,3,GW,positive_QTL,-0.130714285714106,0.00591079169084534,Inf,-22.1145140195953,2.29163369856232e-108
QTL fixation,2 - 8,2X,Chr,2,3,GW,positive_QTL,-0.141666666666525,0.00591079169084521,Inf,-23.9674605494798,6.07694708541017e-127
QTL fixation,2 - 8,20X,Peri,2,3,GW,positive_QTL,-0.137142857142895,0.00591079169084518,Inf,-23.2021130697781,4.33497952340524e-119
QTL fixation,2 - 8,2X,Peri,2,3,GW,positive_QTL,-0.129523809523814,0.00591079169084519,Inf,-21.9131067881184,1.94828053831945e-106
QTL fixation,2 - 8,20X,WT,2,3,GW,positive_QTL,-0.113809523809582,0.00591079169084518,Inf,-19.2545313322163,1.29339695493343e-82
QTL fixation,2 - 8,2X,WT,2,3,GW,positive_QTL,-0.124285714285718,0.00591079169084518,Inf,-21.0269149694812,3.72072591562015e-98
QTL fixation,2 - 8,20X,Chr,200,3,GW,positive_QTL,0.0572148148148065,0.00591079169084521,Inf,9.67972106061906,3.67717876837465e-22
QTL fixation,2 - 8,2X,Chr,200,3,GW,positive_QTL,0.035935802469138,0.00591079169084522,Inf,6.07969360936814,1.20412410246132e-09
QTL fixation,2 - 8,20X,Peri,200,3,GW,positive_QTL,0.043454320987652,0.00591079169084522,Inf,7.35169216924953,1.9571312819583e-13
QTL fixation,2 - 8,2X,Peri,200,3,GW,positive_QTL,0.0294271604938276,0.00591079169084513,Inf,4.97854805802167,6.4063037584723e-07
QTL fixation,2 - 8,20X,WT,200,3,GW,positive_QTL,0.0312172839506248,0.00591079169084515,Inf,5.28140485799479,1.28197050535205e-07
QTL fixation,2 - 8,2X,WT,200,3,GW,positive_QTL,0.0365135802469134,0.0059107916908451,Inf,6.17744325239329,6.51479800018453e-10
QTL fixation,2 - 8,20X,Chr,2,4,GW,positive_QTL,-0.138571428571393,0.00591079169084525,Inf,-23.4438017475755,1.52908161657566e-121
QTL fixation,2 - 8,2X,Chr,2,4,GW,positive_QTL,-0.134285714285754,0.00591079169084523,Inf,-22.7187357141581,2.9250597811596e-114
QTL fixation,2 - 8,20X,Peri,2,4,GW,positive_QTL,-0.141428571428584,0.00591079169084521,Inf,-23.9271791032041,1.59715879910124e-126
QTL fixation,2 - 8,2X,Peri,2,4,GW,positive_QTL,-0.148809523809522,0.00591079169084532,Inf,-25.1759039385534,7.35656576704542e-140
QTL fixation,2 - 8,20X,WT,2,4,GW,positive_QTL,-0.122619047619053,0.00591079169084514,Inf,-20.7449448453699,1.36180529076343e-95
QTL fixation,2 - 8,2X,WT,2,4,GW,positive_QTL,-0.12738095238095,0.00591079169084512,Inf,-21.5505737714025,5.22949191693887e-103
QTL fixation,2 - 8,20X,Chr,200,4,GW,positive_QTL,0.0740000000000034,0.00591079169084524,Inf,12.5194735105648,5.84213776330747e-36
QTL fixation,2 - 8,2X,Chr,200,4,GW,positive_QTL,0.0444592592592588,0.00591079169084527,Inf,7.52170971075128,5.40645203798084e-14
QTL fixation,2 - 8,20X,Peri,200,4,GW,positive_QTL,0.0508790123456787,0.00591079169084531,Inf,8.60781685547819,7.4465100503584e-18
QTL fixation,2 - 8,2X,Peri,200,4,GW,positive_QTL,0.0431506172839506,0.00591079169084538,Inf,7.30031094663379,2.87103439287277e-13
QTL fixation,2 - 8,20X,WT,200,4,GW,positive_QTL,0.0464395061728367,0.00591079169084511,Inf,7.85673199154763,3.94285246443868e-15
QTL fixation,2 - 8,2X,WT,200,4,GW,positive_QTL,0.046274074074074,0.00591079169084473,Inf,7.82874384589602,4.92768453890447e-15
