response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL AF,1 - 2,CV,20X,WT,2,2,large_neg,DV,0.157474999999352,0.00754599282973898,Inf,20.868691973671,0
QTL AF,1 - 3,CV,20X,WT,2,2,large_neg,DV,0.211688636362984,0.00754599282973857,Inf,28.0531192037082,0
QTL AF,1 - 4,CV,20X,WT,2,2,large_neg,DV,0.108345454544825,0.00754599282973855,Inf,14.3580118599952,0
QTL AF,1 - 5,CV,20X,WT,2,2,large_neg,DV,0.22231363636301,0.0075459928297399,Inf,29.4611512863938,0
QTL AF,2 - 3,CV,20X,WT,2,2,large_neg,DV,0.0542136363636311,0.00754599282974145,Inf,7.18442723003338,6.78412881427448e-12
QTL AF,2 - 4,CV,20X,WT,2,2,large_neg,DV,-0.0491295454545275,0.0075459928297412,Inf,-6.51068011367465,7.47863659888992e-10
QTL AF,2 - 5,CV,20X,WT,2,2,large_neg,DV,0.0648386363636574,0.0075459928297418,Inf,8.5924593127232,4.48530101948563e-14
QTL AF,3 - 4,CV,20X,WT,2,2,large_neg,DV,-0.103343181818159,0.00754599282974121,Inf,-13.6951073437082,0
QTL AF,4 - 5,CV,20X,WT,2,2,large_neg,DV,0.113968181818185,0.00754599282974139,Inf,15.1031394263982,0
QTL AF,1 - 2,GW,20X,WT,2,2,large_neg,DV,0.133459090909197,0.0075459928297407,Inf,17.686087691894,0
QTL AF,1 - 3,GW,20X,WT,2,2,large_neg,DV,0.161054545454644,0.00754599282974053,Inf,21.3430557235478,0
QTL AF,1 - 4,GW,20X,WT,2,2,large_neg,DV,0.10026136363647,0.00754599282974061,Inf,13.286702743914,0
QTL AF,1 - 5,GW,20X,WT,2,2,large_neg,DV,0.187122727272827,0.00754599282974075,Inf,24.7976285552945,0
QTL AF,2 - 3,GW,20X,WT,2,2,large_neg,DV,0.0275954545454471,0.00754599282974139,Inf,3.65696803165301,0.00237132815783458
QTL AF,2 - 4,GW,20X,WT,2,2,large_neg,DV,-0.0331977272727271,0.00754599282974142,Inf,-4.39938494797969,0.000106003490852546
QTL AF,2 - 5,GW,20X,WT,2,2,large_neg,DV,0.0536636363636295,0.00754599282974153,Inf,7.11154086339989,1.15102372078013e-11
QTL AF,3 - 4,GW,20X,WT,2,2,large_neg,DV,-0.0607931818181742,0.00754599282974138,Inf,-8.05635297963273,7.16093850883226e-14
QTL AF,3 - 5,GW,20X,WT,2,2,large_neg,DV,0.0260681818181823,0.00754599282974146,Inf,3.45457283174697,0.00500102175029227
QTL AF,4 - 5,GW,20X,WT,2,2,large_neg,DV,0.0868613636363565,0.00754599282974149,Inf,11.5109258113796,0
QTL AF,1 - 2,CV,2X,WT,2,2,large_neg,DV,0.156122727272778,0.0075459928297417,Inf,20.689487890505,0
QTL AF,1 - 3,CV,2X,WT,2,2,large_neg,DV,0.210536363636417,0.00754599282974187,Inf,27.9004192538597,0
QTL AF,1 - 4,CV,2X,WT,2,2,large_neg,DV,0.0960454545454976,0.00754599282974168,Inf,12.728007660827,0
QTL AF,1 - 5,CV,2X,WT,2,2,large_neg,DV,0.217322727272765,0.00754599282974187,Inf,28.7997526867779,0
QTL AF,2 - 3,CV,2X,WT,2,2,large_neg,DV,0.0544136363636394,0.00754599282974137,Inf,7.21093136335571,5.59197133043199e-12
QTL AF,2 - 4,CV,2X,WT,2,2,large_neg,DV,-0.0600772727272804,0.00754599282974134,Inf,-7.96148022967837,8.5265128291212e-14
