response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,2 - 200,Peri,2X,2,4,CV,positive_QTL,0.388963841571741,0.00666463808439272,Inf,58.3623351555456,0
QTL fixation,2 - 200,WT,2X,2,4,CV,positive_QTL,0.366583934232064,0.00666463808439269,Inf,55.0043272552989,0
QTL fixation,2 - 200,Chr,20X,8,4,CV,positive_QTL,0.6008790538893,0.00666463808439271,Inf,90.1592924147587,0
QTL fixation,2 - 200,Peri,20X,8,4,CV,positive_QTL,0.579967081199709,0.00666463808439267,Inf,87.0215417335088,0
QTL fixation,2 - 200,WT,20X,8,4,CV,positive_QTL,0.533366252133627,0.0066646380843927,Inf,80.0292897198225,0
QTL fixation,2 - 200,Chr,2X,8,4,CV,positive_QTL,0.552872121782146,0.0066646380843927,Inf,82.9560607464743,0
QTL fixation,2 - 200,Peri,2X,8,4,CV,positive_QTL,0.54919584073571,0.00666463808439274,Inf,82.4044507415666,0
QTL fixation,2 - 200,WT,2X,8,4,CV,positive_QTL,0.526885951161738,0.00666463808439266,Inf,79.0569487029771,0
QTL fixation,2 - 200,Chr,20X,2,3,GW,positive_QTL,0.159155202821361,0.00666463808439258,Inf,23.8805469713464,4.87860073666131e-126
QTL fixation,2 - 200,Peri,20X,2,3,GW,positive_QTL,0.156447619047627,0.00666463808439269,Inf,23.4742857851498,7.46952379495452e-122
QTL fixation,2 - 200,WT,20X,2,3,GW,positive_QTL,0.197143915343953,0.0066646380843927,Inf,29.5805883001549,2.65564209595643e-192
QTL fixation,2 - 200,Chr,2X,2,3,GW,positive_QTL,0.187743562610346,0.00666463808439268,Inf,28.1701061982653,1.35941662969762e-174
QTL fixation,2 - 200,Peri,2X,2,3,GW,positive_QTL,0.195583421516753,0.00666463808439265,Inf,29.3464429786177,2.65276987102871e-189
QTL fixation,2 - 200,WT,2X,2,3,GW,positive_QTL,0.194531569664902,0.00666463808439269,Inf,29.1886171764463,2.70468531693645e-187
QTL fixation,2 - 200,Chr,20X,8,3,GW,positive_QTL,0.293542857142827,0.00666463808439266,Inf,44.0448308558945,0
QTL fixation,2 - 200,Peri,20X,8,3,GW,positive_QTL,0.330543562610228,0.00666463808439268,Inf,49.5966260169923,0
QTL fixation,2 - 200,WT,20X,8,3,GW,positive_QTL,0.34784938271605,0.00666463808439269,Inf,52.1932891645904,0
QTL fixation,2 - 200,Chr,2X,8,3,GW,positive_QTL,0.33980917107584,0.0066646380843927,Inf,50.9868903266643,0
QTL fixation,2 - 200,Peri,2X,8,3,GW,positive_QTL,0.355428571428573,0.00666463808439259,Inf,53.3305135144434,0
QTL fixation,2 - 200,WT,2X,8,3,GW,positive_QTL,0.370055026455028,0.00666463808439275,Inf,55.5251495683798,0
QTL fixation,2 - 200,Chr,20X,2,4,GW,positive_QTL,0.123921340388178,0.00666463808439272,Inf,18.5938589341224,3.60298482887122e-77
QTL fixation,2 - 200,Peri,20X,2,4,GW,positive_QTL,0.133845149911813,0.00666463808439269,Inf,20.0828834539797,1.04169157332899e-89
QTL fixation,2 - 200,WT,20X,2,4,GW,positive_QTL,0.122444797178127,0.0066646380843927,Inf,18.3723100380904,2.18893898405873e-75
QTL fixation,2 - 200,Chr,2X,2,4,GW,positive_QTL,0.130862786596122,0.00666463808439268,Inf,19.6353927908821,7.70824724813664e-86
QTL fixation,2 - 200,Peri,2X,2,4,GW,positive_QTL,0.14124479717813,0.00666463808439272,Inf,21.1931683895781,1.10411775902161e-99
QTL fixation,2 - 200,WT,2X,2,4,GW,positive_QTL,0.121076895943562,0.00666463808439265,Inf,18.1670623986473,9.41034798965503e-74
QTL fixation,2 - 200,Chr,20X,8,4,GW,positive_QTL,0.267370017636696,0.00666463808439269,Inf,40.117709956798,0
QTL fixation,2 - 200,Peri,20X,8,4,GW,positive_QTL,0.2857417989418,0.00666463808439251,Inf,42.8743159528738,0
QTL fixation,2 - 200,WT,20X,8,4,GW,positive_QTL,0.28148253968254,0.00666463808439273,Inf,42.2352325990089,0
QTL fixation,2 - 200,Chr,2X,8,4,GW,positive_QTL,0.276315343915346,0.00666463808439278,Inf,41.4599173153033,0
QTL fixation,2 - 200,Peri,2X,8,4,GW,positive_QTL,0.293848677248677,0.00666463808439246,Inf,44.0907178346001,0
QTL fixation,2 - 200,WT,2X,8,4,GW,positive_QTL,0.27159188712522,0.00666463808439262,Inf,40.7511831379471,0
