response,contrast,Map_type,Recombination,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL DV AF,2 - 200,Chr,20X,2,3,GW,small_neg,-0.072639969038872,0.00912757190996601,Inf,-7.95830147988859,1.7441695809793e-15
QTL DV AF,2 - 200,Peri,20X,2,3,GW,small_neg,-0.0590909808848598,0.009127571909966,Inf,-6.47389924371244,9.55056001475057e-11
QTL DV AF,2 - 200,WT,20X,2,3,GW,small_neg,-0.0834877007987069,0.009127571909966,Inf,-9.14675903101353,5.86671911913373e-20
QTL DV AF,2 - 200,Chr,2X,2,3,GW,small_neg,-0.0870241137934105,0.00912757190996594,Inf,-9.5342019380196,1.51042806307486e-21
QTL DV AF,2 - 200,Peri,2X,2,3,GW,small_neg,-0.0601344431481635,0.00912757190996602,Inf,-6.58821905117013,4.45133589794337e-11
QTL DV AF,2 - 200,WT,2X,2,3,GW,small_neg,-0.0709057121062546,0.00912757190996595,Inf,-7.76829947829128,7.95468095614248e-15
QTL DV AF,2 - 200,Chr,20X,8,3,GW,small_neg,-0.166941348828855,0.00912757190996596,Inf,-18.2897873033003,9.98037451791556e-75
QTL DV AF,2 - 200,Peri,20X,8,3,GW,small_neg,-0.16720828995782,0.00912757190996606,Inf,-18.3190328826938,5.83403692925792e-75
QTL DV AF,2 - 200,WT,20X,8,3,GW,small_neg,-0.202379583595082,0.00912757190996599,Inf,-22.1723351611301,6.35277233806102e-109
QTL DV AF,2 - 200,Chr,2X,8,3,GW,small_neg,-0.206428336175177,0.00912757190996591,Inf,-22.6159090513206,3.0224078046128e-113
QTL DV AF,2 - 200,Peri,2X,8,3,GW,small_neg,-0.182023366687607,0.00912757190996595,Inf,-19.9421454558868,1.75379124874011e-88
QTL DV AF,2 - 200,WT,2X,8,3,GW,small_neg,-0.19066614017769,0.00912757190996593,Inf,-20.889031832169,6.73713156816374e-97
QTL DV AF,2 - 200,WT,20X,2,4,GW,small_neg,0.0367927084268139,0.00912757190996593,Inf,4.03094150226763,5.55538702216743e-05
QTL DV AF,2 - 200,Peri,2X,2,4,GW,small_neg,0.0355732724580451,0.00912757190996619,Inf,3.89734233911687,9.72540957180249e-05
QTL DV AF,2 - 200,WT,2X,2,4,GW,small_neg,0.0347369177959262,0.00912757190996592,Inf,3.80571285973642,0.000141396348610611
QTL DV AF,2 - 200,Chr,20X,8,4,GW,small_neg,-0.162886908821682,0.00912757190996595,Inf,-17.845590309054,3.12780440176631e-71
QTL DV AF,2 - 200,Peri,20X,8,4,GW,small_neg,-0.151181344790452,0.00912757190996614,Inf,-16.5631502311564,1.28676802032637e-61
QTL DV AF,2 - 200,WT,20X,8,4,GW,small_neg,-0.0967363456878754,0.00912757190996575,Inf,-10.5982562111897,3.035879891046e-26
QTL DV AF,2 - 200,Chr,2X,8,4,GW,small_neg,-0.141582964641479,0.00912757190996598,Inf,-15.5115693459386,2.8971048950919e-54
QTL DV AF,2 - 200,Peri,2X,8,4,GW,small_neg,-0.141791196266714,0.00912757190996615,Inf,-15.5343828200243,2.03017339877111e-54
QTL DV AF,2 - 200,WT,2X,8,4,GW,small_neg,-0.102503728798349,0.00912757190996573,Inf,-11.2301201030728,2.90083968378841e-29
