response,contrast,Matrix,Recombination,Map_type,QTL,H2,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,3 - 4,GW,20X,Peri,2,2,negative_QTL,DV,0.156666666666065,0.00576834677914856,Inf,27.1597171016806,0
QTL fixation,3 - 5,GW,20X,Peri,2,2,negative_QTL,DV,-0.0173809523809221,0.00576834677914853,Inf,-3.01316010399217,0.0217610661473637
QTL fixation,4 - 5,GW,20X,Peri,2,2,negative_QTL,DV,-0.174047619046987,0.00576834677914855,Inf,-30.1728772056728,0
QTL fixation,1 - 2,CV,2X,Peri,2,2,negative_QTL,DV,-0.206190476191417,0.00576834677914841,Inf,-35.745159590051,0
QTL fixation,1 - 3,CV,2X,Peri,2,2,negative_QTL,DV,-0.272857142857936,0.0057683467791485,Inf,-47.3024860163165,0
QTL fixation,1 - 4,CV,2X,Peri,2,2,negative_QTL,DV,-0.136428571429616,0.00576834677914853,Inf,-23.6512430082705,0
QTL fixation,1 - 5,CV,2X,Peri,2,2,negative_QTL,DV,-0.298809523810321,0.00576834677914847,Inf,-51.8015880894094,0
QTL fixation,2 - 3,CV,2X,Peri,2,2,negative_QTL,DV,-0.0666666666665195,0.00576834677914849,Inf,-11.5573264262661,0
QTL fixation,2 - 4,CV,2X,Peri,2,2,negative_QTL,DV,0.0697619047618006,0.00576834677914852,Inf,12.0939165817798,0
QTL fixation,2 - 5,CV,2X,Peri,2,2,negative_QTL,DV,-0.0926190476189038,0.00576834677914849,Inf,-16.0564284993587,0
QTL fixation,3 - 4,CV,2X,Peri,2,2,negative_QTL,DV,0.13642857142832,0.00576834677914856,Inf,23.6512430080457,0
QTL fixation,3 - 5,CV,2X,Peri,2,2,negative_QTL,DV,-0.0259523809523842,0.00576834677914853,Inf,-4.49910207309261,6.68755408059774e-05
QTL fixation,4 - 5,CV,2X,Peri,2,2,negative_QTL,DV,-0.162380952380704,0.00576834677914856,Inf,-28.1503450811382,0
QTL fixation,1 - 2,GW,2X,Peri,2,2,negative_QTL,DV,-0.23857142857122,0.00576834677914858,Inf,-41.3587181397638,0
QTL fixation,1 - 3,GW,2X,Peri,2,2,negative_QTL,DV,-0.309047619047506,0.00576834677914853,Inf,-53.576463219003,0
QTL fixation,1 - 4,GW,2X,Peri,2,2,negative_QTL,DV,-0.164761904761616,0.00576834677914853,Inf,-28.5631067392132,0
QTL fixation,1 - 5,GW,2X,Peri,2,2,negative_QTL,DV,-0.322142857142741,0.00576834677914851,Inf,-55.8466523384529,0
QTL fixation,2 - 3,GW,2X,Peri,2,2,negative_QTL,DV,-0.0704761904762853,0.0057683467791486,Inf,-12.2177450792387,0
QTL fixation,2 - 4,GW,2X,Peri,2,2,negative_QTL,DV,0.0738095238096042,0.00576834677914856,Inf,12.7956114005509,0
