response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Prediction accuracy,CV - GW,20X,Peri,200,2,5,DV,0.121127332254066,0.0203763376163229,Inf,5.94450948619118,2.77285912644224e-09
Prediction accuracy,CV - GW,2X,Peri,200,2,5,DV,0.0640039478818828,0.0203763376163228,Inf,3.14109184324721,0.00168319239465422
Prediction accuracy,CV - GW,20X,WT,200,2,5,DV,-0.0633111390136766,0.0203763376163223,Inf,-3.10709118614925,0.00188938109559688
Prediction accuracy,CV - GW,20X,Chr,200,8,5,DV,0.234166400895864,0.0203763376163233,Inf,11.492075038464,1.44596338636672e-30
Prediction accuracy,CV - GW,2X,Chr,200,8,5,DV,0.183792855627857,0.0203763376163227,Inf,9.01991609525684,1.8823341491206e-19
Prediction accuracy,CV - GW,20X,Peri,200,8,5,DV,0.18225434732934,0.0203763376163229,Inf,8.94441144238511,3.73937061029485e-19
Prediction accuracy,CV - GW,2X,Peri,200,8,5,DV,0.174981416546935,0.0203763376163227,Inf,8.58748121677981,8.88966497004134e-18
Prediction accuracy,CV - GW,20X,WT,200,8,5,DV,0.146684281992834,0.0203763376163227,Inf,7.1987559665939,6.07643898286138e-13
Prediction accuracy,CV - GW,2X,WT,200,8,5,DV,0.158256416259976,0.0203763376163227,Inf,7.76667619274245,8.05724732922287e-15
Prediction accuracy,CV - GW,2X,Chr,200,2,1,R,-0.0681244990006323,0.0203763376163236,Inf,-3.34331420510314,0.000827841082797448
Prediction accuracy,CV - GW,2X,WT,200,2,1,R,-0.0702756161549475,0.020376337616323,Inf,-3.44888357653886,0.00056290934677998
Prediction accuracy,CV - GW,20X,Chr,200,8,1,R,0.161063452154337,0.0203763376163231,Inf,7.90443578169376,2.6914988848873e-15
Prediction accuracy,CV - GW,2X,Chr,200,8,1,R,0.0757735964468809,0.0203763376163227,Inf,3.71870538629972,0.000200246438467778
Prediction accuracy,CV - GW,20X,Peri,200,8,1,R,0.142728382105934,0.0203763376163226,Inf,7.00461411630716,2.4766748676569e-12
Prediction accuracy,CV - GW,2X,Peri,200,8,1,R,0.0820286285561433,0.0203763376163226,Inf,4.02568067435406,5.68107405772576e-05
Prediction accuracy,CV - GW,20X,WT,200,8,1,R,0.0765760523650723,0.0203763376163224,Inf,3.75808714043544,0.000171217258495493
Prediction accuracy,CV - GW,2X,WT,200,8,1,R,0.0871728042867642,0.0203763376163226,Inf,4.27813898298062,1.884623421326e-05
Prediction accuracy,CV - GW,20X,Chr,200,2,2,R,0.0610973053269137,0.0203763376163231,Inf,2.99844390475596,0.00271362105856649
Prediction accuracy,CV - GW,2X,Chr,200,2,2,R,0.0606563470984888,0.0203763376163227,Inf,2.97680320382497,0.00291270910498903
Prediction accuracy,CV - GW,20X,Peri,200,2,2,R,0.0504829944674071,0.0203763376163228,Inf,2.47753033042439,0.0132295164019381
Prediction accuracy,CV - GW,2X,Peri,200,2,2,R,0.0504233060948551,0.0203763376163228,Inf,2.47460103205507,0.0133385087917827
Prediction accuracy,CV - GW,20X,Chr,200,8,2,R,0.194778500127134,0.0203763376163227,Inf,9.55905343711546,1.18838606374755e-21
Prediction accuracy,CV - GW,2X,Chr,200,8,2,R,0.138270273134557,0.0203763376163227,Inf,6.78582558544737,1.15424528135236e-11
Prediction accuracy,CV - GW,20X,Peri,200,8,2,R,0.146932123886323,0.0203763376163228,Inf,7.2109191873922,5.55754317227363e-13
Prediction accuracy,CV - GW,2X,Peri,200,8,2,R,0.114193685494733,0.0203763376163228,Inf,5.60423014404987,2.0918261332857e-08
