response,contrast,Recombination,Map_type,QTL,H2,Repulsion,Allele,QTL_type,estimate,SE,df,z.ratio,p.value
QTL fixation,CV - GW,2X,WT,2,2,3,positive_QTL,DV,0.0821428571427266,0.00541011292048739,Inf,15.1832056650171,4.5689556397002e-52
QTL fixation,CV - GW,2X,Chr,200,2,3,positive_QTL,DV,0.0167778539666606,0.00541011292048736,Inf,3.10120217696846,0.00192736645693948
QTL fixation,CV - GW,20X,Peri,200,2,3,positive_QTL,DV,0.0154544823835792,0.0054101129204873,Inf,2.85659146319394,0.00428216609599836
QTL fixation,CV - GW,2X,Peri,200,2,3,positive_QTL,DV,0.014450340864029,0.00541011292048727,Inf,2.67098692326879,0.00756285930377815
QTL fixation,CV - GW,20X,WT,200,2,3,positive_QTL,DV,0.0161538157896415,0.00541011292048726,Inf,2.98585556846133,0.00282786169938895
QTL fixation,CV - GW,2X,WT,200,2,3,positive_QTL,DV,0.0181925310410534,0.00541011292048738,Inf,3.36268970877866,0.000771870701607479
QTL fixation,CV - GW,20X,Chr,2,8,3,positive_QTL,DV,0.0435714285722345,0.00541011292048735,Inf,8.05370039638831,8.03277080744507e-16
QTL fixation,CV - GW,2X,Chr,2,8,3,positive_QTL,DV,0.0283333333334061,0.00541011292048735,Inf,5.23710572215816,1.63114266438286e-07
QTL fixation,CV - GW,20X,Peri,2,8,3,positive_QTL,DV,0.0266666666665105,0.00541011292048732,Inf,4.92904067963678,8.26343688336834e-07
QTL fixation,CV - GW,2X,Peri,2,8,3,positive_QTL,DV,0.0464285714285733,0.0054101129204873,Inf,8.58181189763251,9.33902681306199e-18
QTL fixation,CV - GW,20X,WT,2,8,3,positive_QTL,DV,0.0314285714283983,0.00541011292048737,Inf,5.80922651528815,6.27621261932021e-09
QTL fixation,CV - GW,2X,WT,2,8,3,positive_QTL,DV,0.0440476190476234,0.00541011292048748,Inf,8.14171897980541,3.89704930990818e-16
QTL fixation,CV - GW,20X,Chr,200,8,3,positive_QTL,DV,-0.0108346598390814,0.00541011292048743,Inf,-2.00266796614391,0.0452129393501003
QTL fixation,CV - GW,20X,Chr,2,2,4,positive_QTL,DV,0.0685714285733239,0.00541011292048719,Inf,12.6746760337765,8.16955162553633e-37
QTL fixation,CV - GW,2X,Chr,2,2,4,positive_QTL,DV,0.0714285714283555,0.00541011292048727,Inf,13.2027875347789,8.45474896072133e-40
QTL fixation,CV - GW,20X,Peri,2,2,4,positive_QTL,DV,0.0811904761899263,0.0054101129204873,Inf,15.007168497809,6.59014456089105e-51
QTL fixation,CV - GW,2X,Peri,2,2,4,positive_QTL,DV,0.0835714285714778,0.00541011292048723,Inf,15.4472614157472,7.87175894620772e-54
QTL fixation,CV - GW,20X,WT,2,2,4,positive_QTL,DV,0.062142857142227,0.00541011292048732,Inf,11.4864251551758,1.5436863589617e-30
QTL fixation,CV - GW,2X,WT,2,2,4,positive_QTL,DV,0.0642857142857566,0.00541011292048731,Inf,11.8825087813446,1.45921039187061e-32
