response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Genetic gain,DV - R,GW,2X,Peri,2,8,2,-0.472523351568464,0.119201821214887,Inf,-3.96406151141465,7.36852525571129e-05
Genetic gain,DV - R,CV,20X,WT,2,8,2,-0.23980871836834,0.119201821214887,Inf,-2.01178736972511,0.0442423559134581
Genetic gain,DV - R,CV,2X,WT,2,8,2,-0.314301734328116,0.119201821214887,Inf,-2.63671923066948,0.00837120878077078
Genetic gain,DV - R,GW,20X,Chr,200,8,2,-0.407884182551423,0.119201821214887,Inf,-3.42179488865462,0.000622092240698524
Genetic gain,DV - R,CV,2X,Chr,200,8,2,-0.291540950090763,0.119201821214886,Inf,-2.44577597153654,0.0144540782351713
Genetic gain,DV - R,GW,2X,Chr,200,8,2,-0.277137080860077,0.119201821214886,Inf,-2.32493998863054,0.0200751693307845
Genetic gain,DV - R,GW,20X,Peri,200,8,2,-0.468282278026318,0.119201821214887,Inf,-3.92848257898794,8.54835419209064e-05
Genetic gain,DV - R,GW,2X,Peri,200,8,2,-0.569497965605514,0.119201821214882,Inf,-4.77759450150427,1.77404681927925e-06
Genetic gain,DV - R,GW,20X,WT,200,8,2,-0.435356007874147,0.119201821214885,Inf,-3.65225970070819,0.000259942802506712
Genetic gain,DV - R,CV,2X,WT,200,8,2,-0.275247692367114,0.119201821214888,Inf,-2.30908965619676,0.0209386066327234
Genetic gain,DV - R,GW,2X,WT,200,8,2,-0.435092157316178,0.119201821214887,Inf,-3.65004622313472,0.000262193122239067
Genetic gain,DV - R,CV,20X,Chr,2,2,3,-0.361031393380591,0.119201821214885,Inf,-3.02874058215739,0.00245575457999571
Genetic gain,DV - R,CV,2X,Chr,2,2,3,-0.264269542528149,0.119201821214888,Inf,-2.21699249084243,0.0266236046722238
Genetic gain,DV - R,GW,20X,Peri,2,2,3,-0.293694643622109,0.119201821214887,Inf,-2.46384359424058,0.0137456078296315
Genetic gain,DV - R,CV,20X,WT,2,2,3,-0.394842764771688,0.119201821214886,Inf,-3.31238869295379,0.000925029271337726
Genetic gain,DV - R,CV,20X,Chr,200,2,3,0.303912625928159,0.119201821214887,Inf,2.54956361262544,0.0107857832128621
Genetic gain,DV - R,GW,20X,Peri,200,2,3,-0.490749575662057,0.119201821214886,Inf,-4.11696373981887,3.83896443320779e-05
Genetic gain,DV - R,GW,20X,Chr,2,8,3,0.280809172536059,0.119201821214887,Inf,2.35574565618288,0.0184855698475691
Genetic gain,DV - R,CV,2X,Chr,2,8,3,-0.468759637957549,0.119201821214887,Inf,-3.93248721521217,8.40714523621323e-05
Genetic gain,DV - R,CV,20X,Peri,2,8,3,-0.275816921937244,0.119201821214887,Inf,-2.31386499909281,0.0206751285685092
Genetic gain,DV - R,GW,20X,Peri,2,8,3,-0.414206377243165,0.119201821214888,Inf,-3.47483262438136,0.000511172188934102
Genetic gain,DV - R,CV,2X,Peri,2,8,3,-0.351839651974987,0.119201821214886,Inf,-2.95162983576167,0.00316101621659574
