response,contrast,Recombination,QTL,H2,Repulsion,Matrix,QTL_type,estimate,SE,df,z.ratio,p.value
Bulmer effect,Chr - WT,20X,200,2,3,GW,DV,0.237570991548565,0.068670620049514,Inf,3.45957254175465,0.00156870904702
Bulmer effect,Peri - WT,20X,200,2,3,GW,DV,0.188061975204802,0.0686706200495144,Inf,2.73860895779303,0.0169794690577312
Bulmer effect,Chr - WT,20X,200,8,3,GW,DV,0.364247961569488,0.0686706200495137,Inf,5.30427657864241,3.38810680622359e-07
Bulmer effect,Peri - WT,20X,200,8,3,GW,DV,0.359284358410768,0.0686706200495183,Inf,5.23199525723939,5.02131489388269e-07
Bulmer effect,Chr - WT,2X,200,8,3,GW,DV,0.182683397840944,0.0686706200495192,Inf,2.66028467063803,0.0213057463812916
Bulmer effect,Peri - WT,2X,200,8,3,GW,DV,0.162362920330224,0.0686706200495222,Inf,2.36437242321586,0.0474410162746497
Bulmer effect,Chr - WT,20X,200,2,4,GW,DV,0.210855451726577,0.068670620049513,Inf,3.0705336805543,0.00605383098941426
Bulmer effect,Peri - WT,20X,200,2,4,GW,DV,0.21717193623531,0.0686706200495119,Inf,3.16251602328227,0.0044599335002542
Bulmer effect,Chr - WT,20X,200,8,4,GW,DV,0.282346754263918,0.0686706200495137,Inf,4.11160921599859,0.000116346834665104
Bulmer effect,Peri - WT,20X,200,8,4,GW,DV,0.217598465784574,0.0686706200495261,Inf,3.16872726105632,0.00436751033793914
Bulmer effect,Chr - Peri,20X,200,2,5,GW,DV,-0.25924614049067,0.0686706200495087,Inf,-3.77521187814765,0.000469307447712897
Bulmer effect,Chr - WT,20X,200,2,5,GW,DV,0.285437602465044,0.0686706200495099,Inf,4.15661897707127,9.57280767103219e-05
Bulmer effect,Peri - WT,20X,200,2,5,GW,DV,0.544683742955713,0.0686706200495125,Inf,7.93183085521856,4.85167461761193e-14
Bulmer effect,Peri - WT,2X,200,2,5,GW,DV,0.175036306068598,0.0686706200495114,Inf,2.54892566780958,0.0291027614719618
Bulmer effect,Chr - WT,20X,2,8,5,GW,DV,0.219051381327063,0.0691996554607627,Inf,3.16549814978874,0.00441533932506977
Bulmer effect,Chr - WT,20X,200,8,5,GW,DV,0.457655214614439,0.0686706200495098,Inf,6.66449806750661,7.96888111054273e-11
Bulmer effect,Peri - WT,20X,200,8,5,GW,DV,0.463172460474374,0.068670620049511,Inf,6.74484168251911,4.59793314533386e-11
Bulmer effect,Chr - Peri,20X,200,2,1,CV,R,-0.296341837000105,0.0686706200495088,Inf,-4.31540936701102,4.73444474498042e-05
Bulmer effect,Chr - WT,20X,200,2,1,CV,R,-0.506994116505248,0.0686706200495046,Inf,-7.38298439914706,4.84501327946418e-13
Bulmer effect,Peri - WT,20X,200,2,1,CV,R,-0.210652279505143,0.0686706200495115,Inf,-3.06757503213547,0.00611275681380541
Bulmer effect,Chr - Peri,2X,200,2,1,CV,R,0.190713967750422,0.0686706200495127,Inf,2.77722798502349,0.015146674004396
