response,contrast,H2,Recombination,Map_type,QTL,Repulsion,Matrix,estimate,SE,df,z.ratio,p.value
QTL DV AF,med_neg - small_neg,8,2X,WT,2,3,GW,-0.22717625,0.00912757190996603,Inf,-24.8890123508044,0
QTL DV AF,large_neg - med_neg,2,20X,Chr,200,3,GW,-0.0360654971292871,0.00912757190996598,Inf,-3.95126956928259,0.000229351729101435
QTL DV AF,large_neg - small_neg,2,20X,Chr,200,3,GW,-0.0539682379072745,0.009127571909966,Inf,-5.91266093980032,1.00939581137993e-08
QTL DV AF,large_neg - med_neg,8,20X,Chr,200,3,GW,-0.0601890146841037,0.00912757190996597,Inf,-6.59419780833347,1.28279831201894e-10
QTL DV AF,large_neg - small_neg,8,20X,Chr,200,3,GW,-0.0966596248766013,0.00912757190996592,Inf,-10.5898508201358,2.91988655476416e-14
QTL DV AF,med_neg - small_neg,8,20X,Chr,200,3,GW,-0.0364706101924976,0.00912757190996599,Inf,-3.99565301180229,0.00019055227370024
QTL DV AF,large_neg - med_neg,2,2X,Chr,200,3,GW,-0.0368153231800782,0.00912757190996592,Inf,-4.03341913306445,0.000162503462935559
QTL DV AF,large_neg - small_neg,2,2X,Chr,200,3,GW,-0.0552147828232941,0.00912757190996593,Inf,-6.04923010937969,4.36466041087158e-09
QTL DV AF,large_neg - med_neg,8,2X,Chr,200,3,GW,-0.0599368988963765,0.00912757190996603,Inf,-6.56657646607351,1.54463108970049e-10
QTL DV AF,large_neg - small_neg,8,2X,Chr,200,3,GW,-0.0933571076011978,0.00912757190996591,Inf,-10.2280330981853,2.4980018054066e-14
QTL DV AF,med_neg - small_neg,8,2X,Chr,200,3,GW,-0.0334202087048213,0.009127571909966,Inf,-3.66145663211168,0.000733313607166886
QTL DV AF,large_neg - med_neg,2,20X,Peri,200,3,GW,-0.0368597409808799,0.00912757190996595,Inf,-4.03828546567073,0.000159187061777422
QTL DV AF,large_neg - small_neg,2,20X,Peri,200,3,GW,-0.0557194718657409,0.00912757190996594,Inf,-6.10452291314228,3.09229353234741e-09
