response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,Allele,estimate,SE,df,z.ratio,p.value
QTL AF,DV - R,CV,20X,Peri,2,2,3,med_neg,0.0309299999999872,0.00754599282974131,Inf,4.09886421811609,4.15182501664013e-05
QTL AF,DV - R,CV,2X,Peri,2,2,3,med_neg,0.0200300000000096,0.00754599282974128,Inf,2.65438895211571,0.00794521861466979
QTL AF,DV - R,CV,20X,WT,2,2,3,med_neg,0.0410737499999891,0.00754599282974137,Inf,5.443120729999,5.23551366433805e-08
QTL AF,DV - R,CV,2X,WT,2,2,3,med_neg,0.0149212500000045,0.00754599282974144,Inf,1.97737399659254,0.0479993710353013
QTL AF,DV - R,CV,20X,Chr,2,8,3,med_neg,0.0244224999999536,0.00754599282974152,Inf,3.23648598017422,0.00121011170588821
QTL AF,DV - R,CV,2X,Chr,2,8,3,med_neg,0.0316012500000029,0.00754599282974144,Inf,4.18781871557724,2.81648342216181e-05
QTL AF,DV - R,GW,20X,Peri,2,8,3,med_neg,0.0212274999999962,0.0075459928297416,Inf,2.81308245037427,0.00490690676176407
QTL AF,DV - R,GW,20X,WT,2,8,3,med_neg,0.0178287499999967,0.0075459928297414,Inf,2.36267783474791,0.0181434342407586
QTL AF,DV - R,CV,2X,WT,2,8,3,med_neg,0.0208449999999969,0.00754599282974139,Inf,2.76239329539772,0.00573793138078317
QTL AF,DV - R,CV,2X,Chr,2,2,4,med_neg,0.0341049999999778,0.00754599282974161,Inf,4.51961733458812,6.19515055709365e-06
QTL AF,DV - R,GW,20X,WT,2,2,4,med_neg,0.016290000000007,0.00754599282974144,Inf,2.15876165900958,0.0308686624409178
QTL AF,DV - R,CV,2X,WT,2,2,4,med_neg,0.0440737500000067,0.00754599282974134,Inf,5.8406827298188,5.19873278593831e-09
QTL AF,DV - R,CV,20X,Chr,2,2,5,med_neg,0.0177537500000776,0.0075459928297423,Inf,2.35273878476292,0.0186357202634349
QTL AF,DV - R,CV,2X,Chr,2,2,5,med_neg,0.0222462499999642,0.00754599282974148,Inf,2.94808787947475,0.00319746155318018
QTL AF,DV - R,CV,20X,Peri,2,2,5,med_neg,0.019539999999991,0.00754599282974127,Inf,2.5894538254764,0.00961283138067404
QTL AF,DV - R,CV,2X,Peri,2,2,5,med_neg,0.0297412500000082,0.00754599282974135,Inf,3.94133027569119,8.10309615349922e-05
QTL AF,DV - R,CV,20X,WT,2,2,5,med_neg,0.0426387500000019,0.00754599282974138,Inf,5.65051557323879,1.59967312866835e-08
QTL AF,DV - R,GW,20X,WT,2,2,5,med_neg,0.0243887500000023,0.00754599282974148,Inf,3.23201340768274,0.00122921288400579
QTL AF,DV - R,CV,2X,Chr,2,8,5,med_neg,0.0263900000000081,0.00754599282974137,Inf,3.49722039172844,0.000470133259459324
QTL AF,DV - R,GW,2X,Chr,2,8,5,med_neg,0.0192125000000023,0.00754599282974122,Inf,2.54605330716451,0.0108948549528946
QTL AF,DV - R,CV,20X,Peri,2,8,5,med_neg,0.0249612500000062,0.00754599282974136,Inf,3.30788148931513,0.00094004580921782
QTL AF,DV - R,CV,2X,Peri,2,8,5,med_neg,0.028252499999997,0.00754599282974151,Inf,3.74404013328023,0.000181084709256495
QTL AF,DV - R,GW,2X,Peri,2,8,5,med_neg,0.0213224999999992,0.00754599282974132,Inf,2.82567191370233,0.00471815623317857
QTL AF,DV - R,CV,20X,WT,2,8,5,med_neg,0.0348150000000092,0.00754599282974142,Inf,4.61370700788252,3.95549920192267e-06
QTL AF,DV - R,GW,20X,WT,2,8,5,med_neg,0.0163962499999988,0.00754599282974128,Inf,2.17284197983541,0.0297922125266844
QTL AF,DV - R,CV,2X,WT,2,8,5,med_neg,0.0412787499999973,0.00754599282974123,Inf,5.47028746665439,4.49306213423847e-08
QTL AF,DV - R,GW,2X,WT,2,8,5,med_neg,0.0189487499999997,0.00754599282974145,Inf,2.5111009813468,0.0120355263048314
QTL AF,DV - R,CV,20X,Chr,2,8,1,small_neg,0.0160818181819969,0.00754599282974191,Inf,2.13117326571154,0.033074870607278
QTL AF,DV - R,CV,2X,Peri,2,8,1,small_neg,0.0148522727272889,0.00754599282974145,Inf,1.96823308243162,0.0490412254443586
QTL AF,DV - R,CV,20X,Chr,2,2,2,small_neg,0.0189772727272969,0.00754599282974167,Inf,2.51488083218158,0.0119072623883351
QTL AF,DV - R,CV,2X,Chr,2,2,2,small_neg,0.0282499999999814,0.00754599282974152,Inf,3.74370883161163,0.000181323764641501
QTL AF,DV - R,CV,20X,Peri,2,2,2,small_neg,0.036911363636359,0.00754599282974145,Inf,4.89151851441976,1.00060979214106e-06
QTL AF,DV - R,CV,2X,Peri,2,2,2,small_neg,-0.019409090909084,0.00754599282974138,Inf,-2.57210566548461,0.0101082035348216
QTL AF,DV - R,GW,2X,WT,2,2,2,small_neg,0.0186499999999985,0.00754599282974158,Inf,2.47151043219811,0.0134543625668186
QTL AF,DV - R,CV,20X,Chr,2,8,2,small_neg,0.0464999999999744,0.00754599282974162,Inf,6.16221099716663,7.17361760212383e-10
QTL AF,DV - R,GW,20X,Chr,2,8,2,small_neg,0.0191500000000092,0.00754599282974148,Inf,2.53777076550247,0.0111561031812096
QTL AF,DV - R,CV,2X,Chr,2,8,2,small_neg,0.0189022727272796,0.00754599282974148,Inf,2.50494178218391,0.0122471550263245
QTL AF,DV - R,GW,2X,Chr,2,8,2,small_neg,0.0190431818181797,0.00754599282974151,Inf,2.5236151488408,0.0116155012602881
QTL AF,DV - R,CV,20X,Peri,2,8,2,small_neg,0.0294500000000062,0.0075459928297414,Inf,3.90273363154195,9.51123566859995e-05
QTL AF,DV - R,GW,20X,Peri,2,8,2,small_neg,0.0374409090909062,0.00754599282974127,Inf,4.96169423105455,6.98809428290103e-07
QTL AF,DV - R,CV,2X,Peri,2,8,2,small_neg,0.0341522727272708,0.00754599282974166,Inf,4.52588194792122,6.01441485984224e-06
QTL AF,DV - R,GW,2X,Peri,2,8,2,small_neg,0.0294227272727272,0.00754599282974205,Inf,3.89911943154244,9.65431489089148e-05
QTL AF,DV - R,CV,20X,WT,2,8,2,small_neg,0.0521068181818252,0.00754599282974149,Inf,6.90523028016318,5.0122054346812e-12
QTL AF,DV - R,CV,2X,WT,2,8,2,small_neg,0.0168545454545438,0.00754599282974155,Inf,2.23357559897404,0.0255110109426643
QTL AF,DV - R,GW,2X,WT,2,8,2,small_neg,0.0231704545454545,0.00754599282974229,Inf,3.07056408192291,0.00213654832478106
QTL AF,DV - R,CV,20X,Chr,2,2,3,small_neg,0.0233045454545571,0.00754599282974101,Inf,3.08833389858348,0.00201282178384425
