response,contrast,Recombination,Map_type,QTL,H2,Repulsion,QTL_type,estimate,SE,df,z.ratio,p.value
Genetic gain,CV - GW,20X,WT,200,2,3,DV,0.936198557392025,0.134862247914551,Inf,6.94188753241904,3.86895191070016e-12
Genetic gain,CV - GW,2X,WT,200,2,3,DV,0.591598248436431,0.134862247914551,Inf,4.38668535920644,1.15091088558784e-05
Genetic gain,CV - GW,20X,Chr,2,8,3,DV,0.645107417147937,0.134862247914549,Inf,4.78345442941665,1.72307970065342e-06
Genetic gain,CV - GW,2X,Chr,2,8,3,DV,0.745084163151575,0.134862247914551,Inf,5.5247793557739,3.29899937152533e-08
Genetic gain,CV - GW,20X,Peri,2,8,3,DV,0.991029968699095,0.13486224791455,Inf,7.34846099649042,2.00501953284445e-13
Genetic gain,CV - GW,2X,Peri,2,8,3,DV,0.694612918436819,0.134862247914552,Inf,5.15053641161996,2.59742497013417e-07
Genetic gain,CV - GW,20X,WT,2,8,3,DV,0.698615934900201,0.134862247914552,Inf,5.18021867278115,2.21625939842545e-07
Genetic gain,CV - GW,2X,WT,2,8,3,DV,0.400144740815228,0.134862247914551,Inf,2.96706266581558,0.00300659672714419
Genetic gain,CV - GW,20X,Chr,200,8,3,DV,2.31419980625645,0.134862247914551,Inf,17.1597303325593,5.31598933977093e-66
Genetic gain,CV - GW,2X,Chr,200,8,3,DV,1.04492922420696,0.134862247914552,Inf,7.74812254997423,9.32611136443621e-15
Genetic gain,CV - GW,20X,Peri,200,8,3,DV,2.00683466490189,0.13486224791455,Inf,14.8806259419126,4.40360198362807e-50
Genetic gain,CV - GW,2X,Peri,200,8,3,DV,1.03215842171675,0.134862247914553,Inf,7.65342738740878,1.95692159256252e-14
Genetic gain,CV - GW,20X,WT,200,8,3,DV,1.12579997604128,0.134862247914552,Inf,8.34777703508684,6.95597297121959e-17
Genetic gain,CV - GW,2X,WT,200,8,3,DV,1.11431499989893,0.134862247914551,Inf,8.26261624086946,1.42513842666075e-16
Genetic gain,CV - GW,20X,Chr,2,2,4,DV,0.634693125068468,0.13486224791455,Inf,4.70623272919651,2.5233643522241e-06
