response,contrast,Recombination,QTL,H2,Repulsion,Matrix,Allele,estimate,SE,df,z.ratio,p.value
QTL fixation,Chr - WT,20X,2,2,3,GW,positive_QTL,-0.0735714285719711,0.00666463808439261,Inf,-11.0390733360694,1.79856129989275e-14
QTL fixation,Peri - WT,20X,2,2,3,GW,positive_QTL,-0.0816666666666976,0.00666463808439271,Inf,-12.2537286545154,0
QTL fixation,Chr - WT,2X,2,2,3,GW,positive_QTL,-0.0211904761903585,0.00666463808439273,Inf,-3.17953892199825,0.00421078771351213
QTL fixation,Peri - WT,2X,2,2,3,GW,positive_QTL,-0.0216666666666663,0.00666463808439271,Inf,-3.25098923487014,0.00329758629718202
QTL fixation,Chr - WT,20X,200,2,3,GW,positive_QTL,-0.035582716049379,0.0066646380843927,Inf,-5.33903200726036,2.79906517519635e-07
QTL fixation,Peri - WT,20X,200,2,3,GW,positive_QTL,-0.0409703703703714,0.0066646380843927,Inf,-6.14742613951029,2.36185504487452e-09
QTL fixation,Peri - WT,2X,200,2,3,GW,positive_QTL,-0.0227185185185166,0.00666463808439271,Inf,-3.40881503704139,0.00188711745257841
QTL fixation,Chr - Peri,20X,2,8,3,GW,positive_QTL,-0.0440476190476472,0.00666463808439268,Inf,-6.60915393902609,1.15969789327153e-10
QTL fixation,Chr - WT,20X,2,8,3,GW,positive_QTL,-0.10452380952384,0.00666463808439271,Inf,-15.6833436715213,0
QTL fixation,Peri - WT,20X,2,8,3,GW,positive_QTL,-0.060476190476193,0.0066646380843927,Inf,-9.07418973249524,3.93018950717305e-14
QTL fixation,Chr - WT,2X,2,8,3,GW,positive_QTL,-0.049761904761904,0.00666463808439272,Inf,-7.46655769327319,2.665645482125e-13
QTL fixation,Peri - WT,2X,2,8,3,GW,positive_QTL,-0.0342857142857143,0.00666463808439271,Inf,-5.14442252550889,8.0326256612917e-07
QTL fixation,Chr - WT,20X,200,8,3,GW,positive_QTL,-0.0502172839506178,0.00666463808439269,Inf,-7.53488536282519,1.65756297576536e-13
QTL fixation,Peri - WT,20X,200,8,3,GW,positive_QTL,-0.0431703703703709,0.00666463808439268,Inf,-6.47752658489704,2.79701151129075e-10
QTL fixation,Chr - WT,2X,200,8,3,GW,positive_QTL,-0.0195160493827166,0.0066646380843929,Inf,-2.92829845155716,0.0095480736650676
QTL fixation,Peri - WT,2X,200,8,3,GW,positive_QTL,-0.0196592592592595,0.00666463808439274,Inf,-2.94978647157113,0.00892465986866775
QTL fixation,Chr - WT,20X,2,2,4,GW,positive_QTL,-0.024999999999827,0.00666463808439273,Inf,-3.75114142482427,0.000516341034784262
QTL fixation,Peri - WT,20X,2,2,4,GW,positive_QTL,-0.0271428571428564,0.00666463808439268,Inf,-4.07266783269445,0.000137514992520904
QTL fixation,Chr - WT,20X,200,2,4,GW,positive_QTL,-0.0264765432098777,0.00666463808439271,Inf,-3.97269032085638,0.000209778755588919
QTL fixation,Peri - WT,20X,200,2,4,GW,positive_QTL,-0.0385432098765423,0.00666463808439263,Inf,-5.78324124858385,2.19687698033155e-08
QTL fixation,Chr - WT,2X,200,2,4,GW,positive_QTL,-0.0240716049382728,0.0066646380843927,Inf,-3.61183977786339,0.000887335068061157
QTL fixation,Peri - WT,2X,200,2,4,GW,positive_QTL,-0.0235012345679016,0.00666463808439269,Inf,-3.52625818091113,0.00122575477746878
QTL fixation,Chr - Peri,20X,2,8,4,GW,positive_QTL,-0.0297619047618928,0.00666463808439268,Inf,-4.46564455339136,2.37730987290297e-05
QTL fixation,Chr - WT,20X,2,8,4,GW,positive_QTL,-0.0647619047618931,0.00666463808439273,Inf,-9.71724254818168,3.49720252756924e-14
QTL fixation,Peri - WT,20X,2,8,4,GW,positive_QTL,-0.0350000000000002,0.00666463808439268,Inf,-5.25159799479038,4.51542729318355e-07
QTL fixation,Chr - WT,20X,200,8,4,GW,positive_QTL,-0.0506493827160486,0.00666463808439272,Inf,-7.59971990597052,1.07913677993565e-13
QTL fixation,Peri - WT,20X,200,8,4,GW,positive_QTL,-0.0392592592592596,0.0066646380843925,Inf,-5.89068134865394,1.15324695348917e-08
QTL fixation,Chr - WT,2X,200,8,4,GW,positive_QTL,-0.019723456790124,0.00666463808439296,Inf,-2.959419032267,0.00865725692641273
QTL fixation,Peri - WT,2X,200,8,4,GW,positive_QTL,-0.0222567901234568,0.00666463808439248,Inf,-3.33953469665197,0.00241845455281342
