response,contrast,Matrix,Recombination,Map_type,QTL,H2,Repulsion,estimate,SE,df,z.ratio,p.value
Bulmer effect,DV - R,CV,20X,WT,200,8,4,-0.172559197793856,0.0686706200495124,Inf,-2.5128533522697,0.0119759105640327
Bulmer effect,DV - R,CV,2X,WT,200,8,4,-0.151090601778928,0.0686706200495137,Inf,-2.20022189504022,0.0277911555967776
Bulmer effect,DV - R,CV,20X,Chr,200,2,5,0.169000227557506,0.0686706200495056,Inf,2.46102667247901,0.0138540066191703
Bulmer effect,DV - R,GW,20X,Chr,200,2,5,0.344453777964587,0.0686706200495022,Inf,5.01602836433227,5.27505444524154e-07
Bulmer effect,DV - R,GW,2X,Chr,200,2,5,0.233870531223974,0.0686706200495223,Inf,3.40568544532315,0.00065998173199743
Bulmer effect,DV - R,GW,20X,Peri,200,2,5,0.551540158805211,0.0686706200495057,Inf,8.03167582304626,9.61501538892018e-16
Bulmer effect,DV - R,GW,2X,Peri,200,2,5,0.31857427017817,0.0686706200495091,Inf,4.63916402602,3.49821332200579e-06
Bulmer effect,DV - R,GW,2X,WT,200,2,5,0.198542038241703,0.0686706200495121,Inf,2.89122244853116,0.00383746389385565
Bulmer effect,DV - R,CV,20X,Chr,200,8,5,-0.142379594807714,0.0686706200495123,Inf,-2.07336987353625,0.0381378704359011
Bulmer effect,DV - R,CV,2X,Chr,200,8,5,-0.13830320384627,0.0686706200495111,Inf,-2.01400837427352,0.0440086542814538
Bulmer effect,DV - R,GW,20X,Peri,200,8,5,0.186683314548049,0.0686706200495114,Inf,2.71853253128413,0.00655722073665189
Bulmer effect,DV - R,CV,2X,WT,200,8,5,-0.146444984243298,0.0686706200495157,Inf,-2.13257116562661,0.0329599207864243
